,LotShape,LotConfig,Neighborhood,OverallQual,Exterior1st,MasVnrType,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,FullBath,HalfBath,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageFinish,GarageArea,MoSold,YrSold,SalePrice,SalePricev2
57,1,2,0,7,0,1,4,2,8,860,2,1,0,7,0,3,565,8,2006,196500,4
58,2,3,18,10,0,4,1,2,8,1410,3,1,0,10,1,2,641,10,2006,438780,9
59,0,0,0,5,3,1,3,1,355,148,1,0,1,4,0,1,352,1,2008,124900,3
60,0,0,12,6,0,1,4,1,42,217,1,1,0,5,0,1,576,5,2006,158000,4
61,0,0,13,5,1,1,4,2,8,530,1,0,3,6,0,1,288,3,2007,101000,3
62,1,0,10,8,0,2,2,5,55,1346,2,0,0,6,1,3,484,10,2007,202500,5
63,1,0,7,7,9,1,4,2,8,576,2,0,1,9,0,1,480,4,2010,140000,3
64,0,0,0,7,0,4,4,5,43,318,2,1,0,8,0,3,645,2,2009,219500,5
65,0,0,10,8,0,4,3,2,8,1143,2,1,0,9,1,3,852,10,2007,317000,7
66,0,0,11,7,7,4,1,5,44,1035,2,0,1,7,1,3,576,7,2010,180000,4
67,1,0,0,7,0,4,3,5,45,440,2,0,0,7,0,3,558,6,2007,226000,5
68,0,2,7,4,1,1,4,2,8,747,1,0,1,4,0,1,220,6,2010,80000,2
69,0,2,19,7,4,1,4,4,46,701,2,0,1,7,1,2,667,7,2006,225000,5
70,1,0,11,7,7,4,1,1,47,343,2,0,1,8,2,2,516,2,2007,244000,5
71,0,2,4,4,3,1,4,1,540,280,1,0,1,4,0,1,360,6,2007,129500,3
72,1,2,17,7,0,4,4,2,8,832,2,1,1,7,1,2,427,12,2009,185000,4
73,0,0,11,5,2,4,4,1,635,404,1,0,1,6,0,1,490,5,2010,144900,3
74,0,2,7,3,0,1,4,2,8,840,2,0,1,8,0,1,379,5,2010,107400,3
75,0,0,14,4,6,1,1,5,245,0,1,0,1,5,0,1,297,11,2009,91000,2
76,1,0,11,4,0,1,4,1,51,724,1,0,1,4,0,1,283,4,2008,135750,3
77,0,0,8,5,2,1,4,4,52,295,1,0,1,6,0,1,240,1,2008,127000,3
78,0,0,9,4,3,1,4,2,8,1768,2,0,1,8,0,3,0,4,2010,136500,3
79,0,2,7,5,2,1,4,2,8,440,1,1,1,5,0,1,440,5,2009,110000,3
80,0,2,11,6,0,4,4,3,53,448,2,1,0,8,1,2,509,6,2009,193500,4
81,0,1,4,6,0,4,4,5,54,36,2,0,1,5,0,2,405,3,2006,153500,4
82,0,0,5,8,0,2,4,5,55,1530,2,0,0,6,1,3,758,10,2008,245000,5
83,1,0,11,5,1,3,4,2,8,1065,1,1,1,6,0,1,461,7,2007,126500,3
84,1,0,17,7,3,4,4,2,8,384,2,1,1,7,1,2,400,5,2009,168500,4
85,0,2,3,8,3,4,4,2,8,1288,2,1,0,9,1,1,462,4,2006,260000,6
86,2,0,17,6,0,1,3,2,8,684,2,1,0,6,1,2,400,3,2009,174000,4
87,0,2,5,6,0,2,3,2,8,612,2,1,0,4,0,3,528,6,2009,164500,4
88,1,2,13,3,7,1,4,2,8,1013,1,0,3,6,0,3,0,10,2009,85000,2
89,0,0,0,4,0,1,4,5,313,402,1,0,1,5,0,3,0,8,2007,123600,3
90,0,0,11,4,4,1,4,5,8,0,1,0,1,4,0,1,420,7,2006,109900,3
91,0,0,11,5,3,3,4,3,102,635,1,0,1,6,0,1,480,12,2006,98600,2
92,1,0,2,5,2,1,4,1,58,163,1,0,1,5,0,1,432,8,2009,163500,4
93,0,2,7,6,1,1,2,3,59,168,2,0,1,9,1,1,506,11,2007,133900,3
94,1,0,0,6,0,1,4,5,60,176,2,1,0,7,0,3,684,5,2007,204750,5
95,2,2,17,6,0,4,4,1,61,370,2,1,1,6,1,2,420,4,2009,185000,4
96,1,0,0,7,0,4,3,1,62,426,2,0,0,6,0,3,472,8,2006,214000,5
97,0,0,15,4,3,4,4,3,466,440,1,0,1,6,0,2,432,5,2007,94750,2
98,0,2,15,5,2,1,4,1,450,350,1,0,1,5,0,1,366,5,2010,83000,2
99,1,0,11,4,7,1,4,1,65,381,1,1,1,6,0,3,0,1,2010,128950,3
100,1,0,6,6,7,4,2,1,66,410,2,0,0,6,2,3,480,2,2010,205000,5
101,0,0,12,6,3,4,4,2,8,741,2,1,0,7,1,2,476,6,2010,178000,4
102,0,0,12,5,3,1,4,5,8,0,2,0,1,8,0,1,410,6,2009,118964,3
103,1,2,0,7,0,1,4,2,8,1226,2,0,0,6,0,3,740,5,2010,198900,4
104,0,2,13,7,9,4,4,6,67,816,1,1,1,7,2,1,240,6,2007,169500,4
105,0,0,5,8,0,4,4,2,8,1053,2,1,0,9,1,3,648,8,2008,250000,6
106,0,0,7,4,0,1,4,2,8,641,1,0,1,6,0,1,273,8,2007,100000,3
107,0,0,7,5,0,1,4,1,136,516,1,0,1,5,0,1,250,4,2008,115000,3
108,0,2,13,5,6,1,4,2,8,793,2,0,3,7,0,3,0,8,2007,115000,3
109,1,0,6,6,7,4,4,4,68,1139,2,0,1,7,1,3,546,1,2010,190000,4
110,0,0,15,6,2,1,4,3,69,550,2,0,1,7,0,1,325,10,2006,136900,3
111,1,0,17,7,0,1,4,5,70,134,2,1,1,7,1,2,400,4,2010,180000,4
112,0,0,0,7,0,2,3,5,71,280,2,1,2,10,1,2,792,10,2007,383970,8
113,0,2,2,6,2,4,2,1,226,905,2,0,0,7,2,1,450,10,2007,217000,5
114,1,0,2,6,2,1,4,1,73,104,2,1,0,9,1,1,180,7,2007,259500,6
115,0,2,5,6,1,4,4,5,74,310,2,1,1,5,1,1,440,6,2007,176000,4
116,0,0,9,5,2,4,4,6,525,252,1,0,1,6,1,1,288,9,2009,139000,3
117,0,2,15,5,0,1,4,2,8,1125,1,1,1,5,0,1,430,4,2007,155000,4
118,0,2,12,7,7,1,2,5,76,203,3,0,0,11,2,1,594,5,2010,320000,7
119,0,0,0,6,0,1,4,2,8,728,2,1,0,8,1,2,390,7,2006,163990,4
120,1,3,19,6,7,1,1,1,77,0,1,0,1,4,2,1,540,10,2006,180000,4
121,0,0,13,4,8,1,4,2,8,732,1,0,1,4,0,1,264,6,2007,100000,3
122,0,2,11,6,1,4,4,4,78,510,1,0,1,5,0,1,288,6,2008,136000,3
123,0,0,12,6,7,1,4,5,79,899,2,0,0,5,0,3,530,3,2008,153900,4
124,1,3,6,6,3,1,4,2,8,1362,2,0,1,7,1,1,435,1,2009,181000,4
125,0,0,13,6,2,1,3,5,39,30,1,0,1,5,0,3,0,6,2006,84500,2
126,1,0,20,6,7,1,4,1,604,958,2,0,1,5,1,3,440,2,2007,128000,3
127,1,0,7,5,5,1,4,6,345,556,1,0,1,5,1,3,0,6,2007,87000,2
128,0,0,11,6,0,4,4,4,82,148,1,1,1,6,1,3,453,7,2006,155000,4
129,0,0,11,5,7,4,4,3,83,413,1,1,2,6,0,3,750,7,2006,150000,4
130,0,2,11,7,1,4,4,3,84,479,2,1,0,8,2,2,487,5,2006,226000,5
131,1,2,17,6,0,4,4,5,85,297,2,1,0,7,1,3,390,7,2009,244000,5
132,0,2,11,5,1,1,4,3,86,658,1,0,0,7,0,1,624,7,2007,150750,4
133,1,0,16,8,0,4,4,5,87,262,2,0,0,6,0,2,471,6,2009,220000,5
134,1,0,9,5,7,1,4,3,78,891,2,1,1,7,1,3,440,7,2006,180000,4
135,0,0,6,7,7,4,4,2,8,1304,2,0,1,7,1,1,530,5,2008,174000,4
136,1,2,11,5,1,4,4,4,85,519,2,0,1,5,1,3,318,7,2007,143000,3
137,0,0,4,7,0,4,4,2,8,1907,3,0,1,9,0,1,766,7,2006,171000,4
138,1,0,0,8,0,4,2,5,88,336,2,1,0,7,2,2,660,12,2008,230000,5
139,1,0,0,6,0,1,4,5,89,107,2,1,0,7,0,3,470,8,2009,231500,5
140,0,1,11,4,3,1,4,1,90,432,1,0,1,5,1,3,0,4,2010,115000,3
141,0,0,0,7,0,1,3,5,91,434,2,0,0,7,0,2,660,1,2006,260000,6
142,0,2,11,5,4,1,4,3,92,403,2,0,1,6,0,1,720,6,2010,166000,4
143,1,0,0,7,0,4,1,5,93,811,2,0,0,6,0,3,577,6,2009,204000,5
144,0,0,9,5,3,4,4,3,151,396,2,0,1,10,0,1,504,11,2006,125000,3
145,0,0,15,6,0,2,4,2,8,970,2,0,0,7,0,1,380,4,2006,130000,3
146,0,2,8,5,2,1,4,4,95,506,1,0,1,5,0,1,180,11,2009,105000,3
147,1,3,17,7,0,4,4,2,8,884,2,1,0,8,1,2,434,5,2010,222500,5
148,0,0,12,7,0,4,4,5,96,400,1,0,0,6,0,3,0,4,2008,141000,3
149,0,0,8,5,1,1,4,2,8,896,1,0,1,7,0,1,240,4,2006,115000,3
150,0,2,0,5,3,1,3,4,97,253,1,1,1,5,0,1,440,1,2007,122000,3
151,0,0,10,8,0,2,1,5,98,310,2,0,0,6,1,3,866,1,2008,372402,8
152,1,3,6,6,3,4,4,3,99,409,2,1,1,8,1,3,495,6,2006,190000,4
153,0,0,19,6,4,1,1,4,100,93,1,0,1,4,1,3,564,3,2008,235000,5
154,0,2,7,6,2,1,4,2,8,1200,1,0,1,7,0,1,312,3,2006,125000,3
155,0,2,15,6,2,1,4,2,8,572,1,0,1,5,0,3,0,4,2008,79000,2
156,0,0,11,5,2,1,4,5,8,0,1,0,1,5,0,1,625,6,2006,109500,3
157,0,2,16,8,0,4,4,2,8,774,2,1,2,8,1,2,680,5,2010,269500,6
158,0,2,5,7,0,1,4,5,101,769,2,1,0,8,1,3,678,5,2010,254900,6
159,1,2,17,7,0,4,2,5,102,1335,2,1,0,9,1,3,576,3,2006,320000,7
160,1,3,1,6,7,1,4,4,103,572,2,0,1,6,0,1,516,6,2008,162500,4
161,1,0,10,9,0,4,3,5,104,556,2,1,2,10,2,2,726,3,2008,412500,9
162,0,2,10,7,0,4,2,4,54,340,2,0,0,7,1,3,532,5,2010,220000,5
163,0,0,7,4,1,1,4,2,8,882,1,0,1,4,0,3,0,4,2007,103200,3
164,0,2,7,6,1,1,2,6,105,779,2,0,0,5,0,1,216,10,2007,152000,4
165,0,0,15,5,2,1,4,1,106,112,2,0,1,6,0,3,0,9,2008,127500,3
166,1,0,19,5,2,1,4,6,107,470,1,0,1,7,3,2,303,11,2009,190000,4
167,0,0,10,8,0,2,4,5,108,294,1,1,2,8,1,2,789,11,2007,325624,7
168,1,0,17,7,0,1,4,2,8,840,2,1,0,7,1,2,440,5,2007,183500,4
169,1,2,16,8,7,4,4,2,8,1686,2,1,1,6,1,3,511,1,2006,228000,5
170,1,0,7,5,1,1,4,3,109,360,1,1,1,7,0,1,660,5,2007,128500,3
171,1,2,11,6,4,2,1,4,110,441,1,0,1,7,2,2,528,5,2010,215000,5
172,1,0,18,7,3,1,4,5,289,354,2,0,0,5,1,3,504,6,2006,239000,5
173,1,0,11,6,5,3,4,1,112,700,1,1,1,6,1,1,504,6,2008,163000,4
174,1,0,16,6,0,2,4,1,113,0,2,0,1,7,1,2,616,11,2008,184000,4
175,0,2,15,6,5,1,3,1,114,725,2,0,0,7,1,1,576,6,2007,243000,5
176,1,2,19,6,7,4,4,5,115,320,2,1,1,8,1,1,521,9,2007,211000,5
177,0,0,9,5,1,1,4,1,102,554,2,0,0,8,1,1,451,7,2006,172500,4
178,1,3,18,9,0,2,4,5,116,312,2,0,2,9,1,2,1166,7,2009,501837,11
179,0,0,7,5,2,1,4,2,8,968,1,0,1,5,0,1,480,7,2007,100000,3
180,0,0,5,6,1,4,4,5,117,320,2,1,0,5,1,1,440,6,2007,177000,4
181,0,0,2,7,9,1,4,6,118,441,1,1,1,9,1,1,216,7,2006,200100,5
182,0,0,15,5,2,4,4,5,8,0,1,0,1,7,1,3,252,6,2007,120000,3
183,0,0,7,7,0,1,4,2,8,1362,2,1,0,6,0,1,484,6,2008,200000,5
184,1,0,8,5,8,1,4,2,8,504,1,0,1,5,0,1,576,6,2006,127000,3
185,2,0,7,10,2,1,2,2,8,1107,2,1,2,12,2,1,840,6,2006,475000,10
186,1,3,4,7,3,1,3,5,119,577,2,0,0,6,0,1,497,6,2009,173000,4
187,0,0,7,5,3,1,4,2,8,660,2,1,1,8,0,1,180,8,2009,135000,3
188,0,0,12,5,7,2,3,5,120,0,0,2,1,6,2,1,528,6,2009,153337,4
189,0,0,18,8,6,1,3,5,23,440,1,1,2,5,1,2,682,8,2008,286000,6
190,0,0,2,8,4,1,4,3,121,556,2,1,0,10,2,1,440,12,2007,315000,7
191,1,3,11,7,3,4,4,1,122,99,1,1,0,7,0,2,484,6,2007,184000,4
192,1,0,0,7,0,1,3,5,123,871,2,0,0,6,0,2,666,9,2009,192000,4
193,0,0,15,7,0,2,4,2,8,970,2,0,0,7,0,1,380,5,2006,130000,3
194,1,0,0,5,3,1,3,1,124,474,1,0,1,5,0,1,352,5,2008,127000,3
195,0,1,20,6,7,1,4,1,582,289,2,1,1,7,1,1,440,7,2009,148500,3
196,0,0,5,7,6,2,4,5,126,600,2,0,2,8,1,2,786,9,2007,311872,7
197,0,2,11,8,9,1,4,5,127,140,2,0,0,8,1,1,795,3,2006,235000,5
198,0,2,7,6,2,1,4,2,8,755,1,0,1,8,0,3,0,7,2009,104000,3
199,0,0,10,8,0,4,3,5,128,625,2,0,2,7,1,2,856,1,2009,274900,6
200,0,2,15,4,0,1,4,2,8,1121,2,0,1,5,0,3,440,3,2010,140000,3
201,0,0,4,6,7,1,4,1,208,276,2,0,1,6,2,1,473,2,2008,171500,4
202,0,2,7,6,1,1,4,6,130,0,2,0,1,6,0,1,398,5,2006,112000,3
203,0,0,0,6,0,4,3,5,365,186,1,0,0,3,1,3,420,1,2008,149000,3
204,0,0,7,5,8,1,4,6,132,408,1,1,1,5,0,1,240,4,2009,110000,3
205,0,2,17,7,3,1,4,2,8,1424,2,0,1,5,0,3,500,5,2009,180500,4
206,1,3,9,5,3,1,4,2,8,1140,1,1,1,8,1,3,349,3,2007,143900,3
207,1,0,11,4,2,1,4,1,74,375,1,0,1,6,1,3,312,4,2008,141000,3
208,1,0,12,7,7,4,1,5,606,92,2,1,1,7,1,2,454,4,2007,277000,6
209,0,0,11,6,3,2,4,3,134,305,1,0,1,6,0,3,504,7,2008,145000,3
210,0,0,15,5,9,1,4,3,135,396,1,0,1,5,0,3,0,4,2008,98000,2
211,0,2,15,6,0,1,2,5,136,1176,2,0,0,6,0,3,460,3,2010,186000,4
212,0,0,5,7,0,1,4,5,137,78,2,1,0,7,1,3,644,7,2009,252678,6
213,2,3,0,5,0,1,4,1,97,274,1,0,1,5,0,1,576,7,2006,156000,4
214,1,1,0,6,3,4,4,5,506,311,1,1,1,6,0,2,299,3,2010,161750,4
215,1,0,11,5,3,4,4,4,109,710,1,0,0,6,1,1,447,5,2006,134450,3
216,0,0,0,7,0,4,2,5,139,490,2,0,0,8,0,1,484,4,2008,210000,5
217,0,0,7,4,1,1,4,2,8,686,1,0,1,8,0,1,210,9,2006,107000,3
218,1,2,2,7,0,4,4,4,140,457,1,1,0,8,2,1,431,5,2008,311500,7
219,0,0,21,7,0,4,3,5,297,1232,2,0,0,5,0,2,438,3,2006,167240,4
220,1,0,0,7,0,1,2,2,8,1498,2,0,0,5,0,3,675,4,2006,204900,5
221,1,0,17,6,0,1,4,2,8,1010,2,1,0,8,1,3,390,12,2009,200000,5
222,0,0,6,6,0,1,4,1,142,163,2,1,1,6,1,3,434,2,2006,179900,4
223,0,1,11,4,3,1,4,1,143,160,1,0,1,4,0,1,576,3,2009,97000,2
224,0,0,10,10,0,4,1,5,313,2336,2,0,2,8,1,2,968,6,2009,386250,8
225,0,0,22,5,3,4,4,2,8,630,2,1,1,6,0,1,280,5,2009,112000,3
226,1,0,3,7,0,4,4,5,540,638,2,1,0,9,1,3,721,6,2007,290000,6
227,0,0,22,6,3,4,4,3,145,162,1,1,1,5,0,1,280,9,2008,106000,3
228,0,1,9,5,3,1,4,1,146,70,1,0,1,5,1,1,336,5,2010,125000,3
229,0,0,21,7,0,4,3,5,297,1357,2,0,0,7,1,2,430,5,2009,192500,4
230,0,0,11,6,1,4,4,2,8,1194,1,0,1,6,0,3,312,4,2010,148000,3
231,1,0,3,8,0,4,4,5,147,773,2,1,2,9,1,2,810,7,2009,403000,9
232,0,0,22,6,3,4,4,2,8,483,1,1,1,5,1,1,288,6,2006,94500,2
233,0,2,0,5,3,1,3,6,226,0,1,0,1,5,0,1,308,2,2010,128200,3
234,0,0,17,6,0,4,4,5,148,235,2,1,0,8,2,2,440,5,2010,216500,5
235,0,0,22,6,3,4,4,1,149,125,1,1,1,5,0,1,264,8,2008,89500,2
236,0,1,0,7,0,4,3,5,55,1390,2,0,0,6,0,3,494,5,2010,185500,4
237,1,3,12,7,3,1,4,4,351,594,2,1,0,7,0,3,457,2,2010,194500,4
238,0,0,10,8,0,4,4,2,8,1694,2,0,0,7,0,2,818,12,2007,318000,7
239,0,0,15,6,0,1,4,6,151,641,1,1,1,7,1,1,220,4,2010,113000,3
240,0,0,5,8,0,2,3,5,401,488,2,0,0,7,0,3,750,4,2010,262500,6
241,0,0,7,5,0,1,4,1,153,357,1,0,0,4,0,3,0,8,2007,110500,3
242,0,2,7,5,2,1,4,2,8,540,1,0,1,6,0,1,352,4,2006,79000,2
243,0,2,12,6,7,1,4,2,8,626,1,1,1,6,1,3,288,4,2009,120000,3
244,1,0,12,7,0,1,4,5,85,253,2,1,0,8,2,3,463,5,2010,205000,5
245,0,0,6,7,2,4,3,5,154,916,2,0,1,6,1,2,604,6,2006,241500,5
246,0,0,7,6,8,1,4,2,8,1020,2,0,3,9,0,1,440,4,2006,137000,3
247,0,0,11,6,2,1,4,2,8,1367,1,0,1,5,1,1,451,6,2006,140000,3
248,0,0,0,7,0,4,4,2,8,840,2,1,0,8,0,3,500,9,2007,180000,4
249,2,3,19,6,2,3,1,3,155,747,2,0,0,7,2,2,389,6,2007,277000,6
250,1,0,8,3,2,1,4,2,8,728,1,0,3,6,0,3,0,5,2010,76500,2
251,1,0,2,8,0,2,1,5,439,0,2,0,0,5,1,2,538,12,2007,235000,5
252,1,0,12,6,0,1,4,2,8,798,2,1,0,6,0,3,520,12,2008,173000,4
253,0,0,11,6,3,4,1,6,157,452,2,0,0,7,0,3,309,10,2007,158000,4
254,0,0,11,5,1,1,4,3,158,392,1,0,1,5,0,3,294,6,2010,145000,3
255,1,0,17,7,0,4,4,2,8,975,2,1,0,8,1,2,429,2,2006,230000,5
256,1,0,5,6,0,1,4,3,159,361,2,1,0,7,0,3,673,5,2008,207500,5
257,0,0,0,7,0,2,4,5,160,270,2,1,0,8,1,3,660,3,2009,220000,5
258,0,0,0,7,0,4,4,5,161,602,2,1,0,7,1,3,564,5,2008,231500,5
259,0,0,7,5,4,1,4,5,8,0,1,0,1,4,0,1,308,12,2008,97000,2
260,0,2,11,6,2,4,1,3,221,0,1,0,1,6,1,1,884,5,2009,176000,4
261,1,0,0,8,6,2,4,2,8,1482,2,1,2,10,1,2,868,11,2007,276000,6
262,1,2,9,6,3,4,3,1,163,0,1,0,1,6,1,1,492,7,2006,151000,4
263,0,2,7,5,2,1,4,6,19,0,1,0,1,6,0,1,484,4,2010,130000,3
264,3,0,7,5,2,1,4,2,8,680,1,0,1,4,0,1,504,6,2008,73000,2
265,1,0,6,6,1,4,4,5,313,606,2,0,0,7,1,2,576,6,2008,175500,4
266,1,1,17,6,0,1,3,5,164,88,2,1,1,8,1,2,413,6,2006,185000,4
267,0,0,23,5,2,1,4,6,506,342,2,1,0,8,1,1,240,7,2008,179500,4
268,0,0,13,5,0,1,4,1,474,212,1,0,1,4,1,2,924,2,2008,120500,3
269,1,2,15,6,3,4,4,4,166,392,1,1,1,6,1,3,504,5,2007,148000,3
270,0,0,5,8,0,1,2,2,8,1095,2,1,0,8,1,3,1053,8,2006,266000,6
271,1,3,19,7,7,1,1,6,593,96,1,0,1,5,2,1,439,4,2008,241500,5
272,1,3,3,8,0,4,4,5,143,628,2,1,0,9,1,2,671,4,2010,290000,6
273,0,0,11,6,2,3,4,3,279,0,2,0,1,6,1,3,338,4,2009,139000,3
274,0,2,4,5,3,1,1,1,169,270,1,0,1,5,0,1,264,6,2007,124500,3
275,0,0,8,7,2,1,4,2,8,952,2,1,2,5,0,1,672,10,2009,205000,5
276,1,0,4,7,0,1,4,2,8,1560,2,0,0,7,0,2,573,4,2010,201000,5
277,0,2,17,4,0,1,4,6,604,744,1,0,1,4,0,1,400,6,2010,141000,3
278,0,0,10,9,6,4,1,2,8,2121,2,1,2,8,1,2,732,5,2007,415298,9
279,0,0,19,7,7,4,4,4,170,768,2,1,1,8,1,2,505,3,2008,192000,4
280,0,0,12,7,7,4,3,5,171,386,2,1,0,7,1,2,575,1,2007,228500,5
281,0,0,5,6,0,2,4,5,172,357,2,0,0,5,0,2,572,5,2006,185000,4
282,0,0,10,7,0,2,4,5,173,410,2,0,0,6,1,3,626,4,2009,207500,5
283,0,0,5,8,0,2,4,2,8,1468,2,0,0,6,1,2,898,12,2009,244600,5
284,0,0,12,6,7,1,4,5,174,1145,2,0,0,5,0,3,529,7,2007,179200,4
285,1,0,5,7,1,1,4,2,8,625,2,1,0,5,0,3,528,6,2007,164700,4
286,1,0,11,6,2,1,4,3,102,312,1,1,0,7,1,3,440,6,2006,159000,4
287,1,2,11,4,3,1,4,4,175,244,1,0,1,5,0,3,0,6,2006,88000,2
288,1,0,9,5,1,4,4,4,550,432,1,0,1,5,0,1,280,2,2010,122000,3
289,0,0,8,6,2,1,4,2,8,698,1,0,1,7,0,1,384,7,2007,153575,4
290,0,0,0,8,0,1,3,2,8,1079,2,1,0,8,1,3,685,7,2006,233230,5
291,0,0,23,5,0,1,4,3,177,570,2,0,3,9,0,3,0,3,2008,135900,3
292,0,0,15,5,2,1,4,6,178,476,1,1,1,8,1,1,281,1,2009,131000,3
293,1,2,6,7,7,4,4,1,179,0,2,1,0,9,1,2,539,3,2006,235000,5
294,0,0,11,6,3,2,4,5,318,131,1,0,1,7,2,2,418,10,2009,167000,4
295,1,3,4,6,3,1,3,5,181,184,1,0,1,6,0,1,588,3,2006,142500,3
