,OverallQual,BsmtFinSF1,1stFlrSF,FullBath,BedroomAbvGr,Fireplaces,GarageArea,MoSold,YrSold,SalePrice
56,8,199,983,2,3,0,480,8,2009,172500
57,7,8,860,2,3,0,565,8,2006,196500
58,10,8,1426,3,3,1,641,10,2006,438780
59,5,355,780,1,2,0,352,1,2008,124900
60,6,42,1158,1,3,0,576,5,2006,158000
61,5,8,581,1,3,0,288,3,2007,101000
62,8,55,1370,2,2,1,484,10,2007,202500
63,7,8,902,2,3,0,480,4,2010,140000
64,7,43,1057,2,3,0,645,2,2009,219500
65,8,8,1143,2,4,1,852,10,2007,317000
66,7,44,2207,2,3,1,576,7,2010,180000
67,7,45,1479,2,3,0,558,6,2007,226000
68,4,8,747,1,2,0,220,6,2010,80000
69,7,46,1304,2,3,1,667,7,2006,225000
70,7,47,2223,2,3,2,516,2,2007,244000
71,4,540,845,1,2,0,360,6,2007,129500
72,7,8,885,2,3,1,427,12,2009,185000
73,5,635,1086,1,3,0,490,5,2010,144900
74,3,8,840,2,3,0,379,5,2010,107400
75,4,245,526,1,2,0,297,11,2009,91000
76,4,51,952,1,2,0,283,4,2008,135750
77,5,52,1072,1,2,0,240,1,2008,127000
78,4,8,1768,2,4,0,0,4,2010,136500
79,5,8,682,1,2,0,440,5,2009,110000
80,6,53,1182,2,4,1,509,6,2009,193500
81,6,54,1337,2,2,0,405,3,2006,153500
82,8,55,1563,2,3,1,758,10,2008,245000
83,5,8,1065,1,3,0,461,7,2007,126500
84,7,8,804,2,3,1,400,5,2009,168500
85,8,8,1301,2,4,1,462,4,2006,260000
86,6,8,684,2,3,1,400,3,2009,174000
87,6,8,612,2,2,0,528,6,2009,164500
88,3,8,1013,1,2,0,0,10,2009,85000
89,4,313,990,1,3,0,0,8,2007,123600
90,4,8,1040,1,2,0,420,7,2006,109900
91,5,102,1235,1,2,0,480,12,2006,98600
92,5,58,964,1,2,0,432,8,2009,163500
93,6,59,1260,2,4,1,506,11,2007,133900
94,6,60,905,2,3,0,684,5,2007,204750
95,6,61,680,2,3,1,420,4,2009,185000
96,7,62,1588,2,3,0,472,8,2006,214000
97,4,466,960,1,3,0,432,5,2007,94750
98,5,450,835,1,2,0,366,5,2010,83000
99,4,65,1225,1,3,0,0,1,2010,128950
100,6,66,1610,2,3,2,480,2,2010,205000
101,6,8,977,2,3,1,476,6,2010,178000
102,5,8,1535,2,4,0,410,6,2009,118964
103,7,8,1226,2,3,0,740,5,2010,198900
104,7,67,1226,1,4,2,240,6,2007,169500
105,8,8,1053,2,3,1,648,8,2008,250000
106,4,8,1047,1,2,0,273,8,2007,100000
107,5,136,789,1,2,0,250,4,2008,115000
108,5,8,997,2,3,0,0,8,2007,115000
109,6,68,1844,2,3,1,546,1,2010,190000
110,6,69,1216,2,4,0,325,10,2006,136900
111,7,70,774,2,3,1,400,4,2010,180000
112,7,71,1282,2,4,1,792,10,2007,383970
113,6,226,2259,2,3,2,450,10,2007,217000
114,6,73,1436,2,3,1,180,7,2007,259500
115,6,74,729,2,2,1,440,6,2007,176000
116,5,525,1092,1,3,1,288,9,2009,139000
117,5,8,1125,1,2,0,430,4,2007,155000
118,7,76,1699,3,5,2,594,5,2010,320000
119,6,8,728,2,3,1,390,7,2006,163990
120,6,77,988,1,1,2,540,10,2006,180000
121,4,8,772,1,3,0,264,6,2007,100000
122,6,78,1080,1,3,0,288,6,2008,136000
123,6,79,1199,2,2,0,530,3,2008,153900
124,6,8,1586,2,3,1,435,1,2009,181000
125,6,39,520,1,2,0,0,6,2006,84500
126,6,604,958,2,2,1,440,2,2007,128000
127,5,345,840,1,3,1,0,6,2007,87000
128,6,82,660,1,3,1,453,7,2006,155000
129,5,83,1053,1,3,0,750,7,2006,150000
130,7,84,1216,2,4,2,487,5,2006,226000
131,6,85,1022,2,3,1,390,7,2009,244000
132,5,86,1327,1,3,0,624,7,2007,150750
133,8,87,1296,2,2,0,471,6,2009,220000
134,5,78,1721,2,3,1,440,7,2006,180000
135,7,8,1682,2,3,1,530,5,2008,174000
136,5,85,1214,2,3,1,318,7,2007,143000
137,7,8,1959,3,5,0,766,7,2006,171000
138,8,88,1004,2,3,2,660,12,2008,230000
139,6,89,928,2,3,0,470,8,2009,231500
140,4,90,864,1,3,1,0,4,2010,115000
141,7,91,1734,2,3,0,660,1,2006,260000
142,5,92,910,2,4,0,720,6,2010,166000
143,7,93,1501,2,3,0,577,6,2009,204000
144,5,151,1728,2,6,0,504,11,2006,125000
145,6,8,970,2,3,0,380,4,2006,130000
146,5,95,875,1,2,0,180,11,2009,105000
147,7,8,884,2,3,1,434,5,2010,222500
148,7,96,1080,1,3,0,0,4,2008,141000
149,5,8,896,1,3,0,240,4,2006,115000
150,5,97,969,1,3,0,440,1,2007,122000
151,8,98,1710,2,2,1,866,1,2008,372402
152,6,99,1097,2,4,1,495,6,2006,190000
153,6,100,1252,1,1,1,564,3,2008,235000
154,6,8,1200,1,4,0,312,3,2006,125000
155,6,8,572,1,2,0,0,4,2008,79000
156,5,8,1040,1,2,0,625,6,2006,109500
157,8,8,774,2,4,1,680,5,2010,269500
158,7,101,991,2,3,1,678,5,2010,254900
159,7,102,1392,2,4,1,576,3,2006,320000
160,6,103,1232,2,3,0,516,6,2008,162500
161,9,104,1572,2,3,2,726,3,2008,412500
162,7,54,1541,2,3,1,532,5,2010,220000
163,4,8,882,1,1,0,0,4,2007,103200
164,6,105,1149,2,3,0,216,10,2007,152000
165,5,106,808,2,4,0,0,9,2008,127500
166,5,107,1867,1,2,3,303,11,2009,190000
167,8,108,1610,1,3,1,789,11,2007,325624
168,7,8,840,2,3,1,440,5,2007,183500
169,8,8,1707,2,2,1,511,1,2006,228000
170,5,109,854,1,2,0,660,5,2007,128500
171,6,110,1656,1,3,2,528,5,2010,215000
172,7,289,1064,2,2,1,504,6,2006,239000
173,6,112,1362,1,3,1,504,6,2008,163000
174,6,113,1651,2,3,1,616,11,2008,184000
175,6,114,2158,2,4,1,576,6,2007,243000
176,6,115,1164,2,4,1,521,9,2007,211000
177,5,102,1252,2,4,1,451,7,2006,172500
178,9,116,2234,2,1,1,1166,7,2009,501837
179,5,8,968,1,2,0,480,7,2007,100000
180,6,117,769,2,3,1,440,6,2007,177000
181,7,118,901,1,4,1,216,7,2006,200100
182,5,8,1340,1,3,1,252,6,2007,120000
183,7,8,1362,2,3,0,484,6,2008,200000
184,5,8,936,1,3,0,576,6,2006,127000
185,10,8,1518,2,4,2,840,6,2006,475000
186,7,119,1217,2,3,0,497,6,2009,173000
187,5,8,808,2,3,0,180,8,2009,135000
188,5,120,1224,0,2,2,528,6,2009,153337
189,8,23,1593,1,0,1,682,8,2008,286000
190,8,121,1549,2,3,2,440,12,2007,315000
191,7,122,725,1,4,0,484,6,2007,184000
192,7,123,1431,2,3,0,666,9,2009,192000
193,7,8,970,2,3,0,380,5,2006,130000
194,5,124,864,1,3,0,352,5,2008,127000
195,6,582,855,2,3,1,440,7,2009,148500
196,7,126,1726,2,3,1,786,9,2007,311872
197,8,127,1360,2,4,1,795,3,2006,235000
198,6,8,929,1,5,0,0,7,2009,104000
199,8,128,1713,2,3,1,856,1,2009,274900
200,4,8,1121,2,2,0,440,3,2010,140000
201,6,208,1279,2,3,2,473,2,2008,171500
202,6,130,865,2,2,0,398,5,2006,112000
203,6,365,848,1,1,1,420,1,2008,149000
204,5,132,720,1,2,0,240,4,2009,110000
205,7,8,1442,2,3,0,500,5,2009,180500
206,5,8,1696,1,3,1,349,3,2007,143900
207,4,74,1100,1,3,1,312,4,2008,141000
208,7,606,1180,2,3,1,454,4,2007,277000
209,6,134,1092,1,3,0,504,7,2008,145000
210,5,135,864,1,2,0,0,4,2008,98000
211,6,136,1212,2,3,0,460,3,2010,186000
212,7,137,932,2,3,1,644,7,2009,252678
213,5,97,990,1,3,0,576,7,2006,156000
214,6,506,689,1,3,0,299,3,2010,161750
215,5,109,1236,1,2,1,447,5,2006,134450
216,7,139,1436,2,3,0,484,4,2008,210000
217,4,8,810,1,3,0,210,9,2006,107000
218,7,140,1137,1,3,2,431,5,2008,311500
219,7,297,1248,2,2,0,438,3,2006,167240
220,7,8,1498,2,2,0,675,4,2006,204900
221,6,8,1010,2,4,1,390,12,2009,200000
222,6,142,811,2,3,1,434,2,2006,179900
223,4,143,864,1,2,0,576,3,2009,97000
224,10,313,2392,2,3,1,968,6,2009,386250
225,5,8,630,2,3,0,280,5,2009,112000
226,7,540,1214,2,4,1,721,6,2007,290000
227,6,145,483,1,2,0,280,9,2008,106000
228,5,146,912,1,3,1,336,5,2010,125000
229,7,297,1555,2,2,1,430,5,2009,192500
230,6,8,1194,1,3,0,312,4,2010,148000
231,8,147,1490,2,4,1,810,7,2009,403000
232,6,8,483,1,2,1,288,6,2006,94500
233,5,226,894,1,3,0,308,2,2010,128200
234,6,148,860,2,4,2,440,5,2010,216500
235,6,149,483,1,2,0,264,8,2008,89500
236,7,55,1414,2,3,0,494,5,2010,185500
237,7,351,1014,2,3,0,457,2,2010,194500
238,8,8,1694,2,3,0,818,12,2007,318000
239,6,151,798,1,3,1,220,4,2010,113000
240,8,401,1566,2,3,0,750,4,2010,262500
241,5,153,866,1,2,0,0,8,2007,110500
242,5,8,889,1,3,0,352,4,2006,79000
243,6,8,626,1,3,1,288,4,2009,120000
244,7,85,1222,2,3,2,463,5,2010,205000
245,7,154,1872,2,3,1,604,6,2006,241500
246,6,8,908,2,4,0,440,4,2006,137000
247,6,8,1375,1,2,1,451,6,2006,140000
248,7,8,840,2,3,0,500,9,2007,180000
249,6,155,1444,2,4,2,389,6,2007,277000
250,3,8,1306,1,3,0,0,5,2010,76500
251,8,439,1625,2,2,1,538,12,2007,235000
252,6,8,798,2,3,0,520,12,2008,173000
253,6,157,1302,2,3,0,309,10,2007,158000
254,5,158,1314,1,3,0,294,6,2010,145000
255,7,8,1005,2,4,1,429,2,2006,230000
256,6,159,864,2,3,0,673,5,2008,207500
257,7,160,1604,2,3,1,660,3,2009,220000
258,7,161,963,2,3,1,564,5,2008,231500
259,5,8,882,1,2,0,308,12,2008,97000
260,6,221,1382,1,3,1,884,5,2009,176000
261,8,8,1482,2,3,1,868,11,2007,276000
262,6,163,1212,1,3,1,492,7,2006,151000
263,5,19,926,1,3,0,484,4,2010,130000
264,5,8,764,1,2,0,504,6,2008,73000
265,6,313,1422,2,3,1,576,6,2008,175500
266,6,164,802,2,3,1,413,6,2006,185000
267,5,506,1052,2,4,1,240,7,2008,179500
268,5,474,778,1,2,1,924,2,2008,120500
269,6,166,1113,1,3,1,504,5,2007,148000
270,8,8,1095,2,3,1,1053,8,2006,266000
271,7,593,1363,1,2,2,439,4,2008,241500
272,8,143,1164,2,4,1,671,4,2010,290000
273,6,279,1632,2,3,1,338,4,2009,139000
274,5,169,816,1,2,0,264,6,2007,124500
275,7,8,952,2,3,0,672,10,2009,205000
276,7,8,1560,2,3,0,573,4,2010,201000
277,4,604,864,1,2,0,400,6,2010,141000
278,9,8,2121,2,3,1,732,5,2007,415298
279,7,170,1156,2,4,1,505,3,2008,192000
280,7,171,1175,2,3,1,575,1,2007,228500
281,6,172,1262,2,2,0,572,5,2006,185000
282,7,173,1314,2,2,1,626,4,2009,207500
283,8,8,1468,2,3,1,898,12,2009,244600
284,6,174,1575,2,2,0,529,7,2007,179200
285,7,8,625,2,2,0,528,6,2007,164700
286,6,102,1085,1,3,1,440,6,2006,159000
287,4,175,858,1,3,0,0,6,2006,88000
288,5,550,900,1,3,0,280,2,2010,122000
289,6,8,698,1,3,0,384,7,2007,153575
290,8,8,1079,2,3,1,685,7,2006,233230
291,5,177,936,2,6,0,0,3,2008,135900
292,5,178,1148,1,3,1,281,1,2009,131000
293,7,179,1468,2,3,1,539,3,2006,235000
294,6,318,1644,1,3,2,418,10,2009,167000
295,6,181,1003,1,3,0,588,3,2006,142500
296,5,182,910,1,4,0,282,6,2007,152000
297,7,199,975,2,3,1,576,6,2007,239000
298,6,38,1041,1,3,1,539,6,2007,175000
299,6,8,1152,1,3,1,300,8,2009,158500
300,5,183,1336,1,2,2,375,6,2006,157000
301,8,184,1210,2,4,1,683,5,2007,267000
302,7,8,1541,2,3,1,843,1,2006,205000
303,5,266,894,1,3,0,552,7,2006,149900
304,7,8,1675,3,3,1,870,5,2008,295000
305,8,186,2000,2,3,0,888,7,2007,305900
306,7,371,1122,2,4,1,746,6,2007,225000
307,6,8,1035,1,3,0,0,3,2008,89500
308,4,188,861,1,1,0,539,3,2009,82500
309,9,602,1944,2,3,3,708,11,2006,360000
310,6,190,697,2,3,1,420,5,2006,165600
311,6,96,972,1,2,1,240,5,2009,132000
312,5,92,793,1,3,1,410,5,2006,119900
313,7,396,2036,2,3,2,513,6,2009,375000
314,7,297,832,1,3,1,546,8,2006,178000
315,7,585,716,2,3,1,432,7,2009,188500
316,7,374,1153,2,4,1,484,8,2009,260000
317,8,8,1088,2,3,1,1025,12,2007,270000
318,7,592,1372,2,4,1,656,4,2009,260000
319,7,127,1472,2,3,2,588,6,2009,187500
320,9,8,1249,3,4,0,840,9,2006,342643
321,8,195,1136,2,4,1,872,6,2007,354000
322,7,435,1553,2,4,1,576,8,2007,301000
323,3,426,1163,1,3,0,220,7,2006,126175
324,7,8,1898,2,5,1,564,6,2010,242000
325,5,345,803,1,2,0,360,12,2007,87000
326,8,198,1719,1,1,2,473,5,2008,324000
327,6,540,1383,1,3,0,292,4,2006,145250
328,6,8,1445,2,5,0,441,7,2009,214500
329,5,8,596,1,3,0,189,7,2009,78000
330,5,199,1728,2,6,0,352,11,2007,119000
331,5,200,1056,1,3,0,308,8,2007,139000
332,8,201,1629,2,3,1,880,10,2009,284000
333,7,202,1358,2,2,1,484,7,2008,207000
334,6,615,943,2,3,2,472,7,2008,192000
335,5,617,1619,2,3,2,529,8,2008,228950
336,9,617,1922,2,3,1,676,7,2007,377426
337,7,205,1536,2,3,0,532,12,2008,214000
338,7,350,1621,2,3,0,440,5,2006,202500
339,6,207,1215,1,3,0,297,6,2009,155000
340,8,8,993,2,4,0,431,4,2010,202900
341,4,8,841,1,2,0,294,9,2009,82000
342,3,8,1040,2,2,0,400,5,2006,87500
343,9,435,1684,2,2,1,564,7,2008,266000
344,5,208,536,1,3,0,336,4,2010,85000
345,6,8,972,1,3,1,312,10,2006,140200
346,6,209,958,1,2,0,301,4,2007,151500
347,6,210,1478,2,3,2,498,12,2009,157500
348,7,211,764,2,2,0,474,10,2008,154000
349,9,544,1848,2,4,2,706,4,2006,437154
350,9,8,1869,2,2,1,617,12,2007,318061
351,7,213,1453,1,2,1,445,12,2006,190000
352,5,214,616,1,3,0,200,3,2008,95000
353,6,8,720,1,2,0,484,5,2010,105900
354,6,215,1192,1,2,2,240,6,2006,140000
355,6,216,1200,2,3,0,521,8,2007,177500
356,6,123,1167,2,3,0,400,7,2009,173000
357,5,217,1142,1,3,1,528,8,2007,134000
358,5,79,1352,1,3,0,288,7,2006,130000
359,8,232,1086,2,3,1,592,6,2006,280000
360,6,536,912,1,2,1,470,6,2007,156000
361,5,521,988,1,3,0,240,7,2008,145000
362,7,8,495,3,4,1,672,7,2009,198500
363,6,221,483,1,2,0,264,5,2009,118000
364,6,222,790,2,3,1,566,7,2006,190000
365,5,31,672,1,3,0,468,7,2009,147000
366,6,467,1394,1,3,2,514,7,2009,159000
367,6,224,1431,1,3,1,296,12,2008,165000
368,5,225,1268,1,2,1,244,3,2010,132000
369,5,226,1287,1,3,1,576,3,2010,162000
370,6,8,953,2,3,1,460,1,2006,172400
371,4,8,1120,2,4,1,680,7,2008,134432
372,6,227,752,1,2,0,264,2,2010,125000
373,5,228,1319,1,3,0,270,11,2009,123000
374,7,8,847,2,4,1,434,7,2007,219500
375,1,229,904,0,1,0,0,3,2009,61000
376,5,230,914,1,2,0,576,7,2006,148000
377,8,8,1580,3,4,1,610,12,2007,340000
378,9,332,1856,1,1,1,834,6,2010,394432
379,6,8,1007,2,3,1,463,6,2009,179000
380,5,232,1026,2,3,1,308,5,2010,127000
381,7,8,1301,2,2,1,572,8,2006,187750
382,7,8,939,2,3,0,639,4,2007,213500
383,6,8,784,1,2,0,360,10,2009,76000
384,6,233,1079,2,3,2,501,6,2007,240000
385,8,55,1269,2,2,1,430,4,2010,192000
386,5,8,658,1,5,0,0,5,2006,81000
387,6,234,1125,1,3,1,352,10,2009,125000
388,7,8,1479,2,3,0,577,7,2008,191000
389,10,235,1742,2,3,1,846,8,2008,426000
390,5,236,961,1,4,0,384,4,2008,119000
391,6,237,804,2,3,1,560,6,2009,215000
392,5,8,882,1,3,0,294,7,2007,106500
393,4,238,788,1,2,2,0,4,2006,100000
394,5,8,735,1,2,0,240,7,2007,109000
395,5,43,1144,1,3,0,596,6,2010,129000
396,5,384,894,1,2,0,600,9,2009,123000
397,5,225,876,2,4,1,264,7,2007,169500
398,5,8,1077,1,2,0,338,11,2007,67000
399,7,515,1112,2,2,0,438,10,2009,241000
400,8,241,1288,1,1,2,500,12,2008,245500
401,7,55,1310,2,3,1,400,7,2006,164990
402,5,8,672,1,2,0,240,8,2008,108000
403,8,8,1165,2,4,1,420,7,2006,258000
404,6,8,806,2,3,1,373,5,2007,168000
405,4,242,1620,2,3,1,490,6,2009,150000
406,6,8,1166,1,3,0,240,3,2008,115000
407,6,8,840,2,4,0,308,3,2008,177000
408,7,8,1071,2,3,1,947,8,2007,280000
409,8,243,1050,2,3,1,836,4,2008,339750
410,5,8,1276,1,3,0,350,6,2009,60000
411,5,244,1056,1,3,0,572,1,2006,145000
412,7,14,1478,2,2,1,484,6,2010,222000
413,5,8,1028,1,2,1,360,3,2010,115000
414,7,245,1080,2,3,1,678,12,2008,228000
415,7,55,1340,2,3,0,396,8,2007,181134
416,6,95,672,1,3,1,440,3,2006,149500
417,6,246,1370,2,4,1,864,11,2007,239000
418,5,132,756,1,3,0,240,4,2007,126000
419,5,261,1056,1,3,1,304,7,2010,142000
420,7,589,1344,2,2,0,784,11,2008,206300
421,6,432,1602,2,3,1,529,6,2009,215000
422,5,8,988,1,2,0,520,2,2008,113000
423,8,250,1470,2,4,1,696,6,2008,315000
424,6,420,1196,1,2,1,297,5,2008,139000
425,7,8,707,1,3,2,240,9,2009,135000
426,7,403,1644,2,2,1,569,8,2009,275000
427,4,112,907,1,3,0,352,7,2008,109008
428,7,253,1208,2,2,0,628,9,2007,195400
429,6,87,1412,2,3,1,576,3,2009,175000
430,6,254,483,1,2,0,264,7,2008,85400
431,6,8,1088,1,4,0,0,9,2008,79900
432,5,255,765,1,2,0,440,8,2007,122500
433,6,8,926,2,3,1,470,7,2008,181000
434,4,289,630,1,1,0,0,6,2008,81000
435,7,256,827,2,3,1,550,4,2009,212000
436,6,8,734,1,2,0,440,10,2006,116000
437,6,8,904,1,2,0,180,1,2009,119000
438,5,472,694,1,2,1,352,3,2007,90350
439,6,8,684,1,3,0,528,8,2009,110000
440,10,258,2402,2,2,2,672,4,2009,555000
441,4,606,1440,2,4,0,0,9,2008,118000
442,5,8,1128,2,3,1,360,6,2008,162900
443,7,8,1258,2,2,1,648,6,2007,172500
444,7,260,933,2,4,1,493,7,2008,210000
445,6,8,1689,1,3,1,480,11,2009,127500
446,6,261,1888,2,2,1,578,6,2010,190000
447,7,8,956,2,4,1,431,7,2006,199900
448,6,8,780,2,3,1,198,6,2006,119500
449,3,262,679,1,2,0,308,6,2007,120000
450,6,8,813,1,2,0,270,6,2006,110000
451,7,4,1533,2,2,2,576,12,2006,280000
452,6,263,888,2,3,0,422,7,2007,204000
453,8,8,786,2,3,0,676,6,2009,210000
454,5,622,1728,2,4,0,560,7,2006,188000
455,7,265,1242,1,3,1,528,9,2007,175500
456,5,8,624,1,4,0,513,5,2008,98000
457,4,242,1663,1,2,2,529,3,2008,256000
458,8,8,833,1,3,1,228,6,2008,161000
459,5,266,979,1,3,1,352,7,2009,110000
460,8,267,832,2,3,0,552,12,2009,263435
461,7,229,575,1,3,0,576,4,2009,155000
462,5,268,864,1,3,1,360,12,2009,62383
463,6,269,849,1,3,1,240,8,2008,188700
464,5,420,1040,2,3,0,0,8,2009,124000
465,7,8,1414,2,2,1,398,5,2006,178740
466,7,270,1277,1,2,1,526,4,2007,167000
467,5,271,888,1,3,2,312,6,2007,146500
468,8,8,1634,2,3,1,866,5,2007,250000
469,6,272,832,2,3,0,506,6,2008,187000
470,8,502,1502,1,1,0,528,6,2010,212000
471,7,8,1161,2,3,1,534,11,2007,190000
472,6,274,1072,1,2,0,525,6,2008,148000
473,8,549,1976,2,2,1,908,7,2007,440000
474,8,276,1652,2,2,0,499,8,2007,251000
475,5,277,970,1,2,0,624,7,2007,132500
476,6,278,1493,2,3,1,508,4,2008,208900
477,9,8,2069,2,3,1,694,3,2007,380000
478,8,108,1718,2,3,1,826,9,2009,297000
479,4,279,1131,1,2,0,672,3,2007,89471
480,9,280,1850,2,3,1,772,3,2006,326000
481,9,281,1792,2,2,1,874,8,2006,374000
482,7,363,916,1,4,1,164,6,2009,155000
483,6,283,1216,2,2,0,402,5,2006,164000
484,5,313,999,1,3,0,264,3,2007,132500
485,5,471,1113,1,3,1,264,7,2009,147000
486,5,459,1073,1,3,0,515,6,2007,156000
487,5,11,1484,2,3,1,487,2,2007,175000
488,5,253,1766,2,3,1,520,5,2006,160000
489,4,286,630,1,1,0,286,5,2009,86000
490,5,8,616,1,3,1,336,6,2008,115000
491,6,474,958,1,3,2,240,8,2006,133000
492,6,8,728,2,3,0,429,5,2006,172785
493,5,287,1269,1,3,1,308,6,2008,155000
494,5,8,886,1,2,0,273,12,2009,91300
495,4,289,720,1,2,0,0,11,2009,34900
496,8,288,3228,3,4,1,546,5,2007,430000
497,7,153,1133,2,4,0,240,6,2008,184000
498,5,550,899,1,3,0,288,6,2009,130000
499,5,289,912,1,2,0,297,6,2007,120000
500,6,327,672,1,3,0,264,5,2007,113000
501,7,291,866,2,3,0,603,2,2008,226700
502,5,292,1214,1,2,0,461,4,2007,140000
503,7,293,1801,2,1,2,484,3,2010,289000
504,6,472,855,2,3,1,440,6,2009,147000
505,5,8,960,2,4,0,400,7,2009,124500
506,8,295,1065,2,3,1,471,9,2006,215000
507,6,551,1218,2,2,0,676,9,2009,208300
508,7,297,689,2,3,1,360,10,2008,161000
509,5,298,1041,1,3,0,270,7,2009,124500
510,5,299,1363,1,2,2,288,6,2009,164900
511,7,8,1368,2,2,1,474,3,2006,202665
512,5,300,864,1,3,0,624,7,2006,129900
513,6,52,1080,1,3,0,484,6,2007,134000
514,5,8,789,1,2,0,200,6,2007,96500
515,10,468,2020,2,3,1,900,9,2009,402861
516,6,8,1378,2,3,1,583,8,2009,158000
517,7,8,1277,2,3,1,889,7,2009,265000
518,6,8,882,2,3,0,546,5,2007,211000
519,7,8,1276,1,3,2,282,6,2009,234000
520,4,8,694,2,3,0,0,8,2008,106250
521,6,384,1244,1,3,2,336,5,2007,150000
522,6,521,1004,2,3,2,420,10,2006,159000
523,10,302,3138,3,3,1,884,10,2007,184750
524,7,303,1383,2,3,1,834,8,2007,315750
525,7,8,1266,2,3,1,453,4,2006,176000
526,5,304,928,1,2,0,252,6,2007,132000
527,9,305,1476,2,3,1,858,11,2008,446261
528,4,446,605,1,2,0,0,7,2007,86000
529,6,307,2515,3,4,2,484,3,2007,200624
530,6,320,1509,2,3,1,600,8,2008,175000
531,6,8,751,2,3,0,502,6,2008,128000
532,5,8,827,1,2,1,392,4,2010,107500
533,1,8,334,1,1,0,0,1,2007,39300
534,8,8,707,2,3,1,403,10,2006,178000
535,5,614,820,1,3,0,0,1,2008,107500
536,7,8,880,2,3,0,527,7,2008,188000
537,4,102,864,1,3,0,576,4,2008,111250
538,5,310,1159,1,3,1,336,7,2006,158000
539,8,379,1601,2,3,1,670,5,2010,272000
540,9,312,1838,2,2,1,765,3,2009,315000
541,8,8,997,2,4,1,648,6,2007,248000
542,7,313,1680,2,3,1,583,6,2009,213250
543,7,314,767,1,1,0,367,6,2007,133000
544,7,611,664,2,3,1,426,9,2006,179665
545,7,316,1377,2,4,0,786,2,2006,229000
546,6,79,915,1,3,1,440,5,2007,210000
547,5,508,768,1,2,0,624,4,2007,129500
548,5,318,825,1,2,0,720,6,2008,125000
549,7,8,912,2,4,1,615,11,2009,263000
550,6,630,1069,2,2,0,440,10,2008,140000
551,5,320,928,1,3,0,288,6,2008,112500
552,8,8,1717,2,3,1,908,7,2009,255500
553,4,8,1126,2,2,0,520,5,2009,108000
554,7,321,1006,2,3,1,871,8,2008,284000
555,5,8,1048,1,2,1,280,8,2006,113000
556,5,462,1092,1,2,1,299,5,2006,141000
557,4,323,897,1,3,0,570,9,2006,108000
558,7,504,729,2,3,1,406,8,2008,175000
559,7,8,1557,2,2,1,420,10,2006,234000
560,5,325,1392,1,3,1,528,5,2010,121500
561,5,326,1389,1,2,1,418,4,2006,170000
562,5,327,996,1,3,1,0,7,2008,108000
