,LotFrontage,OverallQual,YearRemodAdd,BsmtFinSF1,BsmtUnfSF,1stFlrSF,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SalePrice
31,0,5,2006,8,1228,1228,0,1,1,3,6,0,1,271,0,65,6,2008,149350
32,85,8,2007,8,1234,1234,0,2,0,3,7,0,2,484,0,30,1,2008,179900
33,70,5,1959,22,380,1700,0,1,1,4,6,1,2,447,0,38,4,2010,165500
34,60,9,2005,23,408,1561,1,2,0,2,6,1,2,556,203,47,8,2007,277500
35,108,8,2005,8,1117,1132,0,3,1,4,9,1,3,691,113,32,9,2006,309000
36,112,5,1995,8,1097,1097,0,1,1,3,6,0,2,672,392,64,6,2009,145000
37,74,5,1990,55,84,1297,0,1,0,3,5,1,2,498,0,0,10,2009,153000
38,68,5,2007,627,326,1057,1,1,0,3,5,0,1,246,0,52,1,2010,109000
39,65,4,1955,8,0,1152,0,2,0,2,6,0,0,0,0,0,6,2008,82000
40,84,6,1965,26,445,1324,0,2,0,3,6,1,2,440,0,138,12,2006,160000
41,115,5,1959,551,383,1328,0,1,1,2,5,2,1,308,0,104,7,2007,170000
42,0,5,1983,435,0,884,1,1,0,2,5,0,2,504,240,0,12,2007,144000
43,0,5,1980,29,167,938,1,1,0,3,5,0,1,308,145,0,7,2008,130250
44,70,5,1959,30,465,1150,1,1,0,3,6,0,1,300,0,0,5,2006,141000
45,61,9,2005,31,1296,1752,1,2,0,2,6,1,2,576,196,82,2,2010,319900
46,48,7,2003,32,83,1518,1,1,1,1,6,1,2,670,168,43,8,2009,239686
47,84,8,2006,55,1632,1656,0,2,0,3,7,0,3,826,0,146,7,2007,249700
48,33,4,2008,8,736,736,0,2,0,2,8,0,0,0,0,0,6,2009,113000
49,66,5,1966,34,192,955,1,1,0,3,6,0,1,386,0,0,1,2007,127000
50,0,6,1997,226,612,794,0,2,0,3,6,0,2,388,0,75,7,2007,177000
51,52,6,1950,8,816,816,0,1,0,3,6,1,2,528,112,0,9,2006,114500
52,110,5,1963,136,0,816,1,1,0,2,5,0,2,516,106,0,5,2010,110000
53,68,9,1987,37,32,1842,2,0,1,0,5,1,3,894,857,72,11,2006,385000
54,60,5,1955,38,0,1360,0,1,0,3,6,1,2,572,0,50,2,2007,130000
55,100,6,1964,39,935,1425,0,2,0,3,7,1,2,576,0,0,7,2008,180500
56,24,8,2000,199,321,983,1,2,1,3,7,0,2,480,115,0,8,2009,172500
57,89,7,2004,8,860,860,0,2,1,3,7,0,2,565,0,70,8,2006,196500
58,66,10,2006,8,1410,1426,0,3,1,3,10,1,3,641,192,0,10,2006,438780
59,60,5,1972,355,148,780,0,1,0,2,4,0,1,352,196,0,1,2008,124900
60,63,6,2004,42,217,1158,1,1,1,3,5,0,2,576,0,50,5,2006,158000
61,60,5,1996,8,530,581,0,1,0,3,6,0,1,288,0,0,3,2007,101000
62,44,8,2006,55,1346,1370,0,2,0,2,6,1,2,484,120,49,10,2007,202500
63,50,7,1950,8,576,902,0,2,0,3,9,0,2,480,12,11,4,2010,140000
64,0,7,1998,43,318,1057,1,2,1,3,8,0,2,645,576,36,2,2009,219500
65,76,8,2005,8,1143,1143,0,2,1,4,9,1,3,852,192,151,10,2007,317000
66,0,7,1989,44,1035,2207,1,2,0,3,7,1,2,576,301,0,7,2010,180000
67,72,7,2003,45,440,1479,1,2,0,3,7,0,2,558,144,29,6,2007,226000
68,47,4,1950,8,747,747,0,1,0,2,4,0,1,220,0,0,6,2010,80000
69,81,7,1953,46,701,1304,0,2,0,3,7,1,2,667,0,21,7,2006,225000
70,95,7,1973,47,343,2223,1,2,0,3,8,2,2,516,300,0,2,2007,244000
71,69,4,2006,540,280,845,1,1,0,2,4,0,2,360,0,0,6,2007,129500
72,74,7,1998,8,832,885,0,2,1,3,7,1,2,427,0,94,12,2009,185000
73,85,5,2003,635,404,1086,1,1,0,3,6,0,2,490,0,0,5,2010,144900
74,60,3,1950,8,840,840,0,2,0,3,8,0,1,379,0,0,5,2010,107400
75,21,4,1973,245,0,526,1,1,0,2,5,0,1,297,120,101,11,2009,91000
76,0,4,1956,51,724,952,0,1,0,2,4,0,1,283,0,0,4,2008,135750
77,50,5,2001,52,295,1072,1,1,0,2,6,0,1,240,0,0,1,2008,127000
78,72,4,1968,8,1768,1768,0,2,0,4,8,0,0,0,0,0,4,2010,136500
79,60,5,1981,8,440,682,0,1,1,2,5,0,2,440,74,0,5,2009,110000
80,100,6,1968,53,448,1182,0,2,1,4,8,1,1,509,0,72,6,2009,193500
81,32,6,1998,54,36,1337,1,2,0,2,5,0,2,405,0,199,3,2006,153500
82,78,8,2007,55,1530,1563,0,2,0,3,6,1,3,758,144,99,10,2008,245000
83,80,5,1960,8,1065,1065,0,1,1,3,6,0,2,461,74,0,7,2007,126500
84,0,7,1996,8,384,804,0,2,1,3,7,1,2,400,120,72,5,2009,168500
85,121,8,1992,8,1288,1301,0,2,1,4,9,1,2,462,127,82,4,2006,260000
86,122,6,2005,8,684,684,0,2,1,3,6,1,2,400,100,38,3,2009,174000
87,40,6,2009,8,612,612,0,2,1,2,4,0,2,528,0,234,6,2009,164500
88,105,3,1982,8,1013,1013,0,1,0,2,6,0,0,0,0,0,10,2009,85000
89,60,4,1995,313,402,990,1,1,0,3,5,0,0,0,0,0,8,2007,123600
90,60,4,1950,8,0,1040,0,1,0,2,4,0,2,420,0,29,7,2006,109900
91,85,5,1961,102,635,1235,0,1,0,2,6,0,2,480,0,0,12,2006,98600
92,80,5,2006,58,163,964,1,1,0,2,5,0,2,432,0,0,8,2009,163500
93,60,6,1998,59,168,1260,0,2,0,4,9,1,2,506,0,0,11,2007,133900
94,69,6,1997,60,176,905,1,2,1,3,7,0,2,684,0,162,5,2007,204750
95,0,6,1993,61,370,680,0,2,1,3,6,1,2,420,232,63,4,2009,185000
96,78,7,1999,62,426,1588,0,2,0,3,6,0,2,472,158,29,8,2006,214000
97,73,4,1965,466,440,960,1,1,0,3,6,0,1,432,120,0,5,2007,94750
98,85,5,1950,450,350,835,0,1,0,2,5,0,1,366,0,0,5,2010,83000
99,77,4,1959,65,381,1225,1,1,1,3,6,0,0,0,352,0,1,2010,128950
100,0,6,2001,66,410,1610,1,2,0,3,6,2,2,480,168,68,2,2010,205000
101,77,6,1985,8,741,977,0,2,1,3,7,1,2,476,192,46,6,2010,178000
102,64,5,1979,8,0,1535,0,2,0,4,8,0,2,410,0,0,6,2009,118964
103,94,7,2009,8,1226,1226,0,2,0,3,6,0,3,740,0,36,5,2010,198900
104,0,7,1950,67,816,1226,0,1,1,4,7,2,1,240,0,0,6,2007,169500
105,75,8,2004,8,1053,1053,0,2,1,3,9,1,2,648,140,45,8,2008,250000
106,60,4,1995,8,641,1047,0,1,0,2,6,0,1,273,0,0,8,2007,100000
107,50,5,1950,136,516,789,0,1,0,2,5,0,1,250,0,0,4,2008,115000
108,85,5,2005,8,793,997,0,2,0,3,7,0,0,0,0,0,8,2007,115000
109,105,6,1977,68,1139,1844,0,2,0,3,7,1,2,546,0,122,1,2010,190000
110,75,6,1972,69,550,1216,0,2,0,4,7,0,1,325,182,0,10,2006,136900
111,0,7,2000,70,134,774,0,2,1,3,7,1,2,400,180,0,4,2010,180000
112,77,7,2007,71,280,1282,1,2,1,4,10,1,3,792,120,184,10,2007,383970
113,0,6,1953,226,905,2259,1,2,0,3,7,2,2,450,166,120,10,2007,217000
114,61,6,2002,73,104,1436,1,2,1,3,9,1,1,180,224,0,7,2007,259500
115,34,6,1999,74,310,729,0,2,1,2,5,1,2,440,0,32,6,2007,176000
116,0,5,1962,525,252,1092,0,1,0,3,6,1,1,288,0,20,9,2009,139000
117,74,5,2007,8,1125,1125,0,1,1,2,5,0,2,430,80,64,4,2007,155000
118,90,7,1990,76,203,1699,1,3,0,5,11,2,3,594,367,0,5,2010,320000
119,65,6,2006,8,728,728,0,2,1,3,8,1,2,390,0,24,7,2006,163990
120,0,6,1969,77,0,988,1,1,0,1,4,2,2,540,0,130,10,2006,180000
121,50,4,1950,8,732,772,0,1,0,3,4,0,1,264,0,0,6,2007,100000
122,75,6,1958,78,510,1080,0,1,0,3,5,0,1,288,0,0,6,2008,136000
123,55,6,1993,79,899,1199,0,2,0,2,5,0,2,530,0,63,3,2008,153900
124,48,6,1998,8,1362,1586,0,2,0,3,7,1,2,435,192,0,1,2009,181000
125,60,6,1982,39,30,520,1,1,0,2,5,0,0,0,53,0,6,2006,84500
126,0,6,1976,604,958,958,0,2,0,2,5,1,2,440,0,205,2,2007,128000
127,55,5,1950,345,556,840,0,1,0,3,5,1,0,0,0,0,6,2007,87000
128,69,6,1966,82,148,660,0,1,1,3,6,1,2,453,188,108,7,2006,155000
129,69,5,1991,83,413,1053,0,1,1,3,6,0,2,750,0,80,7,2006,150000
130,88,7,1966,84,479,1216,0,2,1,4,8,2,2,487,105,66,5,2006,226000
131,0,6,2000,85,297,1022,1,2,1,3,7,1,2,390,24,48,7,2009,244000
132,75,5,2002,86,658,1327,1,1,0,3,7,0,2,624,0,0,7,2007,150750
133,0,8,2002,87,262,1296,1,2,0,2,6,0,2,471,192,25,6,2009,220000
134,78,5,1993,78,891,1721,0,2,1,3,7,1,2,440,0,96,7,2006,180000
135,80,7,1970,8,1304,1682,0,2,0,3,7,1,2,530,98,0,5,2008,174000
136,0,5,1967,85,519,1214,0,2,0,3,5,1,1,318,0,111,7,2007,143000
137,82,7,1989,8,1907,1959,0,3,0,5,9,0,3,766,0,0,7,2006,171000
138,73,8,2000,88,336,1004,0,2,1,3,7,2,3,660,224,106,12,2008,230000
139,65,6,1997,89,107,928,1,2,1,3,7,0,2,470,276,99,8,2009,231500
140,70,4,1971,90,432,864,0,1,0,3,5,1,0,0,0,0,4,2010,115000
141,78,7,2005,91,434,1734,1,2,0,3,7,0,2,660,160,24,1,2006,260000
142,71,5,1952,92,403,910,0,2,0,4,6,0,2,720,0,0,6,2010,166000
143,78,7,1999,93,811,1501,1,2,0,3,6,0,2,577,144,29,6,2009,204000
144,70,5,1963,151,396,1728,1,2,0,6,10,0,2,504,0,0,11,2006,125000
145,24,6,2006,8,970,970,0,2,0,3,7,0,2,380,0,40,4,2006,130000
146,51,5,1993,95,506,875,1,1,0,2,5,0,1,180,48,0,11,2009,105000
147,0,7,2001,8,884,884,0,2,1,3,8,1,2,434,144,48,5,2010,222500
148,63,7,2005,96,400,1080,1,1,0,3,6,0,0,0,0,0,4,2008,141000
149,0,5,1950,8,896,896,0,1,0,3,7,0,1,240,200,114,4,2006,115000
150,120,5,1975,97,253,969,0,1,1,3,5,0,2,440,0,0,1,2007,122000
151,107,8,2008,98,310,1710,1,2,0,2,6,1,3,866,0,102,1,2008,372402
152,0,6,1971,99,409,1097,0,2,1,4,8,1,2,495,0,66,6,2006,190000
153,0,6,1975,100,93,1252,1,1,0,1,4,1,2,564,409,0,3,2008,235000
154,84,6,1950,8,1200,1200,0,1,0,4,7,0,1,312,0,0,3,2006,125000
155,60,6,1950,8,572,572,0,1,0,2,5,0,0,0,0,8,4,2008,79000
156,60,5,1950,8,0,1040,0,1,0,2,5,0,2,625,0,0,6,2006,109500
157,92,8,2010,8,774,774,0,2,1,4,8,1,3,680,0,75,5,2010,269500
158,100,7,2005,101,769,991,0,2,1,3,8,1,2,678,0,136,5,2010,254900
159,134,7,2006,102,1335,1392,1,2,1,4,9,1,2,576,239,132,3,2006,320000
160,0,6,1984,103,572,1232,0,2,0,3,6,0,2,516,0,0,6,2008,162500
161,110,9,2004,104,556,1572,1,2,1,3,10,2,3,726,400,0,3,2008,412500
162,95,7,2005,54,340,1541,0,2,0,3,7,1,2,532,0,70,5,2010,220000
163,55,4,1956,8,882,882,0,1,0,1,4,0,0,0,0,0,4,2007,103200
164,40,6,2004,105,779,1149,0,2,0,3,5,0,1,216,0,0,10,2007,152000
165,62,5,1999,106,112,808,1,2,0,4,6,0,0,0,140,0,9,2008,127500
166,0,5,1993,107,470,1867,1,1,0,2,7,3,1,303,476,0,11,2009,190000
167,86,8,2007,108,294,1610,1,1,1,3,8,1,3,789,178,120,11,2007,325624
168,62,7,2004,8,840,840,0,2,1,3,7,1,2,440,100,48,5,2007,183500
169,0,8,1981,8,1686,1707,0,2,1,2,6,1,2,511,574,64,1,2006,228000
170,0,5,1950,109,360,854,0,1,1,2,7,0,2,660,237,0,5,2007,128500
171,141,6,1960,110,441,1656,1,1,0,3,7,2,2,528,210,62,5,2010,215000
172,44,7,1987,289,354,1064,1,2,0,2,5,1,2,504,441,35,6,2006,239000
173,80,6,1961,112,700,1362,1,1,1,3,6,1,2,504,0,20,6,2008,163000
174,47,6,1986,113,0,1651,1,2,0,3,7,1,2,616,192,0,11,2008,184000
175,84,6,2001,114,725,2158,1,2,0,4,7,1,2,576,0,29,6,2007,243000
176,97,6,1989,115,320,1164,0,2,1,4,8,1,2,521,0,228,9,2007,211000
177,0,5,1958,102,554,1252,1,2,0,4,8,1,2,451,0,0,7,2006,172500
178,63,9,2009,116,312,2234,1,2,0,1,9,1,3,1166,0,60,7,2009,501837
179,60,5,2006,8,968,968,0,1,0,2,5,0,2,480,0,0,7,2007,100000
180,0,6,2000,117,320,769,0,2,1,3,5,1,2,440,0,0,6,2007,177000
181,54,7,1950,118,441,901,0,1,1,4,9,1,1,216,0,0,7,2006,200100
182,60,5,2006,8,0,1340,0,1,0,3,7,1,1,252,116,0,6,2007,120000
183,63,7,2003,8,1362,1362,0,2,1,3,6,0,2,484,280,238,6,2008,200000
184,92,5,1991,8,504,936,0,1,0,3,5,0,2,576,104,0,6,2006,127000
185,90,10,1993,8,1107,1518,0,2,1,4,12,2,3,840,0,260,6,2006,475000
186,0,7,1991,119,577,1217,1,2,0,3,6,0,2,497,168,27,6,2009,173000
187,60,5,1987,8,660,808,0,2,1,3,8,0,1,180,0,0,8,2009,135000
188,64,5,1979,120,0,1224,2,0,2,2,6,2,2,528,120,0,6,2009,153337
189,41,8,2002,23,440,1593,1,1,1,0,5,1,2,682,0,120,8,2008,286000
190,70,8,1994,121,556,1549,0,2,1,3,10,2,2,440,0,74,12,2007,315000
191,0,7,2004,122,99,725,1,1,1,4,7,0,2,484,0,32,6,2007,184000
192,68,7,1999,123,871,1431,1,2,0,3,6,0,2,666,0,35,9,2009,192000
193,24,7,2004,8,970,970,0,2,0,3,7,0,2,380,0,40,5,2006,130000
194,60,5,1972,124,474,864,0,1,0,3,5,0,1,352,0,0,5,2008,127000
195,24,6,1976,582,289,855,0,2,1,3,7,1,2,440,87,0,7,2009,148500
196,79,7,2007,126,600,1726,1,2,0,3,8,1,3,786,171,138,9,2007,311872
197,174,8,1990,127,140,1360,1,2,0,4,8,1,2,795,0,16,3,2006,235000
198,92,6,1950,8,755,929,0,1,0,5,8,0,0,0,0,198,7,2009,104000
199,76,8,2005,128,625,1713,1,2,0,3,7,1,3,856,0,26,1,2009,274900
200,80,4,2004,8,1121,1121,0,2,0,2,5,0,2,440,132,64,3,2010,140000
201,75,6,1977,208,276,1279,0,2,0,3,6,2,2,473,238,83,2,2008,171500
202,50,6,1950,130,0,865,0,2,0,2,6,0,1,398,0,0,5,2006,112000
203,0,6,2004,365,186,848,1,1,0,1,3,1,2,420,149,0,1,2008,149000
204,50,5,1950,132,408,720,0,1,1,2,5,0,1,240,0,35,4,2009,110000
205,99,7,1990,8,1424,1442,0,2,0,3,5,0,2,500,0,34,5,2009,180500
206,40,5,1962,8,1140,1696,0,1,1,3,8,1,1,349,0,30,3,2007,143900
207,0,4,1960,74,375,1100,1,1,0,3,6,1,1,312,355,0,4,2008,141000
208,0,7,1989,606,92,1180,1,2,1,3,7,1,2,454,60,55,4,2007,277000
209,75,6,1964,134,305,1092,1,1,0,3,6,0,2,504,0,0,7,2008,145000
210,67,5,1950,135,396,864,1,1,0,2,5,0,0,0,0,0,4,2008,98000
211,83,6,2009,136,1176,1212,0,2,0,3,6,0,2,460,100,22,3,2010,186000
212,72,7,2009,137,78,932,1,2,1,3,7,1,2,644,168,108,7,2009,252678
213,43,5,1995,97,274,990,0,1,0,3,5,0,2,576,224,0,7,2006,156000
214,0,6,1977,506,311,689,0,1,1,3,6,0,1,299,0,36,3,2010,161750
215,72,5,1996,109,710,1236,0,1,0,2,6,1,1,447,0,0,5,2006,134450
216,65,7,2004,139,490,1436,1,2,0,3,8,0,2,484,139,98,4,2008,210000
217,57,4,1950,8,686,810,0,1,0,3,8,0,1,210,0,172,9,2006,107000
218,0,7,2006,140,457,1137,0,1,1,3,8,2,2,431,0,119,5,2008,311500
219,43,7,2006,297,1232,1248,0,2,0,2,5,0,2,438,108,0,3,2006,167240
220,73,7,2006,8,1498,1498,0,2,0,2,5,0,2,675,351,33,4,2006,204900
221,0,6,2002,8,1010,1010,0,2,1,4,8,1,2,390,120,46,12,2009,200000
222,85,6,1975,142,163,811,1,2,1,3,6,1,2,434,209,208,2,2006,179900
223,70,4,1971,143,160,864,0,1,0,2,4,0,2,576,216,0,3,2009,97000
224,103,10,2003,313,2336,2392,0,2,0,3,8,1,3,968,248,105,6,2009,386250
225,21,5,1971,8,630,630,0,2,1,3,6,0,1,280,0,0,5,2009,112000
226,82,7,1995,540,638,1214,0,2,1,4,9,1,3,721,224,114,6,2007,290000
227,21,6,1970,145,162,483,0,1,1,2,5,0,1,280,0,0,9,2008,106000
228,70,5,1967,146,70,912,0,1,0,3,5,1,1,336,0,0,5,2010,125000
229,43,7,2006,297,1357,1555,0,2,0,2,7,1,2,430,143,20,5,2009,192500
230,73,6,1959,8,1194,1194,1,1,0,3,6,0,1,312,0,0,4,2010,148000
231,174,8,1996,147,773,1490,1,2,1,4,9,1,3,810,0,146,7,2009,403000
232,21,6,1972,8,483,483,0,1,1,2,5,1,1,288,0,0,6,2006,94500
233,75,5,1976,226,0,894,1,1,0,3,5,0,1,308,365,0,2,2010,128200
234,0,6,2002,148,235,860,1,2,1,4,8,2,2,440,288,48,5,2010,216500
235,21,6,1971,149,125,483,0,1,1,2,5,0,1,264,0,0,8,2008,89500
236,65,7,2004,55,1390,1414,0,2,0,3,6,0,2,494,132,105,5,2010,185500
237,0,7,2003,351,594,1014,0,2,1,3,7,0,2,457,370,70,2,2010,194500
238,93,8,2007,8,1694,1694,0,2,0,3,7,0,3,818,168,228,12,2007,318000
239,52,6,1950,151,641,798,0,1,1,3,7,1,1,220,0,140,4,2010,113000
240,75,8,2008,401,488,1566,1,2,0,3,7,0,2,750,144,168,4,2010,262500
241,40,5,1997,153,357,866,0,1,0,2,4,0,0,0,58,42,8,2007,110500
242,63,5,1950,8,540,889,0,1,0,3,6,0,1,352,0,0,4,2006,79000
243,75,6,1980,8,626,626,0,1,1,3,6,1,1,288,0,28,4,2009,120000
244,0,7,2002,85,253,1222,1,2,1,3,8,2,2,463,0,130,5,2010,205000
245,80,7,1988,154,916,1872,0,2,0,3,6,1,2,604,197,39,6,2006,241500
246,69,6,1950,8,1020,908,0,2,0,4,9,0,1,440,0,60,4,2006,137000
247,75,6,1954,8,1367,1375,0,1,0,2,5,1,2,451,0,30,6,2006,140000
248,72,7,2003,8,840,840,0,2,1,3,8,0,2,500,144,68,9,2007,180000
249,0,6,2006,155,747,1444,0,2,0,4,7,2,2,389,0,98,6,2007,277000
250,55,3,1966,8,728,1306,0,1,0,3,6,0,0,0,263,0,5,2010,76500
251,44,8,2007,439,0,1625,1,2,0,2,5,1,2,538,123,0,12,2007,235000
252,65,6,2004,8,798,798,0,2,1,3,6,0,2,520,138,45,12,2008,173000
253,85,6,1991,157,452,1302,0,2,0,3,7,0,1,309,333,0,10,2007,158000
254,70,5,1957,158,392,1314,1,1,0,3,5,0,1,294,250,0,6,2010,145000
255,66,7,1999,8,975,1005,0,2,1,4,8,1,2,429,192,0,2,2006,230000
256,64,6,2003,159,361,864,0,2,1,3,7,0,2,673,216,56,5,2008,207500
257,68,7,2006,160,270,1604,1,2,1,3,8,1,2,660,123,110,3,2009,220000
258,80,7,2001,161,602,963,0,2,1,3,7,1,2,564,0,96,5,2008,231500
259,70,5,1956,8,0,882,0,1,0,2,4,0,1,308,0,45,12,2008,97000
260,120,6,1962,221,0,1382,1,1,0,3,6,1,2,884,0,0,5,2009,176000
261,69,8,2007,8,1482,1482,0,2,1,3,10,1,3,868,0,148,11,2007,276000
262,88,6,1995,163,0,1212,1,1,0,3,6,1,2,492,292,12,7,2006,151000
263,50,5,2001,19,0,926,1,1,0,3,6,0,2,484,0,0,4,2010,130000
264,30,5,2004,8,680,764,0,1,0,2,4,0,2,504,0,0,6,2008,73000
265,78,6,1981,313,606,1422,0,2,0,3,7,1,2,576,276,0,6,2008,175500
266,70,6,1997,164,88,802,1,2,1,3,8,1,2,413,95,75,6,2006,185000
267,60,5,1997,506,342,1052,0,2,1,4,8,1,1,240,262,24,7,2008,179500
268,71,5,1955,474,212,778,0,1,0,2,4,1,1,924,0,25,2,2008,120500
269,0,6,1976,166,392,1113,1,1,1,3,6,1,1,504,370,30,5,2007,148000
270,84,8,2006,8,1095,1095,0,2,1,3,8,1,3,1053,192,51,8,2006,266000
271,73,7,2005,593,96,1363,1,1,0,2,5,2,2,439,81,0,4,2008,241500
272,92,8,2007,143,628,1164,0,2,1,4,9,1,3,671,132,57,4,2010,290000
273,80,6,1988,279,0,1632,1,2,0,3,6,1,1,338,289,0,4,2009,139000
274,76,5,1982,169,270,816,0,1,0,2,5,0,1,264,168,0,6,2007,124500
275,55,7,2007,8,952,952,0,2,1,3,5,0,2,672,74,0,10,2009,205000
276,129,7,2003,8,1560,1560,0,2,0,3,7,0,2,573,100,150,4,2010,201000
277,140,4,1951,604,744,864,0,1,0,2,4,0,2,400,0,0,6,2010,141000
278,107,9,2007,8,2121,2121,0,2,1,3,8,1,3,732,124,98,5,2007,415298
279,83,7,1977,170,768,1156,0,2,1,4,8,1,2,505,288,117,3,2008,192000
280,82,7,1989,171,386,1175,0,2,1,3,7,1,2,575,0,84,1,2007,228500
281,60,6,2006,172,357,1262,0,2,0,2,5,0,2,572,0,120,5,2006,185000
282,34,7,2008,173,410,1314,1,2,0,2,6,1,2,626,172,62,4,2009,207500
283,74,8,2009,8,1468,1468,0,2,0,3,6,1,3,898,210,150,12,2009,244600
284,50,6,1992,174,1145,1575,1,2,0,2,5,0,2,529,0,0,7,2007,179200
285,35,7,2007,8,625,625,0,2,1,2,5,0,2,528,0,54,6,2007,164700
286,77,6,1981,102,312,1085,0,1,1,3,7,1,2,440,0,0,6,2006,159000
287,0,4,1971,175,244,858,0,1,0,3,5,0,0,0,0,0,6,2006,88000
288,0,5,1967,550,432,900,0,1,0,3,5,0,1,280,0,0,2,2010,122000
289,60,6,2003,8,698,698,0,1,0,3,7,0,1,384,0,0,7,2007,153575
290,120,8,2006,8,1079,1079,0,2,1,3,8,1,2,685,0,51,7,2006,233230
291,55,5,2000,177,570,936,1,2,0,6,9,0,0,0,0,184,3,2008,135900
292,60,5,2008,178,476,1148,0,1,1,3,8,1,1,281,0,0,1,2009,131000
293,0,7,1994,179,0,1468,1,2,1,3,9,1,2,539,0,250,3,2006,235000
294,80,6,1953,318,131,1644,1,1,0,3,7,2,2,418,110,0,10,2009,167000
295,37,6,1984,181,184,1003,1,1,0,3,6,0,2,588,120,0,3,2006,142500
296,75,5,1950,182,490,910,0,1,1,4,6,0,1,282,289,0,6,2007,152000
297,66,7,1998,199,326,975,0,2,1,3,7,1,2,576,0,10,6,2007,239000
298,90,6,1968,38,143,1041,0,1,2,3,7,1,2,539,224,0,6,2007,175000
299,80,6,2004,8,1092,1152,0,1,0,3,6,1,1,300,0,36,8,2009,158500
300,90,5,1953,183,324,1336,1,1,0,2,5,2,1,375,0,0,6,2006,157000
301,66,8,1999,184,747,1210,0,2,1,4,9,1,2,683,208,50,5,2007,267000
302,118,7,2002,8,1541,1541,0,2,0,3,6,1,3,843,468,81,1,2006,205000
303,70,5,1972,266,0,894,1,1,0,3,5,0,2,552,256,0,7,2006,149900
304,87,7,2002,8,1470,1675,0,3,0,3,10,1,3,870,302,0,5,2008,295000
305,80,8,2005,186,536,2000,1,2,0,3,8,0,3,888,168,0,7,2007,305900
306,116,7,1991,371,0,1122,1,2,1,4,8,1,3,746,127,44,6,2007,225000
307,0,6,1950,8,319,1035,0,1,0,3,6,0,0,0,0,144,3,2008,89500
308,0,4,1950,188,599,861,0,1,0,1,4,0,2,539,158,0,3,2009,82500
309,90,9,2004,602,622,1944,1,2,0,3,8,3,3,708,208,175,11,2006,360000
310,0,6,1994,190,179,697,0,2,1,3,6,1,2,420,190,63,5,2006,165600
311,50,6,2002,96,292,972,1,1,0,2,5,1,1,240,0,0,5,2009,132000
