,MSSubClass,LotFrontage,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,YrSold,SalePrice
43,20,0,5,6,1975,1980,0,29,491,167,938,938,0,938,1,1,0,3,5,0,1,308,145,0,0,7,2008,130250
44,20,70,5,6,1959,1959,0,30,506,465,1150,1150,0,1150,1,1,0,3,6,0,1,300,0,0,0,5,2006,141000
45,120,61,9,5,2005,2005,412,31,0,1296,1752,1752,0,1752,1,2,0,2,6,1,2,576,196,82,0,2,2010,319900
46,50,48,7,5,2003,2003,0,32,0,83,1434,1518,631,2149,1,1,1,1,6,1,2,670,168,43,0,8,2009,239686
47,20,84,8,5,2006,2006,0,55,0,1632,1656,1656,0,1656,0,2,0,3,7,0,3,826,0,146,0,7,2007,249700
48,190,33,4,5,1920,2008,0,8,0,736,736,736,716,1452,0,2,0,2,8,0,0,0,0,0,102,6,2009,113000
49,20,66,5,7,1966,1966,0,34,0,192,955,955,0,955,1,1,0,3,6,0,1,386,0,0,0,1,2007,127000
50,60,0,6,6,1997,1997,0,226,0,612,794,794,676,1470,0,2,0,3,6,0,2,388,0,75,0,7,2007,177000
51,50,52,6,6,1934,1950,0,8,0,816,816,816,0,1176,0,1,0,3,6,1,2,528,112,0,0,9,2006,114500
52,90,110,5,5,1963,1963,0,136,712,0,816,816,0,816,1,1,0,2,5,0,2,516,106,0,0,5,2010,110000
53,20,68,9,5,1981,1987,0,37,0,32,1842,1842,0,1842,2,0,1,0,5,1,3,894,857,72,0,11,2006,385000
54,80,60,5,5,1955,1955,0,38,0,0,384,1360,0,1360,0,1,0,3,6,1,2,572,0,50,0,2,2007,130000
55,20,100,6,5,1964,1964,272,39,0,935,1425,1425,0,1425,0,2,0,3,7,1,2,576,0,0,0,7,2008,180500
56,160,24,8,5,1999,2000,456,199,0,321,970,983,756,1739,1,2,1,3,7,0,2,480,115,0,0,8,2009,172500
57,60,89,7,5,2004,2004,0,8,0,860,860,860,860,1720,0,2,1,3,7,0,2,565,0,70,0,8,2006,196500
58,60,66,10,5,2006,2006,1031,8,0,1410,1410,1426,1519,2945,0,3,1,3,10,1,3,641,192,0,37,10,2006,438780
59,20,60,5,7,1972,1972,0,355,0,148,780,780,0,780,0,1,0,2,4,0,1,352,196,0,0,1,2008,124900
60,20,63,6,5,2004,2004,0,42,0,217,1158,1158,0,1158,1,1,1,3,5,0,2,576,0,50,0,5,2006,158000
61,75,60,5,7,1920,1996,0,8,0,530,530,581,530,1111,0,1,0,3,6,0,1,288,0,0,144,3,2007,101000
62,120,44,8,5,2006,2006,178,55,0,1346,1370,1370,0,1370,0,2,0,2,6,1,2,484,120,49,0,10,2007,202500
63,70,50,7,6,1921,1950,0,8,0,576,576,902,808,1710,0,2,0,3,9,0,2,480,12,11,64,4,2010,140000
64,60,0,7,5,1997,1998,573,43,0,318,1057,1057,977,2034,1,2,1,3,8,0,2,645,576,36,0,2,2009,219500
65,60,76,8,5,2004,2005,344,8,0,1143,1143,1143,1330,2473,0,2,1,4,9,1,3,852,192,151,0,10,2007,317000
66,20,0,7,5,1970,1989,287,44,0,1035,1947,2207,0,2207,1,2,0,3,7,1,2,576,301,0,0,7,2010,180000
67,20,72,7,5,2003,2003,167,45,0,440,1453,1479,0,1479,1,2,0,3,7,0,2,558,144,29,0,6,2007,226000
68,30,47,4,6,1945,1950,0,8,0,747,747,747,0,747,0,1,0,2,4,0,1,220,0,0,0,6,2010,80000
69,50,81,7,4,1953,1953,0,46,0,701,1304,1304,983,2287,0,2,0,3,7,1,2,667,0,21,114,7,2006,225000
70,20,95,7,6,1973,1973,1115,47,0,343,2223,2223,0,2223,1,2,0,3,8,2,2,516,300,0,0,2,2007,244000
71,20,69,4,6,1982,2006,0,540,0,280,845,845,0,845,1,1,0,2,4,0,2,360,0,0,0,6,2007,129500
72,60,74,7,5,1998,1998,40,8,0,832,832,885,833,1718,0,2,1,3,7,1,2,427,0,94,0,12,2009,185000
73,20,85,5,7,1954,2003,104,635,362,404,1086,1086,0,1086,1,1,0,3,6,0,2,490,0,0,0,5,2010,144900
74,50,60,3,6,1915,1950,0,8,0,840,840,840,765,1605,0,2,0,3,8,0,1,379,0,0,202,5,2010,107400
75,180,21,4,5,1973,1973,0,245,0,0,462,526,462,988,1,1,0,2,5,0,1,297,120,101,0,11,2009,91000
76,20,0,4,7,1956,1956,0,51,0,724,952,952,0,952,0,1,0,2,4,0,1,283,0,0,0,4,2008,135750
77,50,50,5,5,1948,2001,0,52,41,295,672,1072,213,1285,1,1,0,2,6,0,1,240,0,0,0,1,2008,127000
78,90,72,4,5,1968,1968,0,8,0,1768,1768,1768,0,1768,0,2,0,4,8,0,0,0,0,0,0,4,2010,136500
79,50,60,5,6,1910,1981,0,8,0,440,440,682,548,1230,0,1,1,2,5,0,2,440,74,0,128,5,2009,110000
80,60,100,6,6,1968,1968,576,53,0,448,896,1182,960,2142,0,2,1,4,8,1,1,509,0,72,0,6,2009,193500
81,120,32,6,5,1998,1998,443,54,0,36,1237,1337,0,1337,1,2,0,2,5,0,2,405,0,199,0,3,2006,153500
82,20,78,8,5,2007,2007,468,55,0,1530,1563,1563,0,1563,0,2,0,3,6,1,3,758,144,99,0,10,2008,245000
83,20,80,5,5,1960,1960,66,8,0,1065,1065,1065,0,1065,0,1,1,3,6,0,2,461,74,0,0,7,2007,126500
84,80,0,7,5,1995,1996,22,8,0,384,384,804,670,1474,0,2,1,3,7,1,2,400,120,72,0,5,2009,168500
85,60,121,8,5,1991,1992,284,8,0,1288,1288,1301,1116,2417,0,2,1,4,9,1,2,462,127,82,0,4,2006,260000
86,60,122,6,5,2005,2005,0,8,0,684,684,684,876,1560,0,2,1,3,6,1,2,400,100,38,0,3,2009,174000
87,160,40,6,5,2009,2009,76,8,0,612,612,612,612,1224,0,2,1,2,4,0,2,528,0,234,0,6,2009,164500
88,50,105,3,2,1915,1982,0,8,0,1013,1013,1013,0,1526,0,1,0,2,6,0,0,0,0,0,156,10,2009,85000
89,20,60,4,5,1994,1995,0,313,0,402,990,990,0,990,1,1,0,3,5,0,0,0,0,0,0,8,2007,123600
90,20,60,4,5,1950,1950,0,8,0,0,0,1040,0,1040,0,1,0,2,4,0,2,420,0,29,0,7,2006,109900
91,20,85,5,3,1961,1961,203,102,0,635,1235,1235,0,1235,0,1,0,2,6,0,2,480,0,0,0,12,2006,98600
92,30,80,5,7,1921,2006,0,58,0,163,876,964,0,964,1,1,0,2,5,0,2,432,0,0,44,8,2009,163500
93,190,60,6,6,1910,1998,0,59,0,168,1214,1260,1031,2291,0,2,0,4,9,1,2,506,0,0,0,11,2007,133900
94,60,69,6,5,1997,1997,0,60,0,176,824,905,881,1786,1,2,1,3,7,0,2,684,0,162,0,5,2007,204750
95,60,0,6,8,1993,1993,68,61,0,370,680,680,790,1470,0,2,1,3,6,1,2,420,232,63,0,4,2009,185000
96,20,78,7,5,1999,1999,183,62,0,426,1588,1588,0,1588,0,2,0,3,6,0,2,472,158,29,0,8,2006,214000
97,20,73,4,5,1965,1965,48,466,0,440,960,960,0,960,1,1,0,3,6,0,1,432,120,0,0,5,2007,94750
98,30,85,5,5,1920,1950,0,450,0,350,458,835,0,835,0,1,0,2,5,0,1,366,0,0,77,5,2010,83000
99,20,77,4,5,1959,1959,0,65,0,381,950,1225,0,1225,1,1,1,3,6,0,0,0,352,0,0,1,2010,128950
100,20,0,6,7,1977,2001,28,66,0,410,1610,1610,0,1610,1,2,0,3,6,2,2,480,168,68,0,2,2010,205000
101,60,77,6,5,1985,1985,336,8,0,741,741,977,755,1732,0,2,1,3,7,1,2,476,192,46,0,6,2010,178000
102,90,64,5,5,1979,1979,0,8,0,0,0,1535,0,1535,0,2,0,4,8,0,2,410,0,0,0,6,2009,118964
103,20,94,7,5,2009,2009,0,8,0,1226,1226,1226,0,1226,0,2,0,3,6,0,3,740,0,36,0,5,2010,198900
104,50,0,7,4,1931,1950,600,67,0,816,1040,1226,592,1818,0,1,1,4,7,2,1,240,0,0,0,6,2007,169500
105,60,75,8,5,2003,2004,768,8,0,1053,1053,1053,939,1992,0,2,1,3,9,1,2,648,140,45,0,8,2008,250000
106,30,60,4,7,1885,1995,0,8,0,641,641,1047,0,1047,0,1,0,2,6,0,1,273,0,0,0,8,2007,100000
107,20,50,5,5,1948,1950,0,136,169,516,789,789,0,789,0,1,0,2,5,0,1,250,0,0,0,4,2008,115000
108,50,85,5,7,1919,2005,0,8,0,793,793,997,520,1517,0,2,0,3,7,0,0,0,0,0,144,8,2007,115000
109,20,105,6,6,1977,1977,480,68,0,1139,1844,1844,0,1844,0,2,0,3,7,1,2,546,0,122,0,1,2010,190000
110,50,75,6,4,1954,1972,0,69,0,550,994,1216,639,1855,0,2,0,4,7,0,1,325,182,0,0,10,2006,136900
111,80,0,7,5,2000,2000,0,70,0,134,384,774,656,1430,0,2,1,3,7,1,2,400,180,0,0,4,2010,180000
112,60,77,7,5,2007,2007,220,71,0,280,1264,1282,1414,2696,1,2,1,4,10,1,3,792,120,184,0,10,2007,383970
113,20,0,6,5,1953,1953,184,226,869,905,1809,2259,0,2259,1,2,0,3,7,2,2,450,166,120,192,10,2007,217000
114,70,61,6,8,1945,2002,0,73,150,104,1028,1436,884,2320,1,2,1,3,9,1,1,180,224,0,0,7,2007,259500
115,160,34,6,5,1999,1999,1129,74,0,310,729,729,729,1458,0,2,1,2,5,1,2,440,0,32,0,6,2007,176000
116,20,0,5,5,1962,1962,116,525,670,252,1092,1092,0,1092,0,1,0,3,6,1,1,288,0,20,144,9,2009,139000
117,20,74,5,5,2006,2007,0,8,0,1125,1125,1125,0,1125,0,1,1,2,5,0,2,430,80,64,0,4,2007,155000
118,60,90,7,5,1990,1990,0,76,0,203,1673,1699,1523,3222,1,3,0,5,11,2,3,594,367,0,0,5,2010,320000
119,60,65,6,5,2005,2006,0,8,0,728,728,728,728,1456,0,2,1,3,8,1,2,390,0,24,0,7,2006,163990
120,80,0,6,5,1969,1969,0,77,0,0,938,988,0,988,1,1,0,1,4,2,2,540,0,130,0,10,2006,180000
121,50,50,4,5,1939,1950,0,8,0,732,732,772,351,1123,0,1,0,3,4,0,1,264,0,0,140,6,2007,100000
122,20,75,6,7,1958,1958,135,78,0,510,1080,1080,0,1080,0,1,0,3,5,0,1,288,0,0,0,6,2008,136000
123,120,55,6,5,1993,1993,0,79,0,899,1199,1199,0,1199,0,2,0,2,5,0,2,530,0,63,0,3,2008,153900
124,20,48,6,5,1979,1998,0,8,0,1362,1362,1586,0,1586,0,2,0,3,7,1,2,435,192,0,0,1,2009,181000
125,190,60,6,8,1935,1982,0,39,0,30,520,520,0,754,1,1,0,2,5,0,0,0,53,0,0,6,2006,84500
126,120,0,6,5,1976,1976,0,604,0,958,1078,958,0,958,0,2,0,2,5,1,2,440,0,205,0,2,2007,128000
127,45,55,5,7,1930,1950,0,345,0,556,672,840,0,840,0,1,0,3,5,1,0,0,0,0,0,6,2007,87000
128,60,69,6,5,1966,1966,266,82,0,148,660,660,688,1348,0,1,1,3,6,1,2,453,188,108,0,7,2006,155000
129,20,69,5,7,1958,1991,85,83,28,413,1008,1053,0,1053,0,1,1,3,6,0,2,750,0,80,0,7,2006,150000
130,60,88,7,6,1966,1966,309,84,0,479,924,1216,941,2157,0,2,1,4,8,2,2,487,105,66,0,5,2006,226000
131,60,0,6,5,2000,2000,40,85,0,297,992,1022,1032,2054,1,2,1,3,7,1,2,390,24,48,0,7,2009,244000
132,20,75,5,6,1959,2002,0,86,0,658,1063,1327,0,1327,1,1,0,3,7,0,2,624,0,0,0,7,2007,150750
133,20,0,8,5,2001,2002,136,87,0,262,1267,1296,0,1296,1,2,0,2,6,0,2,471,192,25,0,6,2009,220000
134,20,78,5,6,1968,1993,0,78,0,891,1461,1721,0,1721,0,2,1,3,7,1,2,440,0,96,180,7,2006,180000
135,20,80,7,6,1970,1970,288,8,0,1304,1304,1682,0,1682,0,2,0,3,7,1,2,530,98,0,0,5,2008,174000
136,20,0,5,5,1967,1967,196,85,0,519,1214,1214,0,1214,0,2,0,3,5,1,1,318,0,111,0,7,2007,143000
137,90,82,7,5,1988,1989,70,8,0,1907,1907,1959,0,1959,0,3,0,5,9,0,3,766,0,0,0,7,2006,171000
138,60,73,8,5,1999,2000,320,88,0,336,1004,1004,848,1852,0,2,1,3,7,2,3,660,224,106,0,12,2008,230000
139,60,65,6,5,1997,1997,0,89,0,107,928,928,836,1764,1,2,1,3,7,0,2,470,276,99,0,8,2009,231500
140,20,70,4,5,1971,1971,0,90,0,432,864,864,0,864,0,1,0,3,5,1,0,0,0,0,0,4,2010,115000
141,20,78,7,5,2005,2005,0,91,0,434,1734,1734,0,1734,1,2,0,3,7,0,2,660,160,24,0,1,2006,260000
142,50,71,5,4,1952,1952,0,92,0,403,910,910,475,1385,0,2,0,4,6,0,2,720,0,0,0,6,2010,166000
143,20,78,7,5,1999,1999,183,93,0,811,1490,1501,0,1501,1,2,0,3,6,0,2,577,144,29,0,6,2009,204000
144,90,70,5,5,1963,1963,336,151,0,396,1728,1728,0,1728,1,2,0,6,10,0,2,504,0,0,0,11,2006,125000
145,160,24,6,5,2004,2006,50,8,0,970,970,970,739,1709,0,2,0,3,7,0,2,380,0,40,0,4,2006,130000
146,30,51,5,7,1931,1993,0,95,0,506,715,875,0,875,1,1,0,2,5,0,1,180,48,0,0,11,2009,105000
147,60,0,7,5,2001,2001,180,8,0,884,884,884,1151,2035,0,2,1,3,8,1,2,434,144,48,0,5,2010,222500
148,20,63,7,5,2004,2005,120,96,0,400,1080,1080,0,1080,1,1,0,3,6,0,0,0,0,0,0,4,2008,141000
149,50,0,5,4,1936,1950,0,8,0,896,896,896,448,1344,0,1,0,3,7,0,1,240,200,114,0,4,2006,115000
150,20,120,5,6,1975,1975,0,97,0,253,969,969,0,969,0,1,1,3,5,0,2,440,0,0,0,1,2007,122000
151,20,107,8,5,2007,2008,436,98,0,310,1710,1710,0,1710,1,2,0,2,6,1,3,866,0,102,0,1,2008,372402
152,60,0,6,5,1971,1971,252,99,0,409,825,1097,896,1993,0,2,1,4,8,1,2,495,0,66,0,6,2006,190000
153,20,0,6,7,1960,1975,0,100,1080,93,1602,1252,0,1252,1,1,0,1,4,1,2,564,409,0,0,3,2008,235000
154,30,84,6,5,1923,1950,0,8,0,1200,1200,1200,0,1200,0,1,0,4,7,0,1,312,0,0,228,3,2006,125000
155,50,60,6,5,1924,1950,0,8,0,572,572,572,524,1096,0,1,0,2,5,0,0,0,0,8,128,4,2008,79000
156,20,60,5,7,1950,1950,0,8,0,0,0,1040,0,1040,0,1,0,2,5,0,2,625,0,0,0,6,2006,109500
157,60,92,8,5,2009,2010,84,8,0,774,774,774,1194,1968,0,2,1,4,8,1,3,680,0,75,0,5,2010,269500
158,60,100,7,5,2004,2005,0,101,0,769,991,991,956,1947,0,2,1,3,8,1,2,678,0,136,0,5,2010,254900
159,60,134,7,5,2005,2006,456,102,0,1335,1392,1392,1070,2462,1,2,1,4,9,1,2,576,239,132,0,3,2006,320000
160,20,0,6,6,1984,1984,0,103,0,572,1232,1232,0,1232,0,2,0,3,6,0,2,516,0,0,0,6,2008,162500
161,60,110,9,5,2003,2004,664,104,0,556,1572,1572,1096,2668,1,2,1,3,10,2,3,726,400,0,0,3,2008,412500
162,20,95,7,5,2005,2005,226,54,0,340,1541,1541,0,1541,0,2,0,3,7,1,2,532,0,70,0,5,2010,220000
163,45,55,4,6,1956,1956,0,8,0,882,882,882,0,882,0,1,0,1,4,0,0,0,0,0,0,4,2007,103200
164,40,40,6,7,1926,2004,0,105,0,779,1149,1149,467,1616,0,2,0,3,5,0,1,216,0,0,183,10,2007,152000
165,190,62,5,7,1940,1999,0,106,181,112,644,808,547,1355,1,2,0,4,6,0,0,0,140,0,0,9,2008,127500
166,20,0,5,5,1955,1993,0,107,768,470,1617,1867,0,1867,1,1,0,2,7,3,1,303,476,0,0,11,2009,190000
167,60,86,8,5,2007,2007,300,108,0,294,1582,1610,551,2161,1,1,1,3,8,1,3,789,178,120,0,11,2007,325624
168,60,62,7,5,2004,2004,0,8,0,840,840,840,880,1720,0,2,1,3,7,1,2,440,100,48,0,5,2007,183500
169,20,0,8,6,1981,1981,653,8,0,1686,1686,1707,0,1707,0,2,1,2,6,1,2,511,574,64,0,1,2006,228000
170,50,0,5,6,1941,1950,0,109,0,360,720,854,0,1382,0,1,1,2,7,0,2,660,237,0,0,5,2007,128500
171,20,141,6,5,1960,1960,112,110,0,441,1080,1656,0,1656,1,1,0,3,7,2,2,528,210,62,0,5,2010,215000
172,160,44,7,7,1987,1987,0,289,215,354,1064,1064,703,1767,1,2,0,2,5,1,2,504,441,35,0,6,2006,239000
173,20,80,6,5,1961,1961,491,112,374,700,1362,1362,0,1362,1,1,1,3,6,1,2,504,0,20,0,6,2008,163000
174,20,47,6,5,1986,1986,132,113,208,0,1606,1651,0,1651,1,2,0,3,7,1,2,616,192,0,0,11,2008,184000
175,20,84,6,7,1950,2001,0,114,0,725,1202,2158,0,2158,1,2,0,4,7,1,2,576,0,29,39,6,2007,243000
176,60,97,6,5,1988,1989,268,115,0,320,1151,1164,896,2060,0,2,1,4,8,1,2,521,0,228,0,9,2007,211000
177,50,0,5,5,1958,1958,0,102,441,554,1052,1252,668,1920,1,2,0,4,8,1,2,451,0,0,0,7,2006,172500
178,20,63,9,5,2008,2009,748,116,0,312,2216,2234,0,2234,1,2,0,1,9,1,3,1166,0,60,0,7,2009,501837
179,30,60,5,6,1923,2006,0,8,0,968,968,968,0,968,0,1,0,2,5,0,2,480,0,0,184,7,2007,100000
180,160,0,6,5,2000,2000,456,117,0,320,756,769,756,1525,0,2,1,3,5,1,2,440,0,0,0,6,2007,177000
181,70,54,7,6,1920,1950,0,118,0,441,793,901,901,1802,0,1,1,4,9,1,1,216,0,0,40,7,2006,200100
182,20,60,5,6,1957,2006,98,8,0,0,0,1340,0,1340,0,1,0,3,7,1,1,252,116,0,0,6,2007,120000
183,50,63,7,5,2003,2003,0,8,0,1362,1362,1362,720,2082,0,2,1,3,6,0,2,484,280,238,0,6,2008,200000
184,50,92,5,8,1908,1991,0,8,0,504,504,936,316,1252,0,1,0,3,5,0,2,576,104,0,0,6,2006,127000
185,75,90,10,9,1892,1993,0,8,0,1107,1107,1518,1518,3608,0,2,1,4,12,2,3,840,0,260,0,6,2006,475000
186,80,0,7,5,1990,1991,0,119,0,577,1188,1217,0,1217,1,2,0,3,6,0,2,497,168,27,0,6,2009,173000
187,50,60,5,7,1916,1987,0,8,0,660,660,808,704,1656,0,2,1,3,8,0,1,180,0,0,0,8,2009,135000
188,90,64,5,5,1979,1979,275,120,0,0,1086,1224,0,1224,2,0,2,2,6,2,2,528,120,0,0,6,2009,153337
189,120,41,8,5,2001,2002,0,23,0,440,1593,1593,0,1593,1,1,1,0,5,1,2,682,0,120,0,8,2008,286000
190,70,70,8,8,1932,1994,0,121,0,556,853,1549,1178,2727,0,2,1,3,10,2,2,440,0,74,0,12,2007,315000
191,60,0,7,9,1972,2004,138,122,0,99,725,725,754,1479,1,1,1,4,7,0,2,484,0,32,0,6,2007,184000
192,20,68,7,5,1999,1999,0,123,0,871,1431,1431,0,1431,1,2,0,3,6,0,2,666,0,35,0,9,2009,192000
193,160,24,7,5,2004,2004,50,8,0,970,970,970,739,1709,0,2,0,3,7,0,2,380,0,40,0,5,2006,130000
194,20,60,5,7,1972,1972,0,124,0,474,864,864,0,864,0,1,0,3,5,0,1,352,0,0,0,5,2008,127000
195,160,24,6,6,1976,1976,0,582,0,289,855,855,601,1456,0,2,1,3,7,1,2,440,87,0,0,7,2009,148500
196,20,79,7,5,2007,2007,205,126,0,600,1726,1726,0,1726,1,2,0,3,8,1,3,786,171,138,0,9,2007,311872
197,75,174,8,4,1918,1990,0,127,184,140,1360,1360,1360,3112,1,2,0,4,8,1,2,795,0,16,552,3,2006,235000
198,75,92,6,6,1912,1950,0,8,0,755,755,929,929,2229,0,1,0,5,8,0,0,0,0,198,30,7,2009,104000
199,20,76,8,5,2004,2005,262,128,0,625,1713,1713,0,1713,1,2,0,3,7,1,3,856,0,26,0,1,2009,274900
200,20,80,4,5,2003,2004,0,8,0,1121,1121,1121,0,1121,0,2,0,2,5,0,2,440,132,64,0,3,2010,140000
201,20,75,6,6,1977,1977,0,208,279,276,1196,1279,0,1279,0,2,0,3,6,2,2,473,238,83,0,2,2008,171500
202,50,50,6,6,1924,1950,0,130,0,0,617,865,445,1310,0,2,0,2,6,0,1,398,0,0,126,5,2006,112000
203,120,0,6,5,2004,2004,205,365,0,186,848,848,0,848,1,1,0,1,3,1,2,420,149,0,0,1,2008,149000
204,50,50,5,7,1947,1950,0,132,0,408,720,720,564,1284,0,1,1,2,5,0,1,240,0,35,0,4,2009,110000
205,20,99,7,5,1990,1990,0,8,0,1424,1424,1442,0,1442,0,2,0,3,5,0,2,500,0,34,0,5,2009,180500
206,20,40,5,5,1962,1962,0,8,0,1140,1140,1696,0,1696,0,1,1,3,8,1,1,349,0,30,0,3,2007,143900
207,20,0,4,5,1960,1960,0,74,306,375,1100,1100,0,1100,1,1,0,3,6,1,1,312,355,0,0,4,2008,141000
208,60,0,7,5,1988,1989,128,606,0,92,1157,1180,882,2062,1,2,1,3,7,1,2,454,60,55,0,4,2007,277000
209,20,75,6,7,1964,1964,260,134,0,305,1092,1092,0,1092,1,1,0,3,6,0,2,504,0,0,0,7,2008,145000
