,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,Foundation,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MiscVal,MoSold,YrSold,SalePrice,SalePricev2
10,20,0,70,11200,0,0,0,1,5,5,1965,1965,1,3,3,1,0,1,4,3,10,2,0,134,1040,0,5,1040,0,1040,1,0,1,0,3,1,5,0,1,1965,1,1,384,0,0,0,0,0,0,0,0,0,2,2008,129500,3
11,60,0,85,11924,1,0,0,0,9,5,2005,2006,1,5,2,2,286,0,4,5,11,2,0,177,1175,0,5,1182,1142,2324,1,0,3,0,4,1,11,2,2,2005,2,3,736,147,21,0,0,0,0,0,0,0,7,2006,345000,7
12,20,0,0,12968,2,0,0,1,5,6,1962,1962,1,3,4,1,0,1,4,1,12,2,0,175,912,2,5,912,0,912,1,0,1,0,2,1,4,0,1,1962,1,1,352,140,0,0,0,176,0,0,0,0,9,2008,144000,3
13,20,0,91,10652,1,0,0,1,7,5,2006,2007,0,0,0,2,306,0,3,2,8,2,0,1494,1494,0,5,1494,0,1494,0,0,2,0,3,1,7,1,4,2006,3,3,840,160,33,0,0,0,0,0,0,0,8,2007,279500,6
14,20,0,0,10920,1,2,0,1,6,5,1960,1960,1,1,1,4,212,1,4,4,13,2,0,520,1253,2,5,1253,0,1253,1,0,1,1,2,1,5,1,4,1960,3,1,352,0,213,176,0,0,0,2,0,0,5,2008,157000,4
15,45,1,51,6120,0,2,0,3,7,8,1929,2001,0,2,5,1,0,2,4,2,8,2,0,832,832,0,2,854,0,854,0,0,1,0,2,1,5,0,1,1991,1,2,576,48,112,0,0,0,0,3,0,0,7,2007,132000,3
16,20,0,0,11241,1,3,0,1,6,7,1970,1970,0,2,5,4,180,1,4,1,14,2,0,426,1004,0,5,1004,0,1004,1,0,1,0,2,1,5,1,4,1970,2,2,480,0,0,0,0,0,0,0,1,700,3,2010,149000,3
17,90,0,72,10791,0,0,2,1,4,5,1967,1967,0,1,1,1,0,4,4,5,8,2,0,0,0,2,5,1296,0,1296,0,0,2,0,2,2,6,0,3,1967,1,2,516,0,0,0,0,0,0,0,1,500,10,2006,90000,2
18,20,0,66,13695,0,0,0,1,5,5,2004,2004,0,0,0,1,0,0,4,5,15,2,0,468,1114,0,5,1114,0,1114,1,0,1,1,3,1,6,0,1,2004,1,2,576,0,102,0,0,0,0,0,0,0,6,2008,159000,4
19,20,0,70,7560,0,0,0,1,5,6,1958,1965,1,4,4,1,0,1,4,6,297,2,0,525,1029,2,5,1339,0,1339,0,0,1,0,3,1,6,0,4,1958,1,1,294,0,0,0,0,0,0,1,0,0,5,2009,139000,3
20,60,0,101,14215,1,2,0,0,8,5,2005,2006,0,0,0,4,380,0,3,2,8,2,0,1158,1158,0,5,1158,1218,2376,0,0,3,1,4,1,9,1,2,2005,3,3,853,240,154,0,0,0,0,0,0,0,11,2006,325300,7
21,45,1,57,7449,0,0,0,3,7,7,1930,1950,0,2,5,1,0,0,4,2,8,2,0,637,637,0,1,1108,0,1108,0,0,1,0,3,1,6,1,4,1930,1,1,280,0,0,205,0,0,0,3,0,0,6,2007,139400,3
22,20,0,75,9742,0,0,0,1,8,5,2002,2002,1,0,0,4,281,0,4,2,8,2,0,1777,1777,0,5,1795,0,1795,0,0,2,0,3,1,7,1,4,2002,3,2,534,171,159,0,0,0,0,0,0,0,9,2008,230000,5
23,120,1,44,4224,0,0,3,1,5,7,1976,1976,0,6,6,1,0,0,4,5,17,2,0,200,1040,2,5,1060,0,1060,1,0,1,0,3,1,6,1,4,1976,1,2,572,100,110,0,0,0,0,0,0,0,6,2007,129900,3
24,20,0,0,8246,1,0,0,1,5,8,1968,2001,0,7,4,1,0,1,2,3,18,3,668,204,1060,0,5,1060,0,1060,1,0,1,0,3,1,6,1,4,1968,1,1,270,406,90,0,0,0,0,1,0,0,5,2010,154000,4
25,20,0,110,14230,0,2,0,1,8,5,2007,2007,0,0,0,2,640,0,4,2,8,2,0,1566,1566,0,5,1600,0,1600,0,0,2,0,3,1,7,1,4,2007,3,3,890,0,56,0,0,0,0,0,0,0,7,2009,256300,6
26,20,0,60,7200,0,2,0,1,5,7,1951,2000,0,2,5,1,0,1,2,4,19,4,486,180,900,2,5,900,0,900,0,1,1,0,3,1,5,0,1,2005,1,2,576,222,32,0,0,0,0,0,0,0,5,2010,134800,3
27,20,0,98,11478,0,0,0,1,8,5,2007,2008,0,0,0,2,200,0,4,5,386,2,0,486,1704,0,5,1704,0,1704,1,0,2,0,3,1,7,1,4,2008,3,3,772,0,50,0,0,0,0,0,0,0,5,2010,306000,7
28,20,0,47,16321,1,3,0,1,5,6,1957,1997,0,1,1,1,0,1,1,4,21,2,0,207,1484,2,5,1600,0,1600,1,0,1,0,2,1,6,2,4,1957,3,1,319,288,258,0,0,0,0,0,0,0,12,2006,207500,5
29,30,1,60,6324,1,0,0,1,4,6,1927,1950,0,1,1,1,0,2,4,2,8,2,0,520,520,3,5,520,0,520,0,0,1,0,1,1,4,0,1,1920,1,1,240,49,0,87,0,0,0,0,0,0,5,2008,68500,2
30,70,2,50,8500,0,0,0,0,4,4,1920,1950,2,4,7,1,0,2,4,2,8,2,0,649,649,2,5,649,668,1317,0,0,1,0,3,1,6,0,1,1920,1,1,250,0,54,172,0,0,0,1,0,0,7,2008,40000,1
31,20,0,0,8544,1,3,0,1,5,6,1966,2006,0,3,3,1,0,1,4,2,8,2,0,1228,1228,1,5,1228,0,1228,0,0,1,1,3,1,6,0,4,1966,1,1,271,0,65,0,0,0,0,1,0,0,6,2008,149350,3
32,20,0,85,11049,0,2,0,1,8,5,2007,2007,0,0,0,1,0,0,3,2,8,2,0,1234,1234,0,5,1234,0,1234,0,0,2,0,3,1,7,0,4,2007,3,2,484,0,30,0,0,0,0,0,0,0,1,2008,179900,4
33,20,0,70,10552,1,0,0,1,5,5,1959,1959,1,4,7,1,0,1,4,3,22,2,0,380,1398,1,5,1700,0,1700,0,1,1,1,4,1,6,1,4,1959,3,2,447,0,38,0,0,0,0,0,0,0,4,2010,165500,4
34,120,0,60,7313,0,0,3,1,9,5,2005,2005,1,1,1,4,246,0,4,5,23,2,0,408,1561,0,5,1561,0,1561,1,0,2,0,2,1,6,1,4,2005,2,2,556,203,47,0,0,0,0,0,0,0,8,2007,277500,6
35,60,0,108,13418,0,0,0,0,8,5,2004,2005,0,0,0,2,132,0,3,2,8,2,0,1117,1117,0,5,1132,1320,2452,0,0,3,1,4,1,9,1,2,2004,2,3,691,113,32,0,0,0,0,0,0,0,9,2006,309000,7
36,20,0,112,10859,0,2,0,1,5,5,1994,1995,0,0,0,1,0,0,4,2,8,2,0,1097,1097,0,5,1097,0,1097,0,0,1,1,3,1,6,0,4,1995,1,2,672,392,64,0,0,0,0,0,0,0,6,2009,145000,3
37,20,0,74,8532,0,0,0,1,5,6,1954,1990,1,2,5,4,650,1,4,3,55,2,0,84,1297,1,5,1297,0,1297,0,1,1,0,3,1,5,1,4,1954,2,2,498,0,0,0,0,0,0,0,0,0,10,2009,153000,4
38,20,0,68,7922,0,0,0,1,5,7,1953,2007,0,0,0,1,0,1,4,5,627,2,0,326,1057,2,5,1057,0,1057,1,0,1,0,3,1,5,0,1,1953,1,1,246,0,52,0,0,0,0,0,0,0,1,2010,109000,3
39,90,0,65,6040,0,0,2,1,4,5,1955,1955,0,8,4,1,0,0,4,5,8,2,0,0,0,2,3,1152,0,1152,0,0,2,0,2,2,6,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,6,2008,82000,2
40,20,0,84,8658,0,0,0,1,6,5,1965,1965,0,2,5,4,101,1,4,3,26,2,0,445,1088,0,5,1324,0,1324,0,0,2,0,3,1,6,1,4,1965,3,2,440,0,138,0,0,0,0,2,0,0,12,2006,160000,4
41,20,0,115,16905,0,0,0,1,5,6,1959,1959,0,0,0,1,0,1,1,4,551,2,0,383,1350,1,5,1328,0,1328,0,1,1,1,2,1,5,2,4,1959,3,1,308,0,104,0,0,0,0,0,0,0,7,2007,170000,4
42,85,0,0,9180,1,3,0,4,5,7,1983,1983,0,3,3,1,0,1,3,1,435,5,93,0,840,1,5,884,0,884,1,0,1,0,2,1,5,0,4,1983,3,2,504,240,0,0,0,0,0,1,0,0,12,2007,144000,3
43,20,0,0,9200,1,3,0,1,5,6,1975,1980,1,0,0,1,0,1,3,6,29,1,491,167,938,2,5,938,0,938,1,0,1,0,3,1,5,0,1,1977,1,1,308,145,0,0,0,0,0,1,0,0,7,2008,130250,3
44,20,0,70,7945,0,0,0,1,5,6,1959,1959,0,4,5,1,0,1,4,1,30,1,506,465,1150,0,2,1150,0,1150,1,0,1,0,3,1,6,0,4,1959,3,1,300,0,0,0,0,0,0,0,0,0,5,2006,141000,3
45,120,0,61,7658,0,0,3,1,9,5,2005,2005,1,1,1,4,412,0,4,5,31,2,0,1296,1752,0,5,1752,0,1752,1,0,2,0,2,1,6,1,4,2005,3,2,576,196,82,0,0,0,0,0,0,0,2,2010,319900,7
46,50,0,48,12822,1,3,0,2,7,5,2003,2003,0,0,0,1,0,0,4,5,32,2,0,83,1434,0,5,1518,631,2149,1,0,1,1,1,1,6,1,4,2003,3,2,670,168,43,0,0,198,0,0,0,0,8,2009,239686,5
47,20,3,84,11096,0,0,0,1,8,5,2006,2006,0,0,0,1,0,0,3,5,55,2,0,1632,1656,0,5,1656,0,1656,0,0,2,0,3,1,7,0,4,2006,3,3,826,0,146,0,0,0,0,0,0,0,7,2007,249700,5
48,190,1,33,4456,0,0,1,0,4,5,1920,2008,0,1,1,1,0,2,4,2,8,2,0,736,736,1,5,736,716,1452,0,0,2,0,2,3,8,0,4,0,3,0,0,0,0,102,0,0,0,0,0,0,6,2009,113000,3
49,20,0,66,7742,0,0,0,1,5,7,1966,1966,0,3,3,1,0,1,4,4,34,2,0,192,955,0,5,955,0,955,1,0,1,0,3,1,6,0,4,1966,1,1,386,0,0,0,0,0,0,1,0,0,1,2007,127000,3
50,60,0,0,13869,2,2,0,0,6,6,1997,1997,0,0,0,1,0,0,3,5,226,2,0,612,794,1,5,794,676,1470,0,1,2,0,3,1,6,0,4,1997,2,2,388,0,75,0,0,0,0,0,0,0,7,2007,177000,4
51,50,1,52,6240,0,0,0,2,6,6,1934,1950,0,2,5,1,0,0,4,2,8,2,0,816,816,2,5,816,0,1176,0,0,1,0,3,1,6,1,1,1985,1,2,528,112,0,0,0,0,0,1,1,400,9,2006,114500,3
52,90,1,110,8472,2,2,2,1,5,5,1963,1963,0,2,5,1,0,1,1,6,136,6,712,0,816,2,5,816,0,816,1,0,1,0,2,1,5,0,3,1963,1,2,516,106,0,0,0,0,0,0,0,0,5,2010,110000,3
53,20,0,68,50271,1,0,0,1,9,5,1981,1987,0,5,2,1,0,1,1,5,37,2,0,32,1842,1,5,1842,0,1842,2,0,0,1,0,1,5,1,4,1981,2,3,894,857,72,0,0,0,0,0,0,0,11,2006,385000,8
54,80,0,60,7134,0,0,0,5,5,5,1955,1955,0,1,1,1,0,1,4,1,38,2,0,0,384,2,5,1360,0,1360,0,0,1,0,3,1,6,1,1,1962,1,2,572,0,50,0,0,0,0,1,0,0,2,2007,130000,3
55,20,0,100,10175,1,0,0,1,6,5,1964,1964,0,3,4,4,272,1,4,4,39,2,0,935,1425,1,5,1425,0,1425,0,0,2,0,3,1,7,1,4,1964,3,2,576,0,0,0,407,0,0,0,0,0,7,2008,180500,4
56,160,3,24,2645,0,0,4,0,8,5,1999,2000,0,1,1,4,456,0,4,5,199,2,0,321,970,0,5,983,756,1739,1,0,2,1,3,1,7,0,4,1999,2,2,480,115,0,0,0,0,0,0,0,0,8,2009,172500,4
57,60,0,89,11645,1,2,0,0,7,5,2004,2004,0,0,0,1,0,0,4,2,8,2,0,860,860,0,5,860,860,1720,0,0,2,1,3,1,7,0,4,2004,3,2,565,0,70,0,0,0,0,0,0,0,8,2006,196500,4
58,60,0,66,13682,2,3,0,0,10,5,2006,2006,1,0,0,4,1031,0,1,2,8,2,0,1410,1410,0,5,1426,1519,2945,0,0,3,1,3,1,10,1,2,2006,2,3,641,192,0,37,0,0,0,0,0,0,10,2006,438780,9
59,20,0,60,7200,0,0,0,1,5,7,1972,1972,0,3,3,1,0,1,3,1,355,2,0,148,780,0,5,780,0,780,0,0,1,0,2,1,4,0,1,1973,1,1,352,196,0,0,0,0,0,1,0,0,1,2008,124900,3
60,20,0,63,13072,0,0,0,1,6,5,2004,2004,0,0,0,1,0,0,4,1,42,2,0,217,1158,0,5,1158,0,1158,1,0,1,1,3,1,5,0,1,2006,1,2,576,0,50,0,0,0,0,0,0,0,5,2006,158000,4
61,75,1,60,7200,0,0,0,6,5,7,1920,1996,0,1,1,1,0,2,4,2,8,2,0,530,530,2,5,581,530,1111,0,0,1,0,3,1,6,0,1,1935,1,1,288,0,0,144,0,0,0,0,0,0,3,2007,101000,3
62,120,0,44,6442,1,0,3,1,8,5,2006,2006,0,0,0,2,178,0,2,5,55,2,0,1346,1370,0,5,1370,0,1370,0,0,2,0,2,1,6,1,4,2006,3,2,484,120,49,0,0,0,0,0,0,0,10,2007,202500,5
63,70,1,50,10300,1,0,0,0,7,6,1921,1950,0,9,8,1,0,2,4,2,8,2,0,576,576,1,5,902,808,1710,0,0,2,0,3,1,9,0,1,1990,1,2,480,12,11,64,0,0,0,3,0,0,4,2010,140000,3
64,60,0,0,9375,0,0,0,0,7,5,1997,1998,0,0,0,4,573,0,4,5,43,2,0,318,1057,0,5,1057,977,2034,1,0,2,1,3,1,8,0,4,1998,3,2,645,576,36,0,0,0,0,3,0,0,2,2009,219500,5
65,60,0,76,9591,0,0,0,0,8,5,2004,2005,0,0,0,4,344,0,3,2,8,2,0,1143,1143,0,5,1143,1330,2473,0,0,2,1,4,1,9,1,2,2004,3,3,852,192,151,0,0,0,0,0,0,0,10,2007,317000,7
66,20,0,0,19900,0,0,0,1,7,5,1970,1989,0,7,4,4,287,1,1,5,44,2,0,1035,1947,2,5,2207,0,2207,1,0,2,0,3,1,7,1,4,1970,3,2,576,301,0,0,0,0,0,0,0,0,7,2010,180000,4
67,20,0,72,10665,1,0,0,1,7,5,2003,2003,0,0,0,4,167,0,3,5,45,2,0,440,1453,0,5,1479,0,1479,1,0,2,0,3,1,7,0,4,2003,3,2,558,144,29,0,0,0,0,0,0,0,6,2007,226000,5
68,30,1,47,4608,0,2,0,1,4,6,1945,1950,0,1,1,1,0,1,4,2,8,2,0,747,747,2,5,747,0,747,0,0,1,0,2,1,4,0,4,1945,1,1,220,0,0,0,0,0,0,0,0,0,6,2010,80000,2
69,50,0,81,15593,0,2,0,2,7,4,1953,1953,0,4,9,1,0,1,4,4,46,2,0,701,1304,2,5,1304,983,2287,0,0,2,0,3,1,7,1,4,1953,2,2,667,0,21,114,0,0,0,0,0,0,7,2006,225000,5
70,20,0,95,13651,1,0,0,1,7,6,1973,1973,0,7,4,4,1115,1,1,1,47,2,0,343,2223,0,5,2223,0,2223,1,0,2,0,3,1,8,2,4,1973,2,2,516,300,0,0,0,0,0,0,0,0,2,2007,244000,5
71,20,0,69,7599,0,2,0,1,4,6,1982,2006,0,3,4,1,0,1,4,1,540,2,0,280,845,2,5,845,0,845,1,0,1,0,2,1,4,0,1,1987,1,2,360,0,0,0,0,0,0,0,0,0,6,2007,129500,3
72,60,0,74,10141,1,2,0,0,7,5,1998,1998,0,0,0,4,40,0,4,2,8,2,0,832,832,1,5,885,833,1718,0,0,2,1,3,1,7,1,4,1998,2,2,427,0,94,0,0,291,0,0,0,0,12,2009,185000,4
73,20,0,85,10200,0,0,0,1,5,7,1954,2003,0,2,5,4,104,1,4,1,635,1,362,404,1086,1,5,1086,0,1086,1,0,1,0,3,1,6,0,4,1989,1,2,490,0,0,0,0,0,0,2,0,0,5,2010,144900,3
74,50,1,60,5790,0,2,0,0,3,6,1915,1950,2,0,0,1,0,1,4,2,8,2,0,840,840,1,5,840,765,1605,0,0,2,0,3,2,8,0,1,1915,1,1,379,0,0,202,0,0,0,0,0,0,5,2010,107400,3
75,180,1,21,1596,0,0,4,5,4,5,1973,1973,0,6,6,1,0,1,1,5,245,2,0,0,462,2,5,526,462,988,1,0,1,0,2,1,5,0,2,1973,1,1,297,120,101,0,0,0,0,2,0,0,11,2009,91000,2
76,20,0,0,8475,1,0,0,1,4,7,1956,1956,0,0,0,1,0,1,4,1,51,2,0,724,952,0,2,952,0,952,0,0,1,0,2,1,4,0,1,1956,1,1,283,0,0,0,0,0,0,0,0,0,4,2008,135750,3
77,50,1,50,8635,0,0,0,2,5,5,1948,2001,0,2,5,1,0,1,4,4,52,6,41,295,672,2,5,1072,213,1285,1,0,1,0,2,1,6,0,1,1948,1,1,240,0,0,0,0,0,0,1,0,0,1,2008,127000,3
78,90,0,72,10778,0,0,2,1,4,5,1968,1968,1,3,3,1,0,1,4,2,8,2,0,1768,1768,2,5,1768,0,1768,0,0,2,0,4,2,8,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,4,2010,136500,3
79,50,1,60,10440,0,2,0,0,5,6,1910,1981,0,2,5,1,0,0,4,2,8,2,0,440,440,1,5,682,548,1230,0,0,1,1,2,1,5,0,1,1966,1,2,440,74,0,128,0,0,0,1,0,0,5,2009,110000,3
80,60,0,100,13000,0,2,0,0,6,6,1968,1968,0,0,0,4,576,1,4,3,53,2,0,448,896,2,5,1182,960,2142,0,0,2,1,4,1,8,1,4,1968,2,1,509,0,72,0,0,252,0,0,0,0,6,2009,193500,4
81,120,1,32,4500,0,1,3,1,6,5,1998,1998,1,0,0,4,443,0,4,5,54,2,0,36,1237,0,5,1337,0,1337,1,0,2,0,2,1,5,0,4,1998,2,2,405,0,199,0,0,0,0,0,0,0,3,2006,153500,4
82,20,0,78,10206,0,0,0,1,8,5,2007,2007,0,0,0,2,468,0,4,5,55,2,0,1530,1563,0,5,1563,0,1563,0,0,2,0,3,1,6,1,4,2007,3,3,758,144,99,0,0,0,0,0,0,0,10,2008,245000,5
83,20,0,80,8892,1,0,0,1,5,5,1960,1960,0,1,1,3,66,1,4,2,8,2,0,1065,1065,1,5,1065,0,1065,0,0,1,1,3,1,6,0,1,1974,1,2,461,74,0,0,0,0,0,0,0,0,7,2007,126500,3
84,80,0,0,8530,1,0,0,5,7,5,1995,1996,0,3,3,4,22,0,4,2,8,2,0,384,384,1,5,804,670,1474,0,0,2,1,3,1,7,1,2,1995,2,2,400,120,72,0,0,0,0,0,1,700,5,2009,168500,4
85,60,0,121,16059,0,2,0,0,8,5,1991,1992,1,3,3,4,284,1,4,2,8,2,0,1288,1288,0,5,1301,1116,2417,0,0,2,1,4,1,9,1,4,1991,1,2,462,127,82,0,0,0,0,0,0,0,4,2006,260000,6
86,60,0,122,11911,2,0,0,0,6,5,2005,2005,0,0,0,1,0,0,3,2,8,2,0,684,684,0,5,684,876,1560,0,0,2,1,3,1,6,1,2,2005,2,2,400,100,38,0,0,0,0,0,0,0,3,2009,174000,4
87,160,3,40,3951,0,2,3,0,6,5,2009,2009,0,0,0,2,76,0,3,2,8,2,0,612,612,0,5,612,612,1224,0,0,2,1,2,1,4,0,1,2009,3,2,528,0,234,0,0,0,0,0,0,0,6,2009,164500,4
88,50,2,105,8470,1,2,0,2,3,2,1915,1982,1,7,4,1,0,1,4,2,8,2,0,1013,1013,2,5,1013,0,1526,0,0,1,0,2,1,6,0,4,0,3,0,0,0,0,156,0,0,0,1,0,0,10,2009,85000,2
89,20,0,60,8070,0,0,0,1,4,5,1994,1995,0,0,0,1,0,0,4,5,313,2,0,402,990,0,5,990,0,990,1,0,1,0,3,1,5,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,8,2007,123600,3
90,20,0,60,7200,0,0,0,1,4,5,1950,1950,0,4,5,1,0,4,4,5,8,2,0,0,0,2,2,1040,0,1040,0,0,1,0,2,1,4,0,1,1950,1,2,420,0,29,0,0,0,0,0,0,0,7,2006,109900,3
91,20,0,85,8500,0,0,0,1,5,3,1961,1961,1,3,3,3,203,1,4,3,102,2,0,635,1235,2,5,1235,0,1235,0,0,1,0,2,1,6,0,4,1961,1,2,480,0,0,0,0,0,0,2,0,0,12,2006,98600,2
92,30,0,80,13360,1,0,0,1,5,7,1921,2006,0,2,5,1,0,2,4,1,58,2,0,163,876,0,5,964,0,964,1,0,1,0,2,1,5,0,1,1921,1,2,432,0,0,44,0,0,0,0,0,0,8,2009,163500,4
93,190,2,60,7200,0,2,1,6,6,6,1910,1998,1,1,1,1,0,2,2,3,59,2,0,168,1214,0,5,1260,1031,2291,0,1,2,0,4,2,9,1,1,1900,1,2,506,0,0,0,0,99,0,0,0,0,11,2007,133900,3
94,60,0,69,9337,1,0,0,0,6,5,1997,1997,0,0,0,1,0,0,4,5,60,2,0,176,824,0,5,905,881,1786,1,0,2,1,3,1,7,0,4,1997,3,2,684,0,162,0,0,0,0,0,0,0,5,2007,204750,5
95,60,0,0,9765,2,2,0,0,6,8,1993,1993,0,0,0,4,68,0,4,1,61,2,0,370,680,1,5,680,790,1470,0,0,2,1,3,1,6,1,2,1993,2,2,420,232,63,0,0,0,0,0,1,480,4,2009,185000,4
96,20,0,78,10264,1,0,0,1,7,5,1999,1999,0,0,0,4,183,0,3,1,62,2,0,426,1588,0,5,1588,0,1588,0,0,2,0,3,1,6,0,4,1999,3,2,472,158,29,0,0,0,0,0,0,0,8,2006,214000,5
97,20,0,73,10921,0,0,0,1,4,5,1965,1965,1,3,3,4,48,1,4,3,466,2,0,440,960,2,1,960,0,960,1,0,1,0,3,1,6,0,4,1965,2,1,432,120,0,0,0,0,0,0,0,0,5,2007,94750,2
98,30,0,85,10625,0,2,0,1,5,5,1920,1950,0,2,5,1,0,2,4,1,450,2,0,350,458,3,5,835,0,835,0,0,1,0,2,1,5,0,5,1920,1,1,366,0,0,77,0,0,0,0,1,400,5,2010,83000,2
99,20,0,77,9320,1,0,0,1,4,5,1959,1959,0,7,4,1,0,1,4,1,65,2,0,381,950,3,5,1225,0,1225,1,0,1,1,3,1,6,0,4,0,3,0,0,352,0,0,0,0,0,0,1,400,1,2010,128950,3
100,20,0,0,10603,1,0,0,1,6,7,1977,2001,0,7,4,4,28,0,2,1,66,2,0,410,1610,1,5,1610,0,1610,1,0,2,0,3,1,6,2,4,1977,3,2,480,168,68,0,0,0,0,0,0,0,2,2010,205000,5
101,60,0,77,9206,0,0,0,0,6,5,1985,1985,0,3,3,4,336,1,4,2,8,2,0,741,741,2,5,977,755,1732,0,0,2,1,3,1,7,1,4,1985,2,2,476,192,46,0,0,0,0,0,0,0,6,2010,178000,4
102,90,0,64,7018,0,0,2,1,5,5,1979,1979,0,3,3,1,0,4,4,5,8,2,0,0,0,2,5,1535,0,1535,0,0,2,0,4,2,8,0,4,1979,1,2,410,0,0,0,0,0,0,0,0,0,6,2009,118964,3
103,20,0,94,10402,1,2,0,1,7,5,2009,2009,0,0,0,1,0,0,4,2,8,2,0,1226,1226,0,5,1226,0,1226,0,0,2,0,3,1,6,0,4,2009,3,3,740,0,36,0,0,0,0,0,0,0,5,2010,198900,4
104,50,1,0,7758,0,2,0,2,7,4,1931,1950,0,9,8,4,600,0,4,6,67,2,0,816,1040,0,1,1226,592,1818,0,0,1,1,4,1,7,2,1,1951,1,1,240,0,0,0,0,184,0,0,0,0,6,2007,169500,4
105,60,3,75,9375,0,0,0,0,8,5,2003,2004,1,0,0,4,768,0,4,2,8,2,0,1053,1053,0,5,1053,939,1992,0,0,2,1,3,1,9,1,4,2003,3,2,648,140,45,0,0,0,0,0,0,0,8,2008,250000,6
106,30,1,60,10800,0,0,0,1,4,7,1885,1995,3,0,0,1,0,2,4,2,8,2,0,641,641,1,5,1047,0,1047,0,0,1,0,2,1,6,0,1,1954,1,1,273,0,0,0,0,0,0,0,1,450,8,2007,100000,3
