,MSSubClass,MSZoning,LotFrontage,LotShape,LotConfig,Neighborhood,OverallQual,OverallCond,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,HeatingQC,1stFlrSF,2ndFlrSF,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SaleCondition,SalePrice
90,20,0,60,0,0,11,4,5,0,4,5,1,1,4,3,4,5,8,0,2,1040,0,0,1,0,2,1,4,0,0,1,1,2,420,0,29,7,2006,0,109900
91,20,0,85,0,0,11,5,3,1,3,3,3,1,1,1,4,3,102,635,2,1235,0,0,1,0,2,1,6,0,0,4,1,2,480,0,0,12,2006,1,98600
92,30,0,80,1,0,2,5,7,0,2,5,1,1,2,3,4,1,58,163,0,964,0,1,1,0,2,1,5,0,0,1,1,2,432,0,0,8,2009,0,163500
93,190,2,60,0,2,7,6,6,1,1,1,1,1,2,1,2,3,59,168,0,1260,1031,0,2,0,4,1,9,1,2,1,1,2,506,0,0,11,2007,0,133900
94,60,0,69,1,0,0,6,5,0,0,0,1,1,0,3,4,5,60,176,0,905,881,1,2,1,3,0,7,0,0,4,3,2,684,0,162,5,2007,0,204750
95,60,0,0,2,2,17,6,8,0,0,0,4,2,0,3,4,1,61,370,1,680,790,0,2,1,3,1,6,1,1,2,2,2,420,232,63,4,2009,0,185000
96,20,0,78,1,0,0,7,5,0,0,0,4,0,0,3,3,1,62,426,0,1588,0,0,2,0,3,0,6,0,0,4,3,2,472,158,29,8,2006,0,214000
97,20,0,73,0,0,15,4,5,1,3,3,4,1,1,1,4,3,466,440,2,960,0,1,1,0,3,1,6,0,0,4,2,1,432,120,0,5,2007,0,94750
98,30,0,85,0,2,15,5,5,0,2,5,1,1,2,1,4,1,450,350,3,835,0,0,1,0,2,1,5,0,0,5,1,1,366,0,0,5,2010,1,83000
99,20,0,77,1,0,11,4,5,0,7,4,1,1,1,1,4,1,65,381,3,1225,0,1,1,1,3,1,6,0,0,4,3,0,0,352,0,1,2010,0,128950
100,20,0,0,1,0,6,6,7,0,7,4,4,1,0,1,2,1,66,410,1,1610,0,1,2,0,3,0,6,2,1,4,3,2,480,168,68,2,2010,0,205000
101,60,0,77,0,0,12,6,5,0,3,3,4,0,1,3,4,2,8,741,2,977,755,0,2,1,3,0,7,1,1,4,2,2,476,192,46,6,2010,0,178000
102,90,0,64,0,0,12,5,5,0,3,3,1,1,4,3,4,5,8,0,2,1535,0,0,2,0,4,1,8,0,0,4,1,2,410,0,0,6,2009,4,118964
103,20,0,94,1,2,0,7,5,0,0,0,1,1,0,3,4,2,8,1226,0,1226,0,0,2,0,3,0,6,0,0,4,3,3,740,0,36,5,2010,0,198900
104,50,1,0,0,2,13,7,4,0,9,8,4,1,0,1,4,6,67,816,0,1226,592,0,1,1,4,1,7,2,1,1,1,1,240,0,0,6,2007,0,169500
105,60,3,75,0,0,5,8,5,1,0,0,4,0,0,2,4,2,8,1053,0,1053,939,0,2,1,3,0,9,1,2,4,3,2,648,140,45,8,2008,0,250000
106,30,1,60,0,0,7,4,7,3,0,0,1,1,2,4,4,2,8,641,1,1047,0,0,1,0,2,1,6,0,0,1,1,1,273,0,0,8,2007,0,100000
107,20,1,50,0,0,7,5,5,0,0,0,1,1,1,1,4,1,136,516,0,789,0,0,1,0,2,1,5,0,0,1,1,1,250,0,0,4,2008,2,115000
108,50,1,85,0,2,13,5,7,0,6,6,1,1,1,1,4,2,8,793,2,997,520,0,2,0,3,3,7,0,0,4,3,0,0,0,0,8,2007,0,115000
109,20,0,105,1,0,6,6,6,1,7,4,4,1,1,3,4,4,68,1139,0,1844,0,0,2,0,3,1,7,1,1,4,3,2,546,0,122,1,2010,0,190000
110,50,0,75,0,0,15,6,4,0,2,5,1,1,1,1,4,3,69,550,1,1216,639,0,2,0,4,1,7,0,0,4,1,1,325,182,0,10,2006,0,136900
111,80,0,0,1,0,17,7,5,0,0,0,1,1,0,3,4,5,70,134,0,774,656,0,2,1,3,1,7,1,1,2,2,2,400,180,0,4,2010,0,180000
112,60,0,77,0,0,0,7,5,0,0,0,2,0,0,2,3,5,71,280,0,1282,1414,1,2,1,4,2,10,1,2,2,2,3,792,120,184,10,2007,2,383970
113,20,0,0,0,2,2,6,5,1,2,5,4,1,1,3,2,1,226,905,2,2259,0,1,2,0,3,0,7,2,2,5,1,2,450,166,120,10,2007,1,217000
114,70,0,61,1,0,2,6,8,2,2,5,1,1,1,1,4,1,73,104,0,1436,884,1,2,1,3,0,9,1,1,1,1,1,180,224,0,7,2007,0,259500
115,160,3,34,0,2,5,6,5,0,1,1,4,1,0,3,4,5,74,310,1,729,729,0,2,1,2,1,5,1,3,1,1,2,440,0,32,6,2007,0,176000
116,20,0,0,0,0,9,5,5,0,2,5,4,1,1,1,4,6,525,252,2,1092,0,0,1,0,3,1,6,1,5,4,1,1,288,0,20,9,2009,0,139000
117,20,0,74,0,2,15,5,5,0,0,0,1,1,0,3,4,2,8,1125,1,1125,0,0,1,1,2,1,5,0,0,4,1,2,430,80,64,4,2007,2,155000
118,60,0,90,0,2,12,7,5,1,7,4,1,1,0,3,2,5,76,203,1,1699,1523,1,3,0,5,0,11,2,1,4,1,3,594,367,0,5,2010,0,320000
119,60,0,65,0,0,0,6,5,0,0,0,1,0,0,3,4,2,8,728,0,728,728,0,2,1,3,0,8,1,2,4,2,2,390,0,24,7,2006,2,163990
120,80,0,0,1,3,19,6,5,4,7,4,1,1,1,1,1,1,77,0,0,988,0,1,1,0,1,1,4,2,1,4,1,2,540,0,130,10,2006,0,180000
121,50,1,50,0,0,13,4,5,0,8,9,1,1,0,1,4,2,8,732,1,772,351,0,1,0,3,1,4,0,0,1,1,1,264,0,0,6,2007,0,100000
122,20,0,75,0,2,11,6,7,1,1,1,4,1,1,1,4,4,78,510,1,1080,0,0,1,0,3,1,5,0,0,4,1,1,288,0,0,6,2008,0,136000
123,120,0,55,0,0,12,6,5,0,7,4,1,0,0,3,4,5,79,899,0,1199,0,0,2,0,2,0,5,0,0,4,3,2,530,0,63,3,2008,0,153900
124,20,0,48,1,3,6,6,5,0,3,3,1,1,1,3,4,2,8,1362,2,1586,0,0,2,0,3,1,7,1,1,4,1,2,435,192,0,1,2009,0,181000
125,190,1,60,0,0,13,6,8,0,2,5,1,1,1,1,3,5,39,30,1,520,0,1,1,0,2,1,5,0,0,4,3,0,0,53,0,6,2006,0,84500
126,120,0,0,1,0,20,6,5,0,7,4,1,1,1,3,4,1,604,958,2,958,0,0,2,0,2,1,5,1,1,4,3,2,440,0,205,2,2007,0,128000
127,45,1,55,1,0,7,5,7,0,5,5,1,1,2,1,4,6,345,556,0,840,0,0,1,0,3,1,5,1,1,4,3,0,0,0,0,6,2007,0,87000
128,60,0,69,0,0,11,6,5,0,0,0,4,1,1,1,4,4,82,148,2,660,688,0,1,1,3,1,6,1,3,4,3,2,453,188,108,7,2006,0,155000
129,20,0,69,0,0,11,5,7,0,7,4,4,1,1,1,4,3,83,413,2,1053,0,0,1,1,3,2,6,0,0,6,3,2,750,0,80,7,2006,1,150000
130,60,0,88,0,2,11,7,6,0,1,1,4,1,1,1,4,3,84,479,0,1216,941,0,2,1,4,0,8,2,2,4,2,2,487,105,66,5,2006,0,226000
131,60,0,0,1,2,17,6,5,0,0,0,4,0,0,3,4,5,85,297,0,1022,1032,1,2,1,3,0,7,1,1,2,3,2,390,24,48,7,2009,0,244000
132,20,0,75,0,2,11,5,6,0,1,1,1,1,1,1,4,3,86,658,1,1327,0,1,1,0,3,0,7,0,0,1,1,2,624,0,0,7,2007,0,150750
133,20,0,0,1,0,16,8,5,0,0,0,4,0,0,2,4,5,87,262,0,1296,0,1,2,0,2,0,6,0,0,4,2,2,471,192,25,6,2009,0,220000
134,20,0,78,1,0,9,5,6,0,7,4,1,1,1,1,4,3,78,891,1,1721,0,0,2,1,3,1,7,1,1,4,3,2,440,0,96,7,2006,0,180000
135,20,0,80,0,0,6,7,6,1,7,4,4,1,0,1,4,2,8,1304,1,1682,0,0,2,0,3,1,7,1,2,4,1,2,530,98,0,5,2008,0,174000
136,20,0,0,1,2,11,5,5,0,1,1,4,1,1,1,4,4,85,519,2,1214,0,0,2,0,3,1,5,1,3,4,3,1,318,0,111,7,2007,0,143000
137,90,0,82,0,0,4,7,5,0,0,0,4,1,1,1,4,2,8,1907,1,1959,0,0,3,0,5,1,9,0,0,6,1,3,766,0,0,7,2006,5,171000
138,60,0,73,1,0,0,8,5,0,0,0,4,0,0,3,2,5,88,336,0,1004,848,0,2,1,3,0,7,2,1,4,2,3,660,224,106,12,2008,0,230000
139,60,0,65,1,0,0,6,5,0,0,0,1,1,0,3,4,5,89,107,0,928,836,1,2,1,3,0,7,0,0,4,3,2,470,276,99,8,2009,0,231500
140,20,0,70,0,1,11,4,5,0,3,3,1,1,1,1,4,1,90,432,2,864,0,0,1,0,3,1,5,1,5,4,3,0,0,0,0,4,2010,0,115000
141,20,0,78,0,0,0,7,5,0,0,0,1,0,0,3,3,5,91,434,0,1734,0,1,2,0,3,0,7,0,0,4,2,2,660,160,24,1,2006,0,260000
142,50,0,71,0,2,11,5,4,0,4,5,1,1,1,1,4,3,92,403,3,910,475,0,2,0,4,1,6,0,0,1,1,2,720,0,0,6,2010,0,166000
143,20,0,78,1,0,0,7,5,0,0,0,4,0,0,3,1,5,93,811,0,1501,0,1,2,0,3,0,6,0,0,4,3,2,577,144,29,6,2009,0,204000
144,90,1,70,0,0,9,5,5,0,3,3,4,1,1,1,4,3,151,396,2,1728,0,1,2,0,6,1,10,0,0,1,1,2,504,0,0,11,2006,1,125000
145,160,1,24,0,0,15,6,5,0,0,0,2,0,0,3,4,2,8,970,0,970,739,0,2,0,3,0,7,0,0,1,1,2,380,0,40,4,2006,0,130000
146,30,1,51,0,2,8,5,7,0,2,5,1,1,2,1,4,4,95,506,2,875,0,1,1,0,2,1,5,0,0,1,1,1,180,48,0,11,2009,0,105000
147,60,0,0,1,3,17,7,5,0,0,0,4,0,0,3,4,2,8,884,0,884,1151,0,2,1,3,0,8,1,2,2,2,2,434,144,48,5,2010,0,222500
148,20,0,63,0,0,12,7,5,0,0,0,4,1,0,3,4,5,96,400,0,1080,0,1,1,0,3,0,6,0,0,4,3,0,0,0,0,4,2008,0,141000
149,50,1,0,0,0,8,5,4,0,1,1,1,1,2,3,4,2,8,896,1,896,448,0,1,0,3,1,7,0,0,1,1,1,240,200,114,4,2006,0,115000
150,20,0,120,0,2,0,5,6,0,3,3,1,1,1,1,3,4,97,253,2,969,0,0,1,1,3,1,5,0,0,4,1,2,440,0,0,1,2007,0,122000
151,20,0,107,0,0,10,8,5,1,0,0,2,0,0,2,1,5,98,310,0,1710,0,1,2,0,2,0,6,1,2,4,3,3,866,0,102,1,2008,2,372402
152,60,0,0,1,3,6,6,5,0,3,3,4,1,1,1,4,3,99,409,1,1097,896,0,2,1,4,1,8,1,2,4,3,2,495,0,66,6,2006,0,190000
153,20,0,0,0,0,19,6,7,4,4,4,1,1,1,3,1,4,100,93,1,1252,0,1,1,0,1,1,4,1,2,4,3,2,564,409,0,3,2008,0,235000
154,30,1,84,0,2,7,6,5,0,2,5,1,1,2,1,4,2,8,1200,2,1200,0,0,1,0,4,1,7,0,0,1,1,1,312,0,0,3,2006,5,125000
155,50,0,60,0,2,15,6,5,0,2,5,1,1,2,1,4,2,8,572,3,572,524,0,1,0,2,1,5,0,0,4,3,0,0,0,8,4,2008,0,79000
156,20,0,60,0,0,11,5,7,1,2,5,1,1,1,3,4,5,8,0,2,1040,0,0,1,0,2,1,5,0,0,1,1,2,625,0,0,6,2006,0,109500
157,60,0,92,0,2,16,8,5,0,0,0,4,0,0,2,4,2,8,774,0,774,1194,0,2,1,4,2,8,1,2,2,2,3,680,0,75,5,2010,2,269500
