,MSSubClass,MSZoning,LotFrontage,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,Fence,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,60,0,85,1,0,0,10,0,0,0,9,5,2005,2006,1,5,2,2,286,2,0,0,2,2,4,5,11,2,0,177,1175,0,5,1182,1142,2324,1,0,3,0,4,2,11,2,2,2,2,3,736,0,147,21,0,0,0,7,2006,1,2,345000
12,20,0,0,2,0,0,9,0,0,1,5,6,1962,1962,1,3,4,1,0,1,0,1,1,2,4,1,12,2,0,175,912,2,5,912,0,912,1,0,1,0,2,1,4,0,0,1,1,1,352,0,140,0,0,176,0,9,2008,0,0,144000
13,20,0,91,1,0,0,0,0,0,1,7,5,2006,2007,0,0,0,2,306,0,0,0,3,2,3,2,8,2,0,1494,1494,0,5,1494,0,1494,0,0,2,0,3,0,7,1,2,4,3,3,840,0,160,33,0,0,0,8,2007,1,2,279500
14,20,0,0,1,0,2,11,0,0,1,6,5,1960,1960,1,1,1,4,212,1,0,1,1,2,4,4,13,2,0,520,1253,2,5,1253,0,1253,1,0,1,1,2,1,5,1,3,4,3,1,352,0,0,213,176,0,2,5,2008,0,0,157000
15,45,1,51,0,0,2,8,0,0,3,7,8,1929,2001,0,2,5,1,0,1,0,2,1,2,4,2,8,2,0,832,832,0,2,854,0,854,0,0,1,0,2,1,5,0,0,1,1,2,576,0,48,112,0,0,3,7,2007,0,0,132000
16,20,0,0,1,0,3,11,0,0,1,6,7,1970,1970,0,2,5,4,180,1,0,1,1,2,4,1,14,2,0,426,1004,0,5,1004,0,1004,1,0,1,0,2,1,5,1,1,4,2,2,480,0,0,0,0,0,0,3,2010,0,0,149000
17,90,0,72,0,0,0,9,0,2,1,4,5,1967,1967,0,1,1,1,0,1,0,4,3,2,4,5,8,2,0,0,0,2,5,1296,0,1296,0,0,2,0,2,1,6,0,0,3,1,2,516,0,0,0,0,0,0,10,2006,0,0,90000
18,20,0,66,0,0,0,12,4,0,1,5,5,2004,2004,0,0,0,1,0,1,0,0,1,2,4,5,15,2,0,468,1114,0,5,1114,0,1114,1,0,1,1,3,0,6,0,0,1,1,2,576,0,0,102,0,0,0,6,2008,0,0,159000
19,20,0,70,0,0,0,11,0,0,1,5,6,1958,1965,1,4,4,1,0,1,0,1,1,2,4,6,297,2,0,525,1029,2,5,1339,0,1339,0,0,1,0,3,1,6,0,0,4,1,1,294,0,0,0,0,0,1,5,2009,2,1,139000
20,60,0,101,1,0,2,10,0,0,0,8,5,2005,2006,0,0,0,4,380,0,0,0,2,2,3,2,8,2,0,1158,1158,0,5,1158,1218,2376,0,0,3,1,4,0,9,1,2,2,3,3,853,0,240,154,0,0,0,11,2006,1,2,325300
21,45,1,57,0,1,0,13,0,0,3,7,7,1930,1950,0,2,5,1,0,1,0,0,1,2,4,2,8,2,0,637,637,0,1,1108,0,1108,0,0,1,0,3,0,6,1,2,4,1,1,280,1,0,0,205,0,3,6,2007,0,0,139400
22,20,0,75,0,0,0,0,0,0,1,8,5,2002,2002,1,0,0,4,281,0,0,0,3,2,4,2,8,2,0,1777,1777,0,5,1795,0,1795,0,0,2,0,3,0,7,1,2,4,3,2,534,0,171,159,0,0,0,9,2008,0,0,230000
23,120,1,44,0,0,0,14,0,3,1,5,7,1976,1976,0,6,6,1,0,1,0,0,3,2,4,5,17,2,0,200,1040,2,5,1060,0,1060,1,0,1,0,3,1,6,1,1,4,1,2,572,0,100,110,0,0,0,6,2007,0,0,129900
24,20,0,0,1,0,0,9,0,0,1,5,8,1968,2001,0,7,4,1,0,1,1,1,1,2,2,3,18,3,668,204,1060,0,5,1060,0,1060,1,0,1,0,3,0,6,1,1,4,1,1,270,0,406,90,0,0,1,5,2010,0,0,154000
25,20,0,110,0,0,2,10,0,0,1,8,5,2007,2007,0,0,0,2,640,0,0,0,3,2,4,2,8,2,0,1566,1566,0,5,1600,0,1600,0,0,2,0,3,0,7,1,2,4,3,3,890,0,0,56,0,0,0,7,2009,0,0,256300
26,20,0,60,0,0,2,11,0,0,1,5,7,1951,2000,0,2,5,1,0,1,0,1,1,2,2,4,19,4,486,180,900,2,5,900,0,900,0,1,1,0,3,0,5,0,0,1,1,2,576,0,222,32,0,0,0,5,2010,0,0,134800
27,20,0,98,0,0,0,10,0,0,1,8,5,2007,2008,0,0,0,2,200,0,0,0,2,2,4,5,386,2,0,486,1704,0,5,1704,0,1704,1,0,2,0,3,0,7,1,2,4,3,3,772,0,0,50,0,0,0,5,2010,0,0,306000
28,20,0,47,1,0,3,11,0,0,1,5,6,1957,1997,0,1,1,1,0,1,0,1,1,2,1,4,21,2,0,207,1484,2,5,1600,0,1600,1,0,1,0,2,1,6,2,2,4,3,1,319,0,288,258,0,0,0,12,2006,0,0,207500
29,30,1,60,1,0,0,8,1,0,1,4,6,1927,1950,0,1,1,1,0,1,0,2,1,2,4,2,8,2,0,520,520,3,5,520,0,520,0,0,1,0,1,3,4,0,0,1,1,1,240,0,49,0,87,0,0,5,2008,0,0,68500
30,70,2,50,0,0,0,13,1,0,0,4,4,1920,1950,2,4,7,1,0,1,2,2,1,2,4,2,8,2,0,649,649,2,5,649,668,1317,0,0,1,0,3,1,6,0,0,1,1,1,250,1,0,54,172,0,1,7,2008,0,0,40000
31,20,0,0,1,0,3,9,0,0,1,5,6,1966,2006,0,3,3,1,0,1,0,1,1,2,4,2,8,2,0,1228,1228,1,5,1228,0,1228,0,0,1,1,3,0,6,0,0,4,1,1,271,0,0,65,0,0,1,6,2008,0,0,149350
32,20,0,85,0,0,2,0,0,0,1,8,5,2007,2007,0,0,0,1,0,0,0,0,2,2,3,2,8,2,0,1234,1234,0,5,1234,0,1234,0,0,2,0,3,0,7,0,0,4,3,2,484,0,0,30,0,0,0,1,2008,0,0,179900
33,20,0,70,1,0,0,11,0,0,1,5,5,1959,1959,1,4,7,1,0,1,0,1,1,2,4,3,22,2,0,380,1398,1,5,1700,0,1700,0,1,1,1,4,0,6,1,2,4,3,2,447,0,0,38,0,0,0,4,2010,0,0,165500
34,120,0,60,0,0,0,10,0,3,1,9,5,2005,2005,1,1,1,4,246,2,0,0,2,2,4,5,23,2,0,408,1561,0,5,1561,0,1561,1,0,2,0,2,2,6,1,2,4,2,2,556,0,203,47,0,0,0,8,2007,0,0,277500
35,60,0,108,0,0,0,10,0,0,0,8,5,2004,2005,0,0,0,2,132,0,0,0,2,2,3,2,8,2,0,1117,1117,0,5,1132,1320,2452,0,0,3,1,4,0,9,1,2,2,2,3,691,0,113,32,0,0,0,9,2006,0,0,309000
36,20,0,112,0,0,2,0,0,0,1,5,5,1994,1995,0,0,0,1,0,1,0,0,3,2,4,2,8,2,0,1097,1097,0,5,1097,0,1097,0,0,1,1,3,1,6,0,0,4,1,2,672,0,392,64,0,0,0,6,2009,0,0,145000
37,20,0,74,0,0,0,11,0,0,1,5,6,1954,1990,1,2,5,4,650,1,0,1,1,2,4,3,55,2,0,84,1297,1,5,1297,0,1297,0,1,1,0,3,1,5,1,1,4,2,2,498,0,0,0,0,0,0,10,2009,0,0,153000
38,20,0,68,0,0,0,11,0,0,1,5,7,1953,2007,0,0,0,1,0,1,1,1,1,2,4,5,627,2,0,326,1057,2,5,1057,0,1057,1,0,1,0,3,0,5,0,0,1,1,1,246,0,0,52,0,0,0,1,2010,0,1,109000
39,90,0,65,0,0,0,15,0,2,1,4,5,1955,1955,0,8,4,1,0,1,0,0,3,2,4,5,8,2,0,0,0,2,3,1152,0,1152,0,0,2,0,2,3,6,0,0,4,3,0,0,1,0,0,0,0,0,6,2008,0,3,82000
40,20,0,84,0,0,0,11,0,0,1,6,5,1965,1965,0,2,5,4,101,1,0,1,1,2,4,3,26,2,0,445,1088,0,5,1324,0,1324,0,0,2,0,3,1,6,1,1,4,3,2,440,0,0,138,0,0,2,12,2006,0,1,160000
41,20,0,115,0,0,0,16,0,0,1,5,6,1959,1959,0,0,0,1,0,1,1,1,1,2,1,4,551,2,0,383,1350,1,5,1328,0,1328,0,1,1,1,2,1,5,2,2,4,3,1,308,2,0,104,0,0,0,7,2007,0,0,170000
42,85,0,0,1,0,3,12,0,0,4,5,7,1983,1983,0,3,3,1,0,1,0,1,3,2,3,1,435,5,93,0,840,1,5,884,0,884,1,0,1,0,2,0,5,0,0,4,3,2,504,0,240,0,0,0,1,12,2007,0,0,144000
43,20,0,0,1,0,3,0,0,0,1,5,6,1975,1980,1,0,0,1,0,1,0,1,3,2,3,6,29,1,491,167,938,2,5,938,0,938,1,0,1,0,3,1,5,0,0,1,1,1,308,0,145,0,0,0,1,7,2008,0,0,130250
44,20,0,70,0,0,0,11,0,0,1,5,6,1959,1959,0,4,5,1,0,1,0,1,1,2,4,1,30,1,506,465,1150,0,2,1150,0,1150,1,0,1,0,3,1,6,0,0,4,3,1,300,0,0,0,0,0,0,5,2006,0,0,141000
45,120,0,61,0,0,0,10,0,3,1,9,5,2005,2005,1,1,1,4,412,2,0,0,2,2,4,5,31,2,0,1296,1752,0,5,1752,0,1752,1,0,2,0,2,2,6,1,2,4,3,2,576,0,196,82,0,0,0,2,2010,0,0,319900
46,50,0,48,1,0,3,4,0,0,2,7,5,2003,2003,0,0,0,1,0,0,0,0,2,2,4,5,32,2,0,83,1434,0,5,1518,631,2149,1,0,1,1,1,0,6,1,4,4,3,2,670,0,168,43,0,198,0,8,2009,0,1,239686
47,20,3,84,0,0,0,5,0,0,1,8,5,2006,2006,0,0,0,1,0,0,0,0,3,2,3,5,55,2,0,1632,1656,0,5,1656,0,1656,0,0,2,0,3,0,7,0,0,4,3,3,826,0,0,146,0,0,0,7,2007,0,0,249700
48,190,1,33,0,0,0,7,0,1,0,4,5,1920,2008,0,1,1,1,0,1,0,2,1,2,4,2,8,2,0,736,736,1,5,736,716,1452,0,0,2,0,2,1,8,0,0,4,3,0,0,1,0,0,102,0,0,6,2009,1,2,113000
49,20,0,66,0,0,0,9,0,0,1,5,7,1966,1966,0,3,3,1,0,1,0,1,1,2,4,4,34,2,0,192,955,0,5,955,0,955,1,0,1,0,3,1,6,0,0,4,1,1,386,0,0,0,0,0,1,1,2007,0,0,127000
50,60,0,0,2,0,2,17,0,0,0,6,6,1997,1997,0,0,0,1,0,1,0,0,3,2,3,5,226,2,0,612,794,1,5,794,676,1470,0,1,2,0,3,1,6,0,0,4,2,2,388,0,0,75,0,0,0,7,2007,0,0,177000
51,50,1,52,0,0,0,8,0,0,2,6,6,1934,1950,0,2,5,1,0,1,0,0,1,2,4,2,8,2,0,816,816,2,5,816,0,1176,0,0,1,0,3,1,6,1,2,1,1,2,528,0,112,0,0,0,1,9,2006,0,0,114500
52,90,1,110,2,1,2,13,5,2,1,5,5,1963,1963,0,2,5,1,0,3,0,1,3,2,1,6,136,6,712,0,816,2,5,816,0,816,1,0,1,0,2,1,5,0,0,3,1,2,516,0,106,0,0,0,0,5,2010,0,0,110000
53,20,0,68,1,2,0,1,0,0,1,9,5,1981,1987,0,5,2,1,0,0,0,1,2,2,1,5,37,2,0,32,1842,1,5,1842,0,1842,2,0,0,1,0,0,5,1,2,4,2,3,894,0,857,72,0,0,0,11,2006,0,0,385000
54,80,0,60,0,1,0,11,0,0,5,5,5,1955,1955,0,1,1,1,0,1,0,1,1,2,4,1,38,2,0,0,384,2,5,1360,0,1360,0,0,1,0,3,1,6,1,1,1,1,2,572,0,0,50,0,0,1,2,2007,0,0,130000
55,20,0,100,1,0,0,11,0,0,1,6,5,1964,1964,0,3,4,4,272,1,0,1,1,2,4,4,39,2,0,935,1425,1,5,1425,0,1425,0,0,2,0,3,1,7,1,2,4,3,2,576,0,0,0,0,0,0,7,2008,0,0,180500
56,160,3,24,0,0,0,5,0,4,0,8,5,1999,2000,0,1,1,4,456,0,0,0,3,2,4,5,199,2,0,321,970,0,5,983,756,1739,1,0,2,1,3,0,7,0,0,4,2,2,480,0,115,0,0,0,0,8,2009,0,1,172500
57,60,0,89,1,0,2,0,0,0,0,7,5,2004,2004,0,0,0,1,0,0,0,0,3,2,4,2,8,2,0,860,860,0,5,860,860,1720,0,0,2,1,3,0,7,0,0,4,3,2,565,0,0,70,0,0,0,8,2006,0,0,196500
58,60,0,66,2,3,3,18,0,0,0,10,5,2006,2006,1,0,0,4,1031,2,0,0,2,2,1,2,8,2,0,1410,1410,0,5,1426,1519,2945,0,0,3,1,3,0,10,1,2,2,2,3,641,0,192,0,37,0,0,10,2006,1,2,438780
59,20,0,60,0,1,0,0,0,0,1,5,7,1972,1972,0,3,3,1,0,1,0,1,1,2,3,1,355,2,0,148,780,0,5,780,0,780,0,0,1,0,2,1,4,0,0,1,1,1,352,0,196,0,0,0,1,1,2008,0,0,124900
60,20,0,63,0,0,0,12,4,0,1,6,5,2004,2004,0,0,0,1,0,1,0,0,3,2,4,1,42,2,0,217,1158,0,5,1158,0,1158,1,0,1,1,3,0,5,0,0,1,1,2,576,0,0,50,0,0,0,5,2006,1,2,158000
61,75,1,60,0,0,0,13,0,0,6,5,7,1920,1996,0,1,1,1,0,1,0,2,1,3,4,2,8,2,0,530,530,2,5,581,530,1111,0,0,1,0,3,3,6,0,0,1,1,1,288,1,0,0,144,0,0,3,2007,0,0,101000
62,120,0,44,1,0,0,10,0,3,1,8,5,2006,2006,0,0,0,2,178,0,0,0,3,1,2,5,55,2,0,1346,1370,0,5,1370,0,1370,0,0,2,0,2,0,6,1,2,4,3,2,484,0,120,49,0,0,0,10,2007,0,0,202500
63,70,1,50,1,1,0,7,6,0,0,7,6,1921,1950,0,9,8,1,0,1,0,2,1,2,4,2,8,2,0,576,576,1,5,902,808,1710,0,0,2,0,3,1,9,0,0,1,1,2,480,0,12,11,64,0,3,4,2010,0,0,140000
64,60,0,0,0,0,0,0,0,0,0,7,5,1997,1998,0,0,0,4,573,1,0,0,3,2,4,5,43,2,0,318,1057,0,5,1057,977,2034,1,0,2,1,3,0,8,0,0,4,3,2,645,0,576,36,0,0,3,2,2009,0,0,219500
65,60,0,76,0,0,0,10,0,0,0,8,5,2004,2005,0,0,0,4,344,0,0,0,2,2,3,2,8,2,0,1143,1143,0,5,1143,1330,2473,0,0,2,1,4,0,9,1,2,2,3,3,852,0,192,151,0,0,0,10,2007,0,0,317000
66,20,0,0,0,0,0,11,7,0,1,7,5,1970,1989,0,7,4,4,287,1,0,1,3,2,1,5,44,2,0,1035,1947,2,5,2207,0,2207,1,0,2,0,3,1,7,1,2,4,3,2,576,0,301,0,0,0,0,7,2010,0,0,180000
67,20,0,72,1,0,0,0,0,0,1,7,5,2003,2003,0,0,0,4,167,0,0,0,3,2,3,5,45,2,0,440,1453,0,5,1479,0,1479,1,0,2,0,3,0,7,0,0,4,3,2,558,0,144,29,0,0,0,6,2007,0,0,226000
68,30,1,47,0,0,2,7,3,0,1,4,6,1945,1950,0,1,1,1,0,1,1,1,1,2,4,2,8,2,0,747,747,2,5,747,0,747,0,0,1,0,2,1,4,0,0,4,1,1,220,0,0,0,0,0,0,6,2010,0,0,80000
69,50,0,81,0,0,2,19,0,0,2,7,4,1953,1953,0,4,9,1,0,0,0,1,1,2,4,4,46,2,0,701,1304,2,5,1304,983,2287,0,0,2,0,3,1,7,1,1,4,2,2,667,0,0,21,114,0,0,7,2006,0,0,225000
70,20,0,95,1,0,0,11,0,0,1,7,6,1973,1973,0,7,4,4,1115,1,1,1,3,2,1,1,47,2,0,343,2223,0,5,2223,0,2223,1,0,2,0,3,1,8,2,2,4,2,2,516,0,300,0,0,0,0,2,2007,0,0,244000
71,20,0,69,0,0,2,4,0,0,1,4,6,1982,2006,0,3,4,1,0,1,0,1,1,2,4,1,540,2,0,280,845,2,5,845,0,845,1,0,1,0,2,1,4,0,0,1,1,2,360,0,0,0,0,0,0,6,2007,0,0,129500
72,60,0,74,1,0,2,17,0,0,0,7,5,1998,1998,0,0,0,4,40,1,0,0,3,2,4,2,8,2,0,832,832,1,5,885,833,1718,0,0,2,1,3,1,7,1,1,4,2,2,427,0,0,94,0,291,0,12,2009,0,0,185000
73,20,0,85,0,0,0,11,0,0,1,5,7,1954,2003,0,2,5,4,104,1,0,1,1,2,4,1,635,1,362,404,1086,1,5,1086,0,1086,1,0,1,0,3,1,6,0,0,4,1,2,490,0,0,0,0,0,2,5,2010,0,0,144900
74,50,1,60,0,0,2,7,0,0,0,3,6,1915,1950,2,0,0,1,0,0,1,1,4,2,4,2,8,2,0,840,840,1,5,840,765,1605,0,0,2,0,3,1,8,0,0,1,1,1,379,0,0,0,202,0,0,5,2010,0,0,107400
75,180,1,21,0,0,0,14,0,4,5,4,5,1973,1973,0,6,6,1,0,1,0,1,3,2,1,5,245,2,0,0,462,2,5,526,462,988,1,0,1,0,2,1,5,0,0,2,1,1,297,0,120,101,0,0,2,11,2009,0,0,91000
76,20,0,0,1,0,0,11,0,0,1,4,7,1956,1956,0,0,0,1,0,1,0,1,1,2,4,1,51,2,0,724,952,0,2,952,0,952,0,0,1,0,2,1,4,0,0,1,1,1,283,0,0,0,0,0,0,4,2008,0,0,135750
77,50,1,50,0,0,0,8,0,0,2,5,5,1948,2001,0,2,5,1,0,1,0,1,1,2,4,4,52,6,41,295,672,2,5,1072,213,1285,1,0,1,0,2,1,6,0,0,1,1,1,240,0,0,0,0,0,1,1,2008,0,0,127000
78,90,0,72,0,0,0,9,0,2,1,4,5,1968,1968,1,3,3,1,0,1,0,1,1,2,4,2,8,2,0,1768,1768,2,5,1768,0,1768,0,0,2,0,4,1,8,0,0,4,3,0,0,0,0,0,0,0,0,4,2010,0,0,136500
79,50,1,60,0,0,2,7,0,0,0,5,6,1910,1981,0,2,5,1,0,1,0,0,1,2,4,2,8,2,0,440,440,1,5,682,548,1230,0,0,1,1,2,1,5,0,0,1,1,2,440,0,74,0,128,0,1,5,2009,0,0,110000
80,60,0,100,0,0,2,11,0,0,0,6,6,1968,1968,0,0,0,4,576,1,1,1,3,2,4,3,53,2,0,448,896,2,5,1182,960,2142,0,0,2,1,4,0,8,1,2,4,2,1,509,0,0,72,0,252,0,6,2009,0,0,193500
81,120,1,32,0,0,1,4,0,3,1,6,5,1998,1998,1,0,0,4,443,1,1,0,2,1,4,5,54,2,0,36,1237,0,5,1337,0,1337,1,0,2,0,2,1,5,0,0,4,2,2,405,0,0,199,0,0,0,3,2006,0,0,153500
82,20,0,78,0,0,0,5,0,0,1,8,5,2007,2007,0,0,0,2,468,1,0,0,3,2,4,5,55,2,0,1530,1563,0,5,1563,0,1563,0,0,2,0,3,0,6,1,2,4,3,3,758,0,144,99,0,0,0,10,2008,0,0,245000
83,20,0,80,1,0,0,11,0,0,1,5,5,1960,1960,0,1,1,3,66,1,0,1,1,2,4,2,8,2,0,1065,1065,1,5,1065,0,1065,0,0,1,1,3,1,6,0,0,1,1,2,461,0,74,0,0,0,0,7,2007,2,0,126500
84,80,0,0,1,0,0,17,0,0,5,7,5,1995,1996,0,3,3,4,22,1,0,0,3,2,4,2,8,2,0,384,384,1,5,804,670,1474,0,0,2,1,3,1,7,1,1,2,2,2,400,0,120,72,0,0,0,5,2009,0,0,168500
85,60,0,121,0,0,2,3,0,0,0,8,5,1991,1992,1,3,3,4,284,0,0,1,3,2,4,2,8,2,0,1288,1288,0,5,1301,1116,2417,0,0,2,1,4,0,9,1,1,4,1,2,462,0,127,82,0,0,0,4,2006,0,0,260000
86,60,0,122,2,0,0,17,0,0,0,6,5,2005,2005,0,0,0,1,0,0,0,0,3,2,3,2,8,2,0,684,684,0,5,684,876,1560,0,0,2,1,3,0,6,1,2,2,2,2,400,0,100,38,0,0,0,3,2009,0,0,174000
87,160,3,40,0,0,2,5,0,3,0,6,5,2009,2009,0,0,0,2,76,0,0,0,3,2,3,2,8,2,0,612,612,0,5,612,612,1224,0,0,2,1,2,0,4,0,0,1,3,2,528,0,0,234,0,0,0,6,2009,1,2,164500
88,50,2,105,1,0,2,13,1,0,2,3,2,1915,1982,1,7,4,1,0,3,2,1,1,3,4,2,8,2,0,1013,1013,2,5,1013,0,1526,0,0,1,0,2,3,6,0,0,4,3,0,0,1,0,0,156,0,1,10,2009,3,1,85000
89,20,0,60,0,0,0,0,0,0,1,4,5,1994,1995,0,0,0,1,0,1,0,0,3,2,4,5,313,2,0,402,990,0,5,990,0,990,1,0,1,0,3,1,5,0,0,4,3,0,0,0,0,0,0,0,0,8,2007,0,0,123600
90,20,0,60,0,0,0,11,0,0,1,4,5,1950,1950,0,4,5,1,0,1,0,4,3,2,4,5,8,2,0,0,0,2,2,1040,0,1040,0,0,1,0,2,1,4,0,0,1,1,2,420,0,0,29,0,0,0,7,2006,0,0,109900
91,20,0,85,0,0,0,11,0,0,1,5,3,1961,1961,1,3,3,3,203,1,0,1,1,2,4,3,102,2,0,635,1235,2,5,1235,0,1235,0,0,1,0,2,1,6,0,0,4,1,2,480,0,0,0,0,0,2,12,2006,0,1,98600
92,30,0,80,1,3,0,2,0,0,1,5,7,1921,2006,0,2,5,1,0,1,1,2,3,2,4,1,58,2,0,163,876,0,5,964,0,964,1,0,1,0,2,1,5,0,0,1,1,2,432,0,0,0,44,0,0,8,2009,0,0,163500
93,190,2,60,0,0,2,7,0,1,6,6,6,1910,1998,1,1,1,1,0,1,0,2,1,3,2,3,59,2,0,168,1214,0,5,1260,1031,2291,0,1,2,0,4,1,9,1,2,1,1,2,506,0,0,0,0,99,0,11,2007,0,0,133900
94,60,0,69,1,0,0,0,0,0,0,6,5,1997,1997,0,0,0,1,0,1,1,0,3,2,4,5,60,2,0,176,824,0,5,905,881,1786,1,0,2,1,3,0,7,0,0,4,3,2,684,0,0,162,0,0,0,5,2007,0,0,204750
95,60,0,0,2,0,2,17,0,0,0,6,8,1993,1993,0,0,0,4,68,2,1,0,3,1,4,1,61,2,0,370,680,1,5,680,790,1470,0,0,2,1,3,1,6,1,1,2,2,2,420,0,232,63,0,0,0,4,2009,0,0,185000
96,20,0,78,1,0,0,0,0,0,1,7,5,1999,1999,0,0,0,4,183,0,0,0,3,2,3,1,62,2,0,426,1588,0,5,1588,0,1588,0,0,2,0,3,0,6,0,0,4,3,2,472,0,158,29,0,0,0,8,2006,0,0,214000
97,20,0,73,0,3,0,15,0,0,1,4,5,1965,1965,1,3,3,4,48,1,0,1,1,2,4,3,466,2,0,440,960,2,1,960,0,960,1,0,1,0,3,1,6,0,0,4,2,1,432,2,120,0,0,0,0,5,2007,0,0,94750
98,30,0,85,0,0,2,15,0,0,1,5,5,1920,1950,0,2,5,1,0,1,0,2,1,2,4,1,450,2,0,350,458,3,5,835,0,835,0,0,1,0,2,1,5,0,0,5,1,1,366,0,0,0,77,0,0,5,2010,2,1,83000
99,20,0,77,1,0,0,11,0,0,1,4,5,1959,1959,0,7,4,1,0,1,0,1,1,2,4,1,65,2,0,381,950,3,5,1225,0,1225,1,0,1,1,3,1,6,0,0,4,3,0,0,0,352,0,0,0,0,1,2010,0,0,128950
100,20,0,0,1,0,0,6,0,0,1,6,7,1977,2001,0,7,4,4,28,1,0,0,1,2,2,1,66,2,0,410,1610,1,5,1610,0,1610,1,0,2,0,3,0,6,2,1,4,3,2,480,0,168,68,0,0,0,2,2010,0,0,205000
101,60,0,77,0,0,0,12,0,0,0,6,5,1985,1985,0,3,3,4,336,0,0,1,3,2,4,2,8,2,0,741,741,2,5,977,755,1732,0,0,2,1,3,0,7,1,1,4,2,2,476,0,192,46,0,0,0,6,2010,0,0,178000
