,LotShape,Neighborhood,OverallQual,Exterior2nd,MasVnrType,ExterQual,BsmtExposure,BsmtFinSF1,BsmtUnfSF,1stFlrSF,FullBath,HalfBath,BedroomAbvGr,KitchenQual,Fireplaces,GarageArea,WoodDeckSF,MoSold,YrSold,SalePrice
46,1,4,7,0,1,0,4,32,83,1518,1,1,1,0,1,670,168,8,2009,239686
47,0,5,8,0,1,0,3,55,1632,1656,2,0,3,0,0,826,0,7,2007,249700
48,0,7,4,1,1,1,4,8,736,736,2,0,2,1,0,0,0,6,2009,113000
49,0,9,5,3,1,1,4,34,192,955,1,0,3,1,0,386,0,1,2007,127000
50,2,17,6,0,1,1,3,226,612,794,2,0,3,1,0,388,0,7,2007,177000
51,0,8,6,5,1,1,4,8,816,816,1,0,3,1,1,528,112,9,2006,114500
52,2,13,5,5,1,3,1,136,0,816,1,0,2,1,0,516,106,5,2010,110000
53,1,1,9,2,1,0,1,37,32,1842,0,1,0,0,1,894,857,11,2006,385000
54,0,11,5,1,1,1,4,38,0,1360,1,0,3,1,1,572,0,2,2007,130000
55,1,11,6,4,4,1,4,39,935,1425,2,0,3,1,1,576,0,7,2008,180500
56,0,5,8,1,4,0,4,199,321,983,2,1,3,0,0,480,115,8,2009,172500
57,1,0,7,0,1,0,4,8,860,860,2,1,3,0,0,565,0,8,2006,196500
58,2,18,10,0,4,2,1,8,1410,1426,3,1,3,0,1,641,192,10,2006,438780
59,0,0,5,3,1,1,3,355,148,780,1,0,2,1,0,352,196,1,2008,124900
60,0,12,6,0,1,1,4,42,217,1158,1,1,3,0,0,576,0,5,2006,158000
61,0,13,5,1,1,1,4,8,530,581,1,0,3,3,0,288,0,3,2007,101000
62,1,10,8,0,2,0,2,55,1346,1370,2,0,2,0,1,484,120,10,2007,202500
63,1,7,7,8,1,1,4,8,576,902,2,0,3,1,0,480,12,4,2010,140000
64,0,0,7,0,4,1,4,43,318,1057,2,1,3,0,0,645,576,2,2009,219500
65,0,10,8,0,4,0,3,8,1143,1143,2,1,4,0,1,852,192,10,2007,317000
66,0,11,7,4,4,1,1,44,1035,2207,2,0,3,1,1,576,301,7,2010,180000
67,1,0,7,0,4,0,3,45,440,1479,2,0,3,0,0,558,144,6,2007,226000
68,0,7,4,1,1,1,4,8,747,747,1,0,2,1,0,220,0,6,2010,80000
69,0,19,7,9,1,0,4,46,701,1304,2,0,3,1,1,667,0,7,2006,225000
70,1,11,7,4,4,1,1,47,343,2223,2,0,3,1,2,516,300,2,2007,244000
71,0,4,4,4,1,1,4,540,280,845,1,0,2,1,0,360,0,6,2007,129500
72,1,17,7,0,4,1,4,8,832,885,2,1,3,1,1,427,0,12,2009,185000
73,0,11,5,5,4,1,4,635,404,1086,1,0,3,1,0,490,0,5,2010,144900
74,0,7,3,0,1,0,4,8,840,840,2,0,3,1,0,379,0,5,2010,107400
75,0,14,4,6,1,1,1,245,0,526,1,0,2,1,0,297,120,11,2009,91000
76,1,11,4,0,1,1,4,51,724,952,1,0,2,1,0,283,0,4,2008,135750
77,0,8,5,5,1,1,4,52,295,1072,1,0,2,1,0,240,0,1,2008,127000
78,0,9,4,3,1,1,4,8,1768,1768,2,0,4,1,0,0,0,4,2010,136500
79,0,7,5,5,1,1,4,8,440,682,1,1,2,1,0,440,74,5,2009,110000
80,0,11,6,0,4,1,4,53,448,1182,2,1,4,0,1,509,0,6,2009,193500
81,0,4,6,0,4,1,4,54,36,1337,2,0,2,1,0,405,0,3,2006,153500
82,0,5,8,0,2,1,4,55,1530,1563,2,0,3,0,1,758,144,10,2008,245000
83,1,11,5,1,3,1,4,8,1065,1065,1,1,3,1,0,461,74,7,2007,126500
84,1,17,7,3,4,1,4,8,384,804,2,1,3,1,1,400,120,5,2009,168500
85,0,3,8,3,4,0,4,8,1288,1301,2,1,4,0,1,462,127,4,2006,260000
86,2,17,6,0,1,0,3,8,684,684,2,1,3,0,1,400,100,3,2009,174000
87,0,5,6,0,2,0,3,8,612,612,2,1,2,0,0,528,0,6,2009,164500
88,1,13,3,4,1,3,4,8,1013,1013,1,0,2,3,0,0,0,10,2009,85000
89,0,0,4,0,1,1,4,313,402,990,1,0,3,1,0,0,0,8,2007,123600
90,0,11,4,5,1,1,4,8,0,1040,1,0,2,1,0,420,0,7,2006,109900
91,0,11,5,3,3,1,4,102,635,1235,1,0,2,1,0,480,0,12,2006,98600
92,1,2,5,5,1,1,4,58,163,964,1,0,2,1,0,432,0,8,2009,163500
93,0,7,6,1,1,1,2,59,168,1260,2,0,4,1,1,506,0,11,2007,133900
94,1,0,6,0,1,1,4,60,176,905,2,1,3,0,0,684,0,5,2007,204750
95,2,17,6,0,4,2,4,61,370,680,2,1,3,1,1,420,232,4,2009,185000
96,1,0,7,0,4,0,3,62,426,1588,2,0,3,0,0,472,158,8,2006,214000
97,0,15,4,3,4,1,4,466,440,960,1,0,3,1,0,432,120,5,2007,94750
98,0,15,5,5,1,1,4,450,350,835,1,0,2,1,0,366,0,5,2010,83000
99,1,11,4,4,1,1,4,65,381,1225,1,1,3,1,0,0,352,1,2010,128950
100,1,6,6,4,4,1,2,66,410,1610,2,0,3,0,2,480,168,2,2010,205000
101,0,12,6,3,4,0,4,8,741,977,2,1,3,0,1,476,192,6,2010,178000
102,0,12,5,3,1,1,4,8,0,1535,2,0,4,1,0,410,0,6,2009,118964
103,1,0,7,0,1,1,4,8,1226,1226,2,0,3,0,0,740,0,5,2010,198900
104,0,13,7,8,4,1,4,67,816,1226,1,1,4,1,2,240,0,6,2007,169500
105,0,5,8,0,4,0,4,8,1053,1053,2,1,3,0,1,648,140,8,2008,250000
106,0,7,4,0,1,1,4,8,641,1047,1,0,2,1,0,273,0,8,2007,100000
107,0,7,5,0,1,1,4,136,516,789,1,0,2,1,0,250,0,4,2008,115000
108,0,13,5,6,1,1,4,8,793,997,2,0,3,3,0,0,0,8,2007,115000
109,1,6,6,4,4,1,4,68,1139,1844,2,0,3,1,1,546,0,1,2010,190000
110,0,15,6,5,1,1,4,69,550,1216,2,0,4,1,0,325,182,10,2006,136900
111,1,17,7,0,1,1,4,70,134,774,2,1,3,1,1,400,180,4,2010,180000
112,0,0,7,0,2,0,3,71,280,1282,2,1,4,2,1,792,120,10,2007,383970
113,0,2,6,5,4,1,2,226,905,2259,2,0,3,0,2,450,166,10,2007,217000
114,1,2,6,5,1,1,4,73,104,1436,2,1,3,0,1,180,224,7,2007,259500
115,0,5,6,1,4,1,4,74,310,729,2,1,2,1,1,440,0,6,2007,176000
116,0,9,5,5,4,1,4,525,252,1092,1,0,3,1,1,288,0,9,2009,139000
117,0,15,5,0,1,1,4,8,1125,1125,1,1,2,1,0,430,80,4,2007,155000
118,0,12,7,4,1,1,2,76,203,1699,3,0,5,0,2,594,367,5,2010,320000
119,0,0,6,0,1,0,4,8,728,728,2,1,3,0,1,390,0,7,2006,163990
120,1,19,6,4,1,1,1,77,0,988,1,0,1,1,2,540,0,10,2006,180000
121,0,13,4,9,1,1,4,8,732,772,1,0,3,1,0,264,0,6,2007,100000
122,0,11,6,1,4,1,4,78,510,1080,1,0,3,1,0,288,0,6,2008,136000
123,0,12,6,4,1,0,4,79,899,1199,2,0,2,0,0,530,0,3,2008,153900
124,1,6,6,3,1,1,4,8,1362,1586,2,0,3,1,1,435,192,1,2009,181000
125,0,13,6,5,1,1,3,39,30,520,1,0,2,1,0,0,53,6,2006,84500
126,1,20,6,4,1,1,4,604,958,958,2,0,2,1,1,440,0,2,2007,128000
127,1,7,5,5,1,1,4,345,556,840,1,0,3,1,1,0,0,6,2007,87000
128,0,11,6,0,4,1,4,82,148,660,1,1,3,1,1,453,188,7,2006,155000
129,0,11,5,4,4,1,4,83,413,1053,1,1,3,2,0,750,0,7,2006,150000
130,0,11,7,1,4,1,4,84,479,1216,2,1,4,0,2,487,105,5,2006,226000
131,1,17,6,0,4,0,4,85,297,1022,2,1,3,0,1,390,24,7,2009,244000
132,0,11,5,1,1,1,4,86,658,1327,1,0,3,0,0,624,0,7,2007,150750
133,1,16,8,0,4,0,4,87,262,1296,2,0,2,0,0,471,192,6,2009,220000
134,1,9,5,4,1,1,4,78,891,1721,2,1,3,1,1,440,0,7,2006,180000
135,0,6,7,4,4,1,4,8,1304,1682,2,0,3,1,1,530,98,5,2008,174000
136,1,11,5,1,4,1,4,85,519,1214,2,0,3,1,1,318,0,7,2007,143000
137,0,4,7,0,4,1,4,8,1907,1959,3,0,5,1,0,766,0,7,2006,171000
138,1,0,8,0,4,0,2,88,336,1004,2,1,3,0,2,660,224,12,2008,230000
139,1,0,6,0,1,1,4,89,107,928,2,1,3,0,0,470,276,8,2009,231500
140,0,11,4,3,1,1,4,90,432,864,1,0,3,1,1,0,0,4,2010,115000
141,0,0,7,0,1,0,3,91,434,1734,2,0,3,0,0,660,160,1,2006,260000
142,0,11,5,5,1,1,4,92,403,910,2,0,4,1,0,720,0,6,2010,166000
143,1,0,7,0,4,0,1,93,811,1501,2,0,3,0,0,577,144,6,2009,204000
144,0,9,5,3,4,1,4,151,396,1728,2,0,6,1,0,504,0,11,2006,125000
145,0,15,6,0,2,0,4,8,970,970,2,0,3,0,0,380,0,4,2006,130000
146,0,8,5,5,1,1,4,95,506,875,1,0,2,1,0,180,48,11,2009,105000
147,1,17,7,0,4,0,4,8,884,884,2,1,3,0,1,434,144,5,2010,222500
148,0,12,7,0,4,1,4,96,400,1080,1,0,3,0,0,0,0,4,2008,141000
149,0,8,5,1,1,1,4,8,896,896,1,0,3,1,0,240,200,4,2006,115000
150,0,0,5,3,1,1,3,97,253,969,1,1,3,1,0,440,0,1,2007,122000
151,0,10,8,0,2,0,1,98,310,1710,2,0,2,0,1,866,0,1,2008,372402
152,1,6,6,3,4,1,4,99,409,1097,2,1,4,1,1,495,0,6,2006,190000
153,0,19,6,4,1,1,1,100,93,1252,1,0,1,1,1,564,409,3,2008,235000
154,0,7,6,5,1,1,4,8,1200,1200,1,0,4,1,0,312,0,3,2006,125000
155,0,15,6,5,1,1,4,8,572,572,1,0,2,1,0,0,0,4,2008,79000
156,0,11,5,5,1,1,4,8,0,1040,1,0,2,1,0,625,0,6,2006,109500
157,0,16,8,0,4,0,4,8,774,774,2,1,4,2,1,680,0,5,2010,269500
158,0,5,7,0,1,0,4,101,769,991,2,1,3,0,1,678,0,5,2010,254900
159,1,17,7,0,4,0,2,102,1335,1392,2,1,4,0,1,576,239,3,2006,320000
160,1,1,6,4,1,1,4,103,572,1232,2,0,3,1,0,516,0,6,2008,162500
161,1,10,9,0,4,0,3,104,556,1572,2,1,3,2,2,726,400,3,2008,412500
162,0,10,7,0,4,0,2,54,340,1541,2,0,3,0,1,532,0,5,2010,220000
163,0,7,4,1,1,1,4,8,882,882,1,0,1,1,0,0,0,4,2007,103200
164,0,7,6,1,1,1,2,105,779,1149,2,0,3,0,0,216,0,10,2007,152000
165,0,15,5,5,1,1,4,106,112,808,2,0,4,1,0,0,140,9,2008,127500
166,1,19,5,5,1,0,4,107,470,1867,1,0,2,1,3,303,476,11,2009,190000
167,0,10,8,0,2,0,4,108,294,1610,1,1,3,2,1,789,178,11,2007,325624
168,1,17,7,0,1,0,4,8,840,840,2,1,3,0,1,440,100,5,2007,183500
169,1,16,8,4,4,0,4,8,1686,1707,2,1,2,1,1,511,574,1,2006,228000
170,1,7,5,1,1,1,4,109,360,854,1,1,2,1,0,660,237,5,2007,128500
171,1,11,6,4,2,1,1,110,441,1656,1,0,3,1,2,528,210,5,2010,215000
172,1,18,7,3,1,0,4,289,354,1064,2,0,2,0,1,504,441,6,2006,239000
173,1,11,6,2,3,1,4,112,700,1362,1,1,3,1,1,504,0,6,2008,163000
174,1,16,6,4,2,1,4,113,0,1651,2,0,3,1,1,616,192,11,2008,184000
175,0,15,6,2,1,1,3,114,725,2158,2,0,4,0,1,576,0,6,2007,243000
176,1,19,6,4,4,0,4,115,320,1164,2,1,4,1,1,521,0,9,2007,211000
177,0,9,5,1,1,0,4,102,554,1252,2,0,4,0,1,451,0,7,2006,172500
178,1,18,9,0,2,2,4,116,312,2234,2,0,1,2,1,1166,0,7,2009,501837
179,0,7,5,5,1,0,4,8,968,968,1,0,2,1,0,480,0,7,2007,100000
180,0,5,6,1,4,0,4,117,320,769,2,1,3,0,1,440,0,6,2007,177000
181,0,2,7,8,1,1,4,118,441,901,1,1,4,1,1,216,0,7,2006,200100
182,0,15,5,5,4,1,4,8,0,1340,1,0,3,1,1,252,116,6,2007,120000
183,0,7,7,0,1,1,4,8,1362,1362,2,1,3,0,0,484,280,6,2008,200000
184,1,8,5,4,1,1,4,8,504,936,1,0,3,1,0,576,104,6,2006,127000
185,2,7,10,5,1,0,2,8,1107,1518,2,1,4,2,2,840,0,6,2006,475000
186,1,4,7,3,1,1,3,119,577,1217,2,0,3,0,0,497,168,6,2009,173000
187,0,7,5,3,1,1,4,8,660,808,2,1,3,1,0,180,0,8,2009,135000
188,0,12,5,4,2,1,3,120,0,1224,0,2,2,1,2,528,120,6,2009,153337
189,0,18,8,6,1,0,3,23,440,1593,1,1,0,2,1,682,0,8,2008,286000
190,0,2,8,7,1,0,4,121,556,1549,2,1,3,0,2,440,0,12,2007,315000
191,1,11,7,3,4,1,4,122,99,725,1,1,4,0,0,484,0,6,2007,184000
192,1,0,7,0,1,0,3,123,871,1431,2,0,3,0,0,666,0,9,2009,192000
193,0,15,7,0,2,0,4,8,970,970,2,0,3,0,0,380,0,5,2006,130000
194,1,0,5,3,1,1,3,124,474,864,1,0,3,1,0,352,0,5,2008,127000
195,0,20,6,10,1,1,4,582,289,855,2,1,3,1,1,440,87,7,2009,148500
196,0,5,7,6,2,2,4,126,600,1726,2,0,3,2,1,786,171,9,2007,311872
197,0,11,8,8,1,0,4,127,140,1360,2,0,4,0,1,795,0,3,2006,235000
198,0,7,6,5,1,1,4,8,755,929,1,0,5,1,0,0,0,7,2009,104000
199,0,10,8,0,4,0,3,128,625,1713,2,0,3,2,1,856,0,1,2009,274900
200,0,15,4,0,1,1,4,8,1121,1121,2,0,2,1,0,440,132,3,2010,140000
201,0,4,6,4,1,1,4,208,276,1279,2,0,3,1,2,473,238,2,2008,171500
202,0,7,6,1,1,1,4,130,0,865,2,0,2,1,0,398,0,5,2006,112000
203,0,0,6,0,4,0,3,365,186,848,1,0,1,0,1,420,149,1,2008,149000
204,0,7,5,9,1,1,4,132,408,720,1,1,2,1,0,240,0,4,2009,110000
205,0,17,7,3,1,1,4,8,1424,1442,2,0,3,1,0,500,0,5,2009,180500
206,1,9,5,3,1,1,4,8,1140,1696,1,1,3,1,1,349,0,3,2007,143900
207,1,11,4,5,1,1,4,74,375,1100,1,0,3,1,1,312,355,4,2008,141000
208,1,12,7,4,4,0,1,606,92,1180,2,1,3,1,1,454,60,4,2007,277000
209,0,11,6,3,2,1,4,134,305,1092,1,0,3,1,0,504,0,7,2008,145000
210,0,15,5,8,1,1,4,135,396,864,1,0,2,1,0,0,0,4,2008,98000
211,0,15,6,0,1,1,2,136,1176,1212,2,0,3,0,0,460,100,3,2010,186000
212,0,5,7,0,1,1,4,137,78,932,2,1,3,0,1,644,168,7,2009,252678
213,2,0,5,0,1,1,4,97,274,990,1,0,3,1,0,576,224,7,2006,156000
214,1,0,6,3,4,1,4,506,311,689,1,1,3,1,0,299,0,3,2010,161750
215,1,11,5,3,4,1,4,109,710,1236,1,0,2,0,1,447,0,5,2006,134450
216,0,0,7,0,4,0,2,139,490,1436,2,0,3,0,0,484,139,4,2008,210000
217,0,7,4,1,1,1,4,8,686,810,1,0,3,1,0,210,0,9,2006,107000
218,1,2,7,0,4,0,4,140,457,1137,1,1,3,0,2,431,0,5,2008,311500
219,0,21,7,0,4,0,3,297,1232,1248,2,0,2,0,0,438,108,3,2006,167240
220,1,0,7,0,1,0,2,8,1498,1498,2,0,2,0,0,675,351,4,2006,204900
221,1,17,6,0,1,0,4,8,1010,1010,2,1,4,0,1,390,120,12,2009,200000
222,0,6,6,0,1,1,4,142,163,811,2,1,3,1,1,434,209,2,2006,179900
223,0,11,4,3,1,1,4,143,160,864,1,0,2,1,0,576,216,3,2009,97000
224,0,10,10,0,4,2,1,313,2336,2392,2,0,3,2,1,968,248,6,2009,386250
225,0,22,5,3,4,1,4,8,630,630,2,1,3,1,0,280,0,5,2009,112000
226,1,3,7,0,4,0,4,540,638,1214,2,1,4,0,1,721,224,6,2007,290000
227,0,22,6,3,4,1,4,145,162,483,1,1,2,1,0,280,0,9,2008,106000
228,0,9,5,3,1,1,4,146,70,912,1,0,3,1,1,336,0,5,2010,125000
229,0,21,7,0,4,0,3,297,1357,1555,2,0,2,0,1,430,143,5,2009,192500
230,0,11,6,1,4,1,4,8,1194,1194,1,0,3,1,0,312,0,4,2010,148000
231,1,3,8,0,4,0,4,147,773,1490,2,1,4,2,1,810,0,7,2009,403000
232,0,22,6,3,4,1,4,8,483,483,1,1,2,1,1,288,0,6,2006,94500
233,0,0,5,3,1,1,3,226,0,894,1,0,3,1,0,308,365,2,2010,128200
234,0,17,6,0,4,0,4,148,235,860,2,1,4,0,2,440,288,5,2010,216500
235,0,22,6,3,4,1,4,149,125,483,1,1,2,1,0,264,0,8,2008,89500
236,0,0,7,0,4,0,3,55,1390,1414,2,0,3,0,0,494,132,5,2010,185500
237,1,12,7,3,1,0,4,351,594,1014,2,1,3,0,0,457,370,2,2010,194500
238,0,10,8,0,4,2,4,8,1694,1694,2,0,3,0,0,818,168,12,2007,318000
239,0,15,6,0,1,1,4,151,641,798,1,1,3,1,1,220,0,4,2010,113000
240,0,5,8,0,2,0,3,401,488,1566,2,0,3,0,0,750,144,4,2010,262500
241,0,7,5,0,1,1,4,153,357,866,1,0,2,0,0,0,58,8,2007,110500
242,0,7,5,5,1,1,4,8,540,889,1,0,3,1,0,352,0,4,2006,79000
243,0,12,6,4,1,1,4,8,626,626,1,1,3,1,1,288,0,4,2009,120000
244,1,12,7,0,1,0,4,85,253,1222,2,1,3,0,2,463,0,5,2010,205000
245,0,6,7,5,4,1,3,154,916,1872,2,0,3,1,1,604,197,6,2006,241500
246,0,7,6,9,1,1,4,8,1020,908,2,0,4,3,0,440,0,4,2006,137000
247,0,11,6,7,1,1,4,8,1367,1375,1,0,2,1,1,451,0,6,2006,140000
248,0,0,7,0,4,0,4,8,840,840,2,1,3,0,0,500,144,9,2007,180000
249,2,19,6,3,3,0,1,155,747,1444,2,0,4,0,2,389,0,6,2007,277000
250,1,8,3,4,1,1,4,8,728,1306,1,0,3,3,0,0,263,5,2010,76500
251,1,2,8,0,2,0,1,439,0,1625,2,0,2,0,1,538,123,12,2007,235000
252,1,12,6,0,1,0,4,8,798,798,2,1,3,0,0,520,138,12,2008,173000
253,0,11,6,3,4,1,1,157,452,1302,2,0,3,0,0,309,333,10,2007,158000
254,0,11,5,1,1,1,4,158,392,1314,1,0,3,1,0,294,250,6,2010,145000
255,1,17,7,0,4,0,4,8,975,1005,2,1,4,0,1,429,192,2,2006,230000
256,1,5,6,0,1,0,4,159,361,864,2,1,3,0,0,673,216,5,2008,207500
257,0,0,7,0,2,0,4,160,270,1604,2,1,3,0,1,660,123,3,2009,220000
258,0,0,7,0,4,0,4,161,602,963,2,1,3,0,1,564,0,5,2008,231500
259,0,7,5,7,1,1,4,8,0,882,1,0,2,1,0,308,0,12,2008,97000
260,0,11,6,5,4,1,1,221,0,1382,1,0,3,1,1,884,0,5,2009,176000
261,1,0,8,6,2,0,4,8,1482,1482,2,1,3,2,1,868,0,11,2007,276000
262,1,9,6,4,4,1,3,163,0,1212,1,0,3,1,1,492,292,7,2006,151000
263,0,7,5,5,1,1,4,19,0,926,1,0,3,1,0,484,0,4,2010,130000
264,3,7,5,5,1,1,4,8,680,764,1,0,2,1,0,504,0,6,2008,73000
265,1,6,6,1,4,1,4,313,606,1422,2,0,3,0,1,576,276,6,2008,175500
266,1,17,6,0,1,1,3,164,88,802,2,1,3,1,1,413,95,6,2006,185000
267,0,23,5,5,1,1,4,506,342,1052,2,1,4,0,1,240,262,7,2008,179500
268,0,13,5,0,1,1,4,474,212,778,1,0,2,1,1,924,0,2,2008,120500
269,1,15,6,3,4,1,4,166,392,1113,1,1,3,1,1,504,370,5,2007,148000
270,0,5,8,0,1,0,2,8,1095,1095,2,1,3,0,1,1053,192,8,2006,266000
271,1,19,7,4,1,1,1,593,96,1363,1,0,2,1,2,439,81,4,2008,241500
272,1,3,8,0,4,0,4,143,628,1164,2,1,4,0,1,671,132,4,2010,290000
273,0,11,6,5,3,1,4,279,0,1632,2,0,3,1,1,338,289,4,2009,139000
274,0,4,5,11,1,1,1,169,270,816,1,0,2,1,0,264,168,6,2007,124500
275,0,8,7,5,1,0,4,8,952,952,2,1,3,2,0,672,74,10,2009,205000
276,1,4,7,0,1,0,4,8,1560,1560,2,0,3,0,0,573,100,4,2010,201000
277,0,17,4,0,1,1,4,604,744,864,1,0,2,1,0,400,0,6,2010,141000
278,0,10,9,6,4,2,1,8,2121,2121,2,1,3,2,1,732,124,5,2007,415298
279,0,19,7,4,4,1,4,170,768,1156,2,1,4,1,1,505,288,3,2008,192000
280,0,12,7,4,4,0,3,171,386,1175,2,1,3,0,1,575,0,1,2007,228500
281,0,5,6,0,2,0,4,172,357,1262,2,0,2,0,0,572,0,5,2006,185000
282,0,10,7,0,2,0,4,173,410,1314,2,0,2,0,1,626,172,4,2009,207500
283,0,5,8,0,2,0,4,8,1468,1468,2,0,3,0,1,898,210,12,2009,244600
284,0,12,6,11,1,0,4,174,1145,1575,2,0,2,0,0,529,0,7,2007,179200
285,1,5,7,1,1,0,4,8,625,625,2,1,2,0,0,528,0,6,2007,164700
286,1,11,6,5,1,1,4,102,312,1085,1,1,3,0,1,440,0,6,2006,159000
287,1,11,4,3,1,1,4,175,244,858,1,0,3,1,0,0,0,6,2006,88000
288,1,9,5,1,4,1,4,550,432,900,1,0,3,1,0,280,0,2,2010,122000
289,0,8,6,5,1,1,4,8,698,698,1,0,3,1,0,384,0,7,2007,153575
290,0,0,8,0,1,0,3,8,1079,1079,2,1,3,0,1,685,0,7,2006,233230
291,0,23,5,0,1,1,4,177,570,936,2,0,6,3,0,0,0,3,2008,135900
292,0,15,5,5,1,1,4,178,476,1148,1,1,3,1,1,281,0,1,2009,131000
293,1,6,7,4,4,1,4,179,0,1468,2,1,3,0,1,539,0,3,2006,235000
294,0,11,6,3,2,1,4,318,131,1644,1,0,3,1,2,418,110,10,2009,167000
295,1,4,6,3,1,1,3,181,184,1003,1,0,3,1,0,588,120,3,2006,142500
296,0,13,5,5,1,1,4,182,490,910,1,1,4,1,0,282,289,6,2007,152000
297,1,5,7,0,4,0,4,199,326,975,2,1,3,0,1,576,0,6,2007,239000
298,0,6,6,12,4,0,4,38,143,1041,1,2,3,1,1,539,224,6,2007,175000
299,0,2,6,3,1,1,4,8,1092,1152,1,0,3,0,1,300,0,8,2009,158500
300,0,2,5,1,4,1,2,183,324,1336,1,0,2,1,2,375,0,6,2006,157000
301,3,0,8,0,1,0,4,184,747,1210,2,1,4,0,1,683,208,5,2007,267000
302,1,0,7,0,4,0,4,8,1541,1541,2,0,3,0,1,843,468,1,2006,205000
303,0,0,5,0,1,1,4,266,0,894,1,0,3,1,0,552,256,7,2006,149900
304,0,7,7,6,1,1,4,8,1470,1675,3,0,3,0,1,870,302,5,2008,295000
305,0,0,8,6,2,0,4,186,536,2000,2,0,3,0,0,888,168,7,2007,305900
